training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,276.2272,3.1479,-0.0441
0,1,187.4502,5.5534,0.2500
0,2,159.6149,3.1915,0.3674
0,3,143.0669,3.4510,0.4359
0,4,129.0231,3.4663,0.4941
0,5,117.9868,3.0162,0.5437
0,6,109.4984,2.5089,0.5825
0,7,100.9570,2.2732,0.6159
0,8,94.7922,2.0021,0.6372
0,9,90.2338,1.7686,0.6543
0,10,84.7760,1.7243,0.6750
0,11,82.3469,1.5474,0.6839
0,12,77.4952,1.5299,0.7031
0,13,75.0133,1.4725,0.7109
0,14,72.4303,1.4517,0.7180
0,15,69.6730,1.4104,0.7325
0,16,67.5772,1.4472,0.7386
0,17,65.8942,1.3352,0.7449
0,18,63.8586,1.3849,0.7539
0,19,63.5044,1.2938,0.7526
0,20,60.2421,1.3046,0.7704
0,21,58.8968,1.2262,0.7733
0,22,58.5791,1.2977,0.7692
0,23,56.6851,1.2048,0.7809
0,24,57.0077,1.1572,0.7765
0,25,55.0252,1.2590,0.7817
0,26,54.7628,1.1793,0.7861
0,27,53.4258,1.1921,0.7918
0,28,52.2650,1.1504,0.7938
0,29,52.5421,1.1163,0.7927
0,30,50.8168,1.0910,0.8037
0,31,49.8906,1.1201,0.8059
0,32,49.1377,1.0933,0.8088
0,33,49.3262,1.1204,0.8043
0,34,49.5468,1.0827,0.8068
0,35,47.7410,1.1279,0.8110
0,36,46.8654,1.0955,0.8180
0,37,46.4821,1.0558,0.8211
0,38,46.6718,1.0813,0.8172
0,39,44.9242,1.0853,0.8218
0,40,46.1107,1.0595,0.8168
0,41,45.0188,1.0161,0.8246
0,42,44.9567,1.0258,0.8254
0,43,44.3352,0.9891,0.8277
0,44,43.9313,1.0184,0.8257
0,45,43.8078,1.0225,0.8279
0,46,42.1567,1.0515,0.8348
0,47,41.8957,0.9685,0.8359
0,48,43.1409,1.0046,0.8304
0,49,42.1417,1.0568,0.8315
0,50,40.6657,0.9748,0.8408
0,51,41.5313,0.9922,0.8332
0,52,41.1313,1.0074,0.8396
0,53,40.9029,1.0057,0.8384
0,54,40.6316,0.9757,0.8376
0,55,40.6687,0.9618,0.8429
0,56,39.3590,0.9856,0.8471
0,57,39.9054,0.9783,0.8403
0,58,38.5980,0.9474,0.8498
0,59,38.0262,0.9423,0.8517
0,60,37.9875,0.9590,0.8473
0,61,38.3823,0.9733,0.8507
0,62,38.3341,0.9232,0.8468
0,63,37.4538,0.9651,0.8510
0,64,37.8504,0.9342,0.8434
0,65,38.1327,0.9247,0.8499
0,66,37.4501,0.9799,0.8483
0,67,36.9883,0.9538,0.8540
0,68,37.3277,0.8969,0.8526
0,69,36.6662,0.8995,0.8546
0,70,36.8206,0.9183,0.8560
0,71,35.7579,0.9308,0.8584
0,72,36.1507,0.9471,0.8567
0,73,35.6979,0.9381,0.8615
0,74,36.4786,0.9526,0.8585
0,75,36.6399,0.8789,0.8528
0,76,35.9287,0.9563,0.8587
0,77,35.2406,0.9094,0.8575
0,78,35.6936,0.9209,0.8585
0,79,35.0135,0.8607,0.8614
0,80,34.7836,0.8826,0.8594
