eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,24.297724,0.5832375,0.89933753,0.0,0.0
1.0,0.0,63.70188,0.8526499,0.7407875,0.0,0.0
2.0,0.0,71.53573,0.98136246,0.70291257,0.0,0.0
3.0,0.0,80.004234,1.1320624,0.6506,0.0,0.0
4.0,0.0,95.8066,1.0833,0.6592875,0.0,0.0
5.0,0.0,87.584435,0.9767624,0.6768249,0.0,0.0
6.0,0.0,71.8384,0.79635,0.7714875,0.0,0.0
7.0,0.0,89.284775,1.1953499,0.67611253,0.0,0.0
8.0,0.0,117.84306,0.939275,0.67567503,0.0,0.0
9.0,0.0,129.413,1.9286125,0.35489997,0.0,0.0
0.0,1.0,30.6874,0.64643747,0.87566245,0.023675,-0.023675
1.0,1.0,25.691488,0.58986247,0.8924876,0.0,0.0
2.0,1.0,47.010036,0.804575,0.805525,0.0,0.0
3.0,1.0,52.395,0.822225,0.7737875,0.0,0.0
4.0,1.0,59.351555,0.87465,0.79165,0.0,0.0
5.0,1.0,61.6483,0.7613625,0.7763501,0.0,0.0
6.0,1.0,55.6472,0.681475,0.813825,0.0,0.0
7.0,1.0,67.10812,0.840325,0.7542625,0.0,0.0
8.0,1.0,120.43869,0.79306257,0.6835125,0.0,0.0
9.0,1.0,114.2509,0.8797875,0.47777498,0.0,0.0
0.0,2.0,29.309025,0.611075,0.87575,0.023599999,-0.023599999
1.0,2.0,35.66515,0.6246,0.85336256,0.039137498,-0.039137498
2.0,2.0,25.375448,0.6062125,0.8926,0.0,0.0
3.0,2.0,42.766888,0.68787503,0.8133375,0.0,0.0
4.0,2.0,50.76557,0.78865004,0.8218375,0.0,0.0
5.0,2.0,54.448956,0.714875,0.7993,0.0,0.0
6.0,2.0,50.379177,0.60206246,0.8307875,0.0,0.0
7.0,2.0,52.634113,0.7177125,0.8028875,0.0,0.0
8.0,2.0,127.371735,0.7363,0.666325,0.0,0.0
9.0,2.0,107.82938,0.86658746,0.520225,0.0,0.0
0.0,3.0,29.0048,0.5970125,0.88250005,0.016825002,-0.016825002
1.0,3.0,34.238625,0.6117625,0.86254996,0.029937502,-0.029937502
2.0,3.0,34.44065,0.65222496,0.85585,0.036762506,-0.036762506
3.0,3.0,25.026089,0.57105,0.88987505,0.0,0.0
4.0,3.0,50.506474,0.7446125,0.8256875,0.0,0.0
5.0,3.0,46.42914,0.67218745,0.8300875,0.0,0.0
6.0,3.0,46.73616,0.5865,0.84213746,0.0,0.0
7.0,3.0,47.661537,0.6908625,0.813025,0.0,0.0
8.0,3.0,79.7089,0.63673747,0.77105004,0.0,0.0
9.0,3.0,56.334137,0.826275,0.7426125,0.0,0.0
0.0,4.0,29.6614,0.619025,0.8752875,0.024062498,-0.024062498
1.0,4.0,33.757977,0.65741247,0.86193746,0.030562501,-0.030562501
2.0,4.0,34.20129,0.6899,0.85573757,0.036862504,-0.036862504
3.0,4.0,32.18525,0.68132496,0.8583375,0.031575,-0.031575
4.0,4.0,29.961552,0.72186255,0.89068747,0.0,0.0
5.0,4.0,46.300434,0.7297625,0.827775,0.0,0.0
6.0,4.0,41.68408,0.6205625,0.8540375,0.0,0.0
7.0,4.0,42.416565,0.71756244,0.8289125,0.0,0.0
8.0,4.0,78.26218,0.662325,0.77983755,0.0,0.0
9.0,4.0,50.446037,0.9636125,0.775375,0.0,0.0
0.0,5.0,29.822449,0.58404994,0.8769625,0.022375,-0.022375
1.0,5.0,33.690376,0.64634997,0.8614,0.031074999,-0.031074999
2.0,5.0,33.615612,0.6922749,0.8611,0.031487502,-0.031487502
3.0,5.0,33.661503,0.70785,0.85316247,0.036725,-0.036725
4.0,5.0,40.47785,0.8161126,0.8558751,0.0348,-0.0348
5.0,5.0,29.10605,0.59495,0.8919749,0.0,0.0
6.0,5.0,39.6394,0.6067375,0.862775,0.0,0.0
7.0,5.0,40.280926,0.695025,0.83900005,0.0,0.0
8.0,5.0,59.497826,0.621675,0.8214625,0.0,0.0
9.0,5.0,41.09751,0.70879996,0.81775,0.0,0.0
0.0,6.0,29.225624,0.6105,0.8801875,0.01915,-0.01915
1.0,6.0,32.793816,0.661925,0.86587507,0.026625002,-0.026625002
2.0,6.0,36.638203,0.7304875,0.8470125,0.045625,-0.045625
