eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.5978419,0.012655327,0.0024453723,0.0,0.0
0.0,0.0,1.4847262,0.029586317,0.005416969,0.0,0.0
0.0,0.0,2.0771575,0.035944115,0.007803747,0.0,0.0
0.0,0.0,2.7108936,0.06257506,0.011673582,0.0,0.0
0.0,0.0,2.703226,0.04434625,0.009590154,0.0,0.0
0.0,0.0,3.173686,0.050982535,0.012143281,0.0,0.0
0.0,0.0,2.825131,0.029739488,0.009527252,0.0,0.0
0.0,0.0,2.3193772,0.07681947,0.007877723,0.0,0.0
0.0,0.0,6.10068,0.09685422,0.01599733,0.0,0.0
0.0,0.0,11.760897,0.42181873,0.058847435,0.0,0.0
0.0,0.0,0.5546714,0.0121888295,0.002053012,0.0032344821,0.0032344821
0.0,0.0,0.5684124,0.017921144,0.0022340768,0.0,0.0
0.0,0.0,0.6098967,0.024424056,0.0023641835,0.0,0.0
0.0,0.0,1.1184878,0.023109227,0.0048722303,0.0,0.0
0.0,0.0,1.1422856,0.017299198,0.0038713773,0.0,0.0
0.0,0.0,1.3547927,0.016178988,0.0045986422,0.0,0.0
0.0,0.0,0.44183895,0.019258354,0.0016843092,0.0,0.0
0.0,0.0,1.4134045,0.03181371,0.003318486,0.0,0.0
0.0,0.0,3.4675505,0.02167505,0.008884608,0.0,0.0
0.0,0.0,10.229769,0.03550544,0.051059563,0.0,0.0
0.0,0.0,0.31312642,0.012396852,0.0011346682,0.0018634647,0.0018634647
0.0,0.0,0.86782646,0.012572782,0.0034106278,0.003191371,0.003191371
0.0,0.0,0.33153597,0.016755247,0.0011565122,0.0,0.0
0.0,0.0,0.82958907,0.012505166,0.0034622638,0.0,0.0
0.0,0.0,1.1486765,0.013833484,0.004223426,0.0,0.0
0.0,0.0,1.2147063,0.017960848,0.0043069753,0.0,0.0
0.0,0.0,1.1362033,0.015568788,0.0034078702,0.0,0.0
0.0,0.0,1.2709371,0.020124393,0.0037250654,0.0,0.0
0.0,0.0,5.25517,0.011216281,0.01139284,0.0,0.0
0.0,0.0,9.554937,0.034068435,0.046120267,0.0,0.0
0.0,0.0,0.40402135,0.010616904,0.0016347697,0.0027017356,0.0027017356
0.0,0.0,0.90359527,0.00829502,0.0037020294,0.0021277561,0.0021277561
0.0,0.0,0.7598745,0.012666263,0.003483889,0.003064285,0.003064285
0.0,0.0,0.2358569,0.0075031677,0.0010461197,0.0,0.0
0.0,0.0,0.8507302,0.008825593,0.0031162556,0.0,0.0
0.0,0.0,0.7700516,0.009540238,0.0028563233,0.0,0.0
0.0,0.0,0.54262143,0.013344188,0.0013646735,0.0,0.0
0.0,0.0,1.2284194,0.01720776,0.0041417903,0.0,0.0
0.0,0.0,6.0298266,0.02059605,0.013962555,0.0,0.0
0.0,0.0,6.2780275,0.061519843,0.023277223,0.0,0.0
0.0,0.0,0.18597077,0.006958421,0.0009400013,0.0030232174,0.0030232174
0.0,0.0,0.59993714,0.01022697,0.0026673735,0.0022934354,0.0022934354
0.0,0.0,0.676848,0.013807873,0.0027865493,0.002277574,0.002277574
0.0,0.0,0.89799374,0.011613323,0.0040239766,0.0040024207,0.0040024207
0.0,0.0,0.31958666,0.011133937,0.0010373566,0.0,0.0
0.0,0.0,0.7520033,0.012703336,0.0028203519,0.0,0.0
0.0,0.0,0.6578951,0.016437307,0.0022918053,0.0,0.0
0.0,0.0,1.3878077,0.021103017,0.004690531,0.0,0.0
0.0,0.0,6.1205297,0.031576842,0.014519124,0.0,0.0
0.0,0.0,6.695996,0.07908264,0.02601494,0.0,0.0
0.0,0.0,0.44737902,0.009553415,0.0016642818,0.002602763,0.002602763
0.0,0.0,0.9907269,0.012465043,0.004249407,0.0029726883,0.0029726883
0.0,0.0,0.8719773,0.012376061,0.0032422931,0.00248014,0.00248014
0.0,0.0,0.61168534,0.007846822,0.002531268,0.0025834814,0.0025834814
0.0,0.0,1.3442535,0.010182526,0.0045710364,0.0039462005,0.0039462005
0.0,0.0,0.39521804,0.009646769,0.0013488373,0.0,0.0
0.0,0.0,0.65581757,0.015287568,0.0018998325,0.0,0.0
0.0,0.0,0.9564611,0.01564031,0.0030801704,0.0,0.0
0.0,0.0,2.7736394,0.013087371,0.0065373853,0.0,0.0
0.0,0.0,1.6164085,0.03074476,0.008415453,0.0,0.0
0.0,0.0,0.41131866,0.013581243,0.0015648073,0.002513961,0.002513961
0.0,0.0,0.91200584,0.012698701,0.0031803069,0.0017130019,0.0017130019
0.0,0.0,1.1165496,0.014447872,0.0041426034,0.0036389388,0.0036389388
0.0,0.0,0.9951314,0.017909741,0.0036925538,0.0037920142,0.0037920142
0.0,0.0,1.6573185,0.02144064,0.005492135,0.004816638,0.004816638
0.0,0.0,1.1215931,0.015139825,0.0038858624,0.0038722574,0.0038722574
0.0,0.0,0.27767664,0.011272806,0.0010301044,0.0,0.0
0.0,0.0,1.0696548,0.02397219,0.003544632,0.0,0.0
0.0,0.0,2.056951,0.018625926,0.0053235358,0.0,0.0
0.0,0.0,3.1792808,0.05093915,0.018444847,0.0,0.0
0.0,0.0,0.38096428,0.011555518,0.0014220924,0.0031768451,0.0031768451
0.0,0.0,0.51353544,0.009083346,0.002097291,0.0023756248,0.0023756248
0.0,0.0,0.87075514,0.012173338,0.0031695578,0.0024095834,0.0024095834
0.0,0.0,0.6618638,0.014483779,0.0028235682,0.002359952,0.002359952
0.0,0.0,0.5795032,0.009687362,0.0020638271,0.0021423923,0.0021423923
0.0,0.0,0.7400207,0.013180805,0.00273404,0.0021171547,0.0021171547
0.0,0.0,0.5275574,0.013557631,0.0018570217,0.0012854959,0.0012854959
0.0,0.0,0.39523494,0.01575074,0.0017294748,0.0,0.0
0.0,0.0,3.274111,0.0147986505,0.00861855,0.0,0.0
0.0,0.0,2.8223248,0.059552267,0.020947557,0.0,0.0
0.0,0.0,1.5194625,0.011888203,0.0075056544,0.007602632,0.007602632
0.0,0.0,1.2905439,0.0075815236,0.0054092393,0.0043071886,0.0043071886
0.0,0.0,1.988715,0.014038113,0.0076336283,0.0068253092,0.0068253092
0.0,0.0,2.341007,0.013339884,0.010824211,0.010899477,0.010899477
0.0,0.0,3.0225337,0.017693287,0.012513787,0.0122088855,0.0122088855
0.0,0.0,3.017104,0.012461786,0.011826877,0.01184287,0.01184287
0.0,0.0,2.2731953,0.014397515,0.009621823,0.010029083,0.010029083
0.0,0.0,2.3347468,0.013866865,0.008055395,0.0082861325,0.0082861325
0.0,0.0,0.39057657,0.016274821,0.00166991,0.0,0.0
0.0,0.0,3.4508226,0.028556915,0.022559749,0.0,0.0
0.0,0.0,1.5814222,0.010479496,0.005465278,0.005648396,0.005648396
0.0,0.0,2.0837524,0.008780723,0.007731715,0.0062796166,0.0062796166
0.0,0.0,2.9412785,0.010658077,0.01106717,0.010085874,0.010085874
0.0,0.0,2.4765716,0.013281277,0.009881801,0.0097091375,0.0097091375
0.0,0.0,3.108726,0.0235034,0.009766001,0.0091566825,0.0091566825
0.0,0.0,2.9769752,0.018970564,0.01065821,0.010028803,0.010028803
0.0,0.0,2.614163,0.017591711,0.00754764,0.0077287504,0.0077287504
0.0,0.0,3.983797,0.014333759,0.01484461,0.015040689,0.015040689
0.0,0.0,2.4164212,0.022642732,0.007718804,0.008293663,0.008293663
0.0,0.0,0.47426245,0.042745277,0.0020377676,0.0,0.0
