training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,274.9513,3.1719,-0.0477
0,1,185.6282,5.5521,0.2646
0,2,158.1292,3.2925,0.3758
0,3,139.6154,3.4344,0.4562
0,4,128.3463,3.3632,0.5054
0,5,117.3816,2.8652,0.5583
0,6,108.2927,2.5661,0.5879
0,7,101.4162,2.2848,0.6208
0,8,95.3438,1.8872,0.6400
0,9,88.9731,1.8439,0.6592
0,10,84.9723,1.7676,0.6790
0,11,81.2566,1.5995,0.6906
0,12,77.9716,1.5890,0.6978
0,13,75.2183,1.4695,0.7070
0,14,73.2281,1.5147,0.7130
0,15,69.7759,1.3541,0.7324
0,16,67.0217,1.3643,0.7387
0,17,66.7887,1.3142,0.7411
0,18,64.6742,1.3938,0.7527
0,19,62.2214,1.2555,0.7613
0,20,61.6210,1.3126,0.7630
0,21,58.9435,1.2802,0.7740
0,22,58.1494,1.2323,0.7746
0,23,57.5038,1.2638,0.7746
0,24,56.7558,1.2667,0.7802
0,25,55.4496,1.2192,0.7833
0,26,54.8207,1.1377,0.7891
0,27,53.5716,1.2639,0.7917
0,28,53.3742,1.1840,0.7867
0,29,52.3759,1.1239,0.7926
0,30,51.1746,1.2152,0.8028
0,31,51.4364,1.1298,0.7994
0,32,50.2702,1.1920,0.8065
0,33,49.3997,1.1346,0.8117
0,34,48.2747,1.1251,0.8123
0,35,47.8274,1.1049,0.8132
0,36,48.3313,1.1310,0.8104
0,37,46.3340,1.1046,0.8168
0,38,45.7610,1.0956,0.8197
0,39,45.2076,1.1251,0.8212
0,40,44.4148,1.0719,0.8282
0,41,44.5361,1.0559,0.8217
0,42,44.5961,1.0517,0.8227
0,43,44.3749,1.0369,0.8210
0,44,43.5956,1.1336,0.8266
0,45,43.2184,1.0431,0.8312
0,46,43.7091,1.0298,0.8257
0,47,42.5282,1.0023,0.8318
0,48,42.5735,1.0364,0.8327
0,49,41.5556,1.0094,0.8383
0,50,42.2456,1.0103,0.8339
0,51,41.0307,0.9928,0.8406
0,52,40.4432,0.9760,0.8453
0,53,41.1903,1.0185,0.8355
0,54,40.1494,1.0454,0.8415
0,55,39.5977,1.0112,0.8449
0,56,39.8340,0.9639,0.8442
0,57,38.8473,0.9686,0.8475
0,58,39.2131,0.9313,0.8462
0,59,38.7930,0.9584,0.8459
0,60,38.8445,1.0034,0.8433
0,61,37.8835,0.9513,0.8524
0,62,38.8930,0.9618,0.8484
0,63,38.6619,0.9100,0.8467
0,64,38.2520,0.9076,0.8500
0,65,37.6797,0.9539,0.8488
0,66,37.1348,0.9301,0.8563
0,67,37.3556,0.9376,0.8525
0,68,37.1619,0.9614,0.8515
0,69,37.4149,0.8895,0.8512
0,70,36.5026,0.9284,0.8552
0,71,36.5596,0.9274,0.8575
0,72,36.8204,0.9199,0.8564
0,73,36.4316,0.8824,0.8556
0,74,35.8959,0.9040,0.8614
0,75,35.1757,0.9255,0.8599
0,76,36.1878,0.9035,0.8550
0,77,35.7323,0.9494,0.8555
0,78,35.1712,0.8697,0.8621
0,79,34.7745,0.9292,0.8628
0,80,34.8246,0.9246,0.8650
0,81,35.1919,0.8800,0.8584
0,82,34.8817,0.8980,0.8621
0,83,34.1403,0.9019,0.8657
0,84,34.4216,0.8920,0.8611
0,85,33.7095,0.8985,0.8678
0,86,34.5828,0.9142,0.8643
0,87,33.9921,0.9024,0.8642
0,88,34.5685,0.8843,0.8632
0,89,33.9958,0.8440,0.8659
0,90,33.6222,0.8752,0.8636
0,91,34.0879,0.8793,0.8642
0,92,33.8971,0.8657,0.8686
0,93,33.0089,0.9210,0.8685
0,94,33.3733,0.8735,0.8651
0,95,32.7784,0.8245,0.8691
0,96,32.8051,0.8964,0.8636
0,97,32.9606,0.8393,0.8708
0,98,32.7002,0.8487,0.8694
0,99,32.4228,0.9002,0.8736
0,100,32.5562,0.8804,0.8689
0,101,31.6555,0.8512,0.8709
0,102,31.8299,0.8649,0.8731
0,103,32.1407,0.8696,0.8702
0,104,32.1121,0.8326,0.8684
0,105,32.0025,0.8908,0.8713
0,106,31.8585,0.7988,0.8741
0,107,30.9146,0.8549,0.8735
0,108,31.1912,0.8375,0.8756
0,109,31.2640,0.8240,0.8748
0,110,30.5939,0.8414,0.8799
0,111,31.0512,0.8052,0.8774
0,112,30.9507,0.8288,0.8780
0,113,30.8693,0.8264,0.8767
0,114,31.0273,0.8256,0.8734
0,115,30.7022,0.7881,0.8772
0,116,30.2382,0.8358,0.8825
0,117,31.1033,0.8047,0.8758
0,118,30.4777,0.8091,0.8783
0,119,29.6714,0.8354,0.8796
0,120,30.2198,0.7912,0.8791
0,121,30.1572,0.8227,0.8805
0,122,29.7003,0.7880,0.8809
0,123,29.8019,0.8248,0.8813
0,124,29.7115,0.8247,0.8806
0,125,29.6360,0.7992,0.8785
0,126,29.5548,0.7832,0.8846
0,127,29.2975,0.8102,0.8830
0,128,29.6495,0.8119,0.8820
0,129,29.0103,0.7783,0.8858
0,130,29.3153,0.8758,0.8835
0,131,29.0365,0.8101,0.8847
0,132,29.1286,0.7674,0.8831
0,133,29.2116,0.8233,0.8824
0,134,29.0850,0.8108,0.8843
0,135,29.0420,0.7938,0.8828
0,136,29.6893,0.7707,0.8815
0,137,28.5089,0.8197,0.8839
0,138,29.0747,0.7994,0.8809
0,139,28.7912,0.8052,0.8867
0,140,28.1951,0.7948,0.8862
0,141,28.6005,0.7999,0.8874
0,142,29.5308,0.8158,0.8824
0,143,28.8044,0.7713,0.8860
0,144,28.2095,0.8235,0.8859
0,145,28.2646,0.8092,0.8891
0,146,27.7146,0.7906,0.8918
0,147,27.9538,0.8044,0.8900
0,148,28.1084,0.7677,0.8877
0,149,27.7881,0.7768,0.8901
0,150,27.9860,0.7812,0.8870
0,151,27.0656,0.7698,0.8940
0,152,28.0279,0.7813,0.8867
0,153,28.1424,0.7628,0.8853
0,154,26.7261,0.7641,0.8917
0,155,27.2651,0.7728,0.8896
0,156,27.0232,0.7657,0.8893
0,157,27.2692,0.7886,0.8913
0,158,27.3935,0.7746,0.8914
0,159,26.9954,0.7632,0.8937
0,160,26.8433,0.7570,0.8899
0,161,27.9024,0.7602,0.8893
0,162,27.3037,0.7967,0.8932
0,163,27.1293,0.7749,0.8930
0,164,27.4119,0.7707,0.8881
0,165,26.6708,0.7587,0.8910
0,166,27.0680,0.7648,0.8915
0,167,26.8590,0.7927,0.8931
0,168,27.2206,0.7466,0.8920
0,169,27.3130,0.7795,0.8908
0,170,26.9963,0.7771,0.8901
0,171,26.8999,0.7853,0.8906
0,172,26.9044,0.7662,0.8927
0,173,26.9676,0.7429,0.8926
0,174,26.4767,0.7692,0.8944
0,175,27.0858,0.7493,0.8900
0,176,26.9778,0.7481,0.8946
0,177,27.0561,0.7875,0.8937
0,178,26.5069,0.7916,0.8927
0,179,26.5915,0.7565,0.8935
0,180,26.5268,0.7693,0.8958
0,181,26.6252,0.7854,0.8915
0,182,26.7452,0.7673,0.8930
0,183,26.2493,0.7662,0.8937
0,184,26.7325,0.7966,0.8930
0,185,27.0442,0.7844,0.8925
0,186,26.5332,0.7638,0.8945
0,187,26.2440,0.7511,0.8962
0,188,26.8408,0.7705,0.8924
0,189,26.1082,0.7600,0.8954
0,190,26.2775,0.7552,0.8956
0,191,26.6591,0.7630,0.8936
0,192,26.3201,0.7754,0.8963
0,193,25.8170,0.7888,0.8970
0,194,26.2045,0.7740,0.8944
0,195,26.6588,0.7585,0.8937
0,196,26.4956,0.7787,0.8947
0,197,26.4781,0.7959,0.8931
0,198,26.5864,0.7676,0.8953
0,199,26.4504,0.7612,0.8956
1,0,60.1384,1.2555,0.7610
1,1,49.4502,1.1667,0.7993
1,2,46.3719,1.1039,0.8133
1,3,43.1516,1.0055,0.8233
1,4,41.7064,1.0033,0.8313
1,5,40.6455,0.9605,0.8336
1,6,39.5483,0.9710,0.8401
1,7,38.3227,0.9357,0.8456
1,8,38.2168,0.9276,0.8428
1,9,37.8727,0.8990,0.8446
1,10,37.1834,0.9250,0.8498
1,11,36.5659,0.9063,0.8535
1,12,36.4094,0.9040,0.8519
1,13,36.1821,0.8920,0.8552
1,14,35.3682,0.8789,0.8570
1,15,36.3135,0.8971,0.8547
1,16,35.4007,0.8775,0.8574
1,17,35.1034,0.8357,0.8574
1,18,34.5441,0.8895,0.8613
1,19,34.6660,0.8563,0.8604
1,20,34.3740,0.8716,0.8633
1,21,34.2690,0.8878,0.8634
1,22,33.8644,0.8633,0.8647
1,23,34.2225,0.8800,0.8638
1,24,33.6379,0.8348,0.8672
1,25,34.6363,0.8888,0.8621
1,26,33.4692,0.8545,0.8655
1,27,33.8819,0.8671,0.8650
1,28,33.7285,0.8669,0.8667
1,29,33.0278,0.8336,0.8685
1,30,33.0956,0.8575,0.8684
1,31,33.9365,0.8640,0.8648
1,32,33.1389,0.8489,0.8668
1,33,32.6855,0.8560,0.8697
1,34,32.7527,0.8527,0.8694
1,35,32.4459,0.8622,0.8715
1,36,32.5837,0.8369,0.8718
1,37,31.3982,0.7996,0.8754
1,38,32.2979,0.8248,0.8719
1,39,31.6166,0.8299,0.8742
1,40,32.0558,0.8371,0.8731
1,41,31.6729,0.8336,0.8752
1,42,31.4453,0.8278,0.8768
1,43,31.7290,0.8204,0.8734
1,44,31.1812,0.8203,0.8759
1,45,31.7959,0.8308,0.8736
1,46,31.2652,0.8333,0.8772
1,47,31.7181,0.8325,0.8752
1,48,31.2311,0.8041,0.8757
1,49,30.9975,0.8175,0.8768
1,50,31.0572,0.8290,0.8770
1,51,31.0794,0.8203,0.8753
1,52,31.1544,0.8121,0.8773
1,53,31.4133,0.8307,0.8750
1,54,31.2015,0.8214,0.8766
1,55,30.9886,0.8319,0.8764
1,56,31.2064,0.8191,0.8768
1,57,30.9810,0.8055,0.8781
1,58,30.7817,0.8169,0.8764
1,59,30.9465,0.8204,0.8761
1,60,30.8482,0.8082,0.8779
1,61,30.6409,0.8082,0.8771
1,62,31.2556,0.8333,0.8760
1,63,31.2790,0.8102,0.8763
1,64,30.8578,0.8189,0.8773
1,65,30.8512,0.8098,0.8783
1,66,31.0205,0.8083,0.8769
1,67,30.7882,0.7966,0.8785
1,68,30.3373,0.8045,0.8784
1,69,30.6270,0.8182,0.8795
1,70,30.6177,0.8059,0.8789
1,71,31.0570,0.8087,0.8748
1,72,30.3344,0.7989,0.8812
1,73,30.5245,0.7990,0.8808
1,74,30.9470,0.8083,0.8781
1,75,30.6160,0.8403,0.8802
1,76,30.5864,0.8060,0.8798
1,77,30.6770,0.7929,0.8807
1,78,30.6690,0.8198,0.8783
1,79,30.1849,0.8109,0.8801
1,80,30.6321,0.8007,0.8803
1,81,30.5217,0.7989,0.8802
1,82,30.3795,0.8212,0.8793
1,83,30.5603,0.8190,0.8782
1,84,30.7160,0.8056,0.8785
1,85,30.9147,0.8108,0.8774
1,86,30.6118,0.8186,0.8788
1,87,30.1218,0.8134,0.8806
1,88,30.6503,0.8219,0.8793
1,89,30.6223,0.7989,0.8791
1,90,30.4059,0.8067,0.8787
1,91,31.1200,0.7968,0.8765
1,92,31.1168,0.8008,0.8774
1,93,30.5628,0.8002,0.8794
1,94,30.7589,0.8061,0.8785
1,95,31.0675,0.8105,0.8762
1,96,31.0453,0.8159,0.8758
1,97,30.6102,0.8174,0.8792
1,98,30.2297,0.8227,0.8816
1,99,30.7292,0.8327,0.8787
1,100,31.2492,0.8145,0.8756
1,101,30.2897,0.8088,0.8809
1,102,30.8372,0.8269,0.8788
1,103,30.4783,0.8146,0.8798
1,104,30.8972,0.7999,0.8786
1,105,30.8231,0.8114,0.8795
1,106,30.9306,0.8371,0.8781
1,107,30.6076,0.8085,0.8773
1,108,30.1467,0.8013,0.8819
1,109,30.3105,0.8157,0.8790
1,110,30.4578,0.8119,0.8789
1,111,30.8046,0.8153,0.8779
1,112,31.1339,0.8124,0.8766
1,113,30.8017,0.8156,0.8774
1,114,30.8522,0.8103,0.8773
1,115,30.8126,0.8140,0.8792
1,116,30.6196,0.8024,0.8787
1,117,30.9587,0.8058,0.8772
1,118,30.8468,0.8093,0.8779
1,119,30.5636,0.8053,0.8784
1,120,30.7820,0.8065,0.8780
1,121,30.6673,0.8147,0.8804
1,122,30.6318,0.8078,0.8788
1,123,30.3067,0.8176,0.8801
1,124,30.7566,0.8166,0.8785
1,125,30.5935,0.8247,0.8785
1,126,30.5653,0.8060,0.8784
1,127,30.4852,0.8200,0.8773
1,128,30.5766,0.8077,0.8790
1,129,31.2718,0.8133,0.8772
1,130,30.4821,0.7939,0.8799
1,131,30.8364,0.7972,0.8774
1,132,30.8201,0.8194,0.8777
1,133,30.7569,0.8229,0.8786
1,134,31.1360,0.8288,0.8764
1,135,31.0066,0.8087,0.8773
1,136,30.5855,0.8243,0.8792
1,137,30.8503,0.8118,0.8791
1,138,31.1185,0.8260,0.8769
1,139,30.7949,0.8090,0.8784
1,140,31.2453,0.8179,0.8767
1,141,30.5302,0.8145,0.8794
1,142,30.7670,0.8179,0.8776
1,143,31.0905,0.8114,0.8765
1,144,30.6757,0.8234,0.8787
1,145,30.6566,0.8244,0.8783
1,146,30.8270,0.8073,0.8783
1,147,30.5864,0.8044,0.8795
1,148,30.7185,0.8155,0.8786
1,149,30.6198,0.8009,0.8792
1,150,31.0370,0.8236,0.8741
1,151,30.5791,0.8224,0.8789
1,152,31.0542,0.8048,0.8788
1,153,30.9932,0.7996,0.8763
1,154,30.4866,0.8086,0.8794
1,155,30.8988,0.8125,0.8787
1,156,30.5622,0.8171,0.8798
1,157,30.7027,0.8067,0.8788
1,158,30.8478,0.8192,0.8782
1,159,30.3223,0.8233,0.8814
1,160,30.7963,0.8133,0.8773
1,161,30.8998,0.8042,0.8780
1,162,31.3701,0.8061,0.8763
1,163,31.0756,0.8351,0.8782
