eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,24.44555,0.577675,0.8985125,0.0,0.0
1.0,0.0,64.40326,0.84936255,0.7367125,0.0,0.0
2.0,0.0,72.88221,0.9716,0.6955875,0.0,0.0
3.0,0.0,81.53172,1.1219375,0.64222497,0.0,0.0
4.0,0.0,97.331924,1.0831625,0.65169996,0.0,0.0
5.0,0.0,89.28053,0.970425,0.669675,0.0,0.0
6.0,0.0,73.07149,0.78135,0.7668875,0.0,0.0
7.0,0.0,90.17871,1.183475,0.6721,0.0,0.0
8.0,0.0,118.50162,0.92125005,0.675025,0.0,0.0
9.0,0.0,132.2373,1.8700125,0.33677503,0.0,0.0
0.0,1.0,28.235012,0.5781125,0.88432497,0.0142,-0.0142
1.0,1.0,26.87411,0.585275,0.887625,0.0,0.0
2.0,1.0,48.310112,0.78594995,0.7999375,0.0,0.0
3.0,1.0,53.51474,0.8088125,0.76988745,0.0,0.0
4.0,1.0,61.240902,0.85620004,0.78596246,0.0,0.0
5.0,1.0,63.56883,0.754125,0.7691375,0.0,0.0
6.0,1.0,55.86314,0.6776875,0.81337506,0.0,0.0
7.0,1.0,67.79294,0.7945125,0.750775,0.0,0.0
8.0,1.0,123.70415,0.7823125,0.67542493,0.0,0.0
9.0,1.0,119.22487,0.85362494,0.450525,0.0,0.0
0.0,2.0,28.233936,0.56555,0.88095,0.017562501,-0.017562501
1.0,2.0,33.09649,0.6078875,0.8630376,0.024612501,-0.024612501
2.0,2.0,26.366125,0.61866254,0.8886625,0.0,0.0
3.0,2.0,43.5811,0.6990875,0.809475,0.0,0.0
4.0,2.0,51.979576,0.7900375,0.8165,0.0,0.0
5.0,2.0,54.575214,0.72632504,0.7997375,0.0,0.0
6.0,2.0,51.234203,0.59995,0.8275874,0.0,0.0
7.0,2.0,55.657047,0.7290125,0.79235,0.0,0.0
8.0,2.0,131.98622,0.75712496,0.6520625,0.0,0.0
9.0,2.0,110.30206,0.88907504,0.51735,0.0,0.0
0.0,3.0,28.192913,0.5694375,0.88417494,0.01435,-0.01435
1.0,3.0,33.064697,0.607925,0.8649125,0.0227,-0.0227
2.0,3.0,33.83425,0.6546875,0.85765,0.030975,-0.030975
3.0,3.0,26.497274,0.586375,0.88355005,0.0,0.0
4.0,3.0,51.15019,0.75461245,0.8221251,0.0,0.0
5.0,3.0,46.847515,0.69835,0.8277625,0.0,0.0
6.0,3.0,47.606552,0.58722496,0.83765006,0.0,0.0
7.0,3.0,48.61914,0.70119995,0.8094125,0.0,0.0
8.0,3.0,87.49053,0.66986245,0.7526125,0.0,0.0
9.0,3.0,58.190723,0.8459126,0.72791255,0.0,0.0
0.0,4.0,28.446949,0.58495,0.8801875,0.018312499,-0.018312499
1.0,4.0,32.586575,0.633525,0.8656875,0.02195,-0.02195
2.0,4.0,33.990562,0.6774625,0.8561375,0.0325,-0.0325
3.0,4.0,31.704264,0.6645125,0.85966253,0.0239,-0.0239
4.0,4.0,31.566727,0.72255,0.885175,0.0,0.0
5.0,4.0,46.08931,0.7234875,0.8283,0.0,0.0
6.0,4.0,42.296814,0.6164,0.85148746,0.0,0.0
7.0,4.0,43.485474,0.7268125,0.8248875,0.0,0.0
8.0,4.0,78.23957,0.67213744,0.78147495,0.0,0.0
9.0,4.0,51.079124,0.95912504,0.7636,0.0,0.0
0.0,5.0,28.12415,0.5633875,0.8831875,0.015325001,-0.015325001
1.0,5.0,32.081776,0.61732495,0.86795,0.0196875,-0.0196875
2.0,5.0,32.87965,0.67382497,0.86345,0.0251875,-0.0251875
3.0,5.0,32.277,0.67115,0.8585625,0.0249875,-0.0249875
4.0,5.0,39.49626,0.78275,0.860125,0.025037501,-0.025037501
5.0,5.0,30.884325,0.61155003,0.88567495,0.0,0.0
6.0,5.0,40.778187,0.5871625,0.85951257,0.0,0.0
7.0,5.0,41.394775,0.6992125,0.8349875,0.0,0.0
8.0,5.0,64.13009,0.65067494,0.81194997,0.0,0.0
9.0,5.0,43.71819,0.73973745,0.80805,0.0,0.0
0.0,6.0,28.364689,0.5847375,0.88303745,0.015475,-0.015475
1.0,6.0,32.776825,0.6342125,0.8639626,0.023662498,-0.023662498
2.0,6.0,35.155663,0.69982505,0.8513125,0.0373125,-0.0373125
