training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,274.5134,3.1716,-0.0464
0,1,190.7951,5.7492,0.2375
0,2,160.2846,3.2234,0.3541
0,3,144.8914,3.2587,0.4244
0,4,129.6875,3.6423,0.4947
0,5,118.9145,2.9838,0.5478
0,6,110.1727,2.5194,0.5839
0,7,101.8337,2.3457,0.6141
0,8,95.0893,2.0601,0.6421
0,9,89.8941,1.8040,0.6536
0,10,85.0318,1.6689,0.6716
0,11,80.7718,1.6085,0.6917
0,12,77.4172,1.5247,0.7006
0,13,75.4703,1.5149,0.7062
0,14,73.1237,1.4432,0.7169
0,15,69.5140,1.4241,0.7281
0,16,68.4823,1.4112,0.7387
0,17,66.5844,1.3102,0.7394
0,18,64.2582,1.3643,0.7505
0,19,63.5874,1.2060,0.7549
0,20,60.4173,1.2441,0.7682
0,21,59.5869,1.2308,0.7690
0,22,58.8802,1.3110,0.7718
0,23,57.2095,1.1530,0.7804
0,24,56.2414,1.1748,0.7817
0,25,54.5573,1.2013,0.7857
0,26,55.4935,1.1810,0.7836
0,27,53.5258,1.1614,0.7933
0,28,52.8266,1.1979,0.7916
0,29,51.6218,1.1333,0.8043
0,30,51.8197,1.1481,0.7944
0,31,50.8741,1.1773,0.7957
0,32,49.7338,1.1003,0.8062
0,33,49.2459,1.1891,0.8098
0,34,48.7661,1.1298,0.8085
0,35,47.8715,1.0697,0.8125
0,36,46.2308,1.1628,0.8215
0,37,46.8665,1.0231,0.8172
0,38,45.0842,1.0501,0.8257
0,39,45.4908,1.0526,0.8194
0,40,44.9550,1.0554,0.8195
0,41,43.9937,1.0733,0.8227
0,42,44.7328,1.0535,0.8235
0,43,43.9703,1.0373,0.8283
0,44,43.5655,1.0191,0.8284
0,45,44.0908,1.0458,0.8247
0,46,43.5923,1.0482,0.8263
0,47,42.6475,1.0144,0.8304
0,48,42.3230,1.0049,0.8357
0,49,41.2910,1.0676,0.8325
0,50,42.1600,1.0350,0.8363
0,51,41.1082,0.9809,0.8319
0,52,40.6391,1.0032,0.8405
0,53,40.7474,0.9538,0.8395
0,54,40.4765,0.9760,0.8390
0,55,39.2854,1.0308,0.8458
0,56,39.2069,0.9428,0.8440
0,57,39.0436,1.0133,0.8462
0,58,39.3493,0.9551,0.8459
0,59,38.5655,0.9781,0.8458
0,60,38.4538,0.9562,0.8439
0,61,37.5627,0.9572,0.8492
0,62,37.5637,0.9447,0.8509
0,63,37.5421,0.9526,0.8526
