training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,271.5212,3.0160,-0.0333
0,1,186.3662,5.6344,0.2499
0,2,158.8767,3.2113,0.3664
0,3,141.5477,3.5485,0.4411
0,4,128.5963,3.4446,0.5010
0,5,118.0450,2.8646,0.5490
0,6,110.2526,2.5226,0.5755
0,7,101.1690,2.2142,0.6086
0,8,94.6303,1.9619,0.6393
0,9,89.5424,1.6872,0.6610
0,10,84.8051,1.7115,0.6757
0,11,81.4281,1.5776,0.6858
0,12,78.3322,1.5857,0.6934
0,13,74.4418,1.5160,0.7173
0,14,72.2385,1.5111,0.7124
0,15,68.5017,1.3821,0.7352
0,16,66.7210,1.4794,0.7424
0,17,65.2887,1.3812,0.7498
0,18,63.3699,1.4000,0.7530
0,19,62.6161,1.3052,0.7540
0,20,59.8651,1.3346,0.7663
0,21,59.3524,1.2843,0.7658
0,22,58.2290,1.2868,0.7750
0,23,57.0119,1.1994,0.7816
0,24,55.8988,1.2696,0.7836
0,25,55.7143,1.2025,0.7883
0,26,52.5895,1.1387,0.7980
0,27,53.1740,1.1769,0.7926
0,28,52.2723,1.1996,0.7941
0,29,51.4822,1.2041,0.7933
0,30,51.0848,1.1195,0.8010
0,31,49.6746,1.1768,0.8061
0,32,48.7341,1.1063,0.8085
0,33,49.2690,1.1131,0.8058
0,34,48.4145,1.1345,0.8106
0,35,48.6815,1.1801,0.8070
0,36,47.4320,1.0569,0.8107
0,37,46.8102,1.1194,0.8135
0,38,46.8295,1.0350,0.8185
0,39,45.5600,1.0310,0.8217
0,40,45.6595,1.0928,0.8228
0,41,44.7644,1.0675,0.8283
0,42,44.1968,1.0392,0.8274
0,43,44.4605,1.0771,0.8258
0,44,43.4674,1.0383,0.8311
0,45,43.1007,1.0741,0.8340
0,46,42.7481,1.0743,0.8338
0,47,42.8791,0.9974,0.8307
0,48,42.1045,1.0210,0.8323
0,49,41.4703,1.0144,0.8381
0,50,41.8005,0.9628,0.8390
0,51,41.0914,0.9770,0.8374
0,52,41.2768,0.9684,0.8390
0,53,40.2413,1.0202,0.8399
0,54,39.8859,0.9321,0.8404
0,55,39.8751,1.0071,0.8416
0,56,40.1366,1.0187,0.8418
0,57,40.5097,0.9933,0.8362
0,58,39.9195,0.9455,0.8425
0,59,38.4232,0.9536,0.8476
0,60,38.0616,0.9300,0.8475
0,61,38.2730,0.9463,0.8490
0,62,38.2848,0.9153,0.8504
0,63,38.7077,0.9564,0.8454
0,64,37.1009,0.9667,0.8539
0,65,37.3206,0.9354,0.8536
0,66,37.4887,0.9385,0.8514
0,67,37.2609,0.9268,0.8524
0,68,36.8027,0.9089,0.8528
0,69,37.0833,0.9127,0.8527
0,70,36.5151,0.9005,0.8562
0,71,37.0608,0.9054,0.8545
0,72,35.9940,0.9040,0.8598
0,73,36.4011,0.8612,0.8556
0,74,35.3202,0.9180,0.8605
0,75,36.1618,0.9163,0.8581
0,76,35.6982,0.9321,0.8595
0,77,35.8581,0.8966,0.8601
0,78,35.3792,0.8920,0.8620
0,79,34.9057,0.9006,0.8642
0,80,35.4813,0.8603,0.8574
0,81,35.0412,0.8948,0.8622
0,82,34.5571,0.9182,0.8645
0,83,34.3704,0.8738,0.8635
0,84,34.4167,0.9439,0.8608
0,85,34.7314,0.8891,0.8631
0,86,34.4162,0.8523,0.8657
0,87,33.4915,0.9139,0.8644
0,88,33.6231,0.8480,0.8656
0,89,33.6380,0.8569,0.8677
0,90,32.8423,0.8540,0.8716
0,91,33.6956,0.8713,0.8650
0,92,33.6194,0.9078,0.8651
0,93,33.4501,0.8502,0.8686
0,94,32.6759,0.9287,0.8710
0,95,33.2065,0.8286,0.8706
0,96,32.2469,0.8551,0.8717
0,97,32.3140,0.8761,0.8707
0,98,32.2529,0.8540,0.8714
0,99,32.0334,0.8334,0.8751
0,100,33.0532,0.8584,0.8686
0,101,32.1254,0.8518,0.8716
0,102,31.7543,0.8074,0.8758
0,103,32.6952,0.8439,0.8681
0,104,31.5000,0.8681,0.8732
0,105,32.0581,0.8183,0.8717
0,106,31.3543,0.8415,0.8698
0,107,31.8906,0.8337,0.8736
0,108,31.3921,0.8838,0.8771
0,109,31.9454,0.8482,0.8702
0,110,31.2338,0.8399,0.8752
0,111,31.5673,0.8308,0.8745
0,112,31.3921,0.8205,0.8756
0,113,30.4925,0.8513,0.8801
0,114,30.7788,0.8378,0.8802
0,115,30.6953,0.8116,0.8802
0,116,30.3781,0.8222,0.8785
0,117,31.3925,0.8606,0.8730
0,118,30.0344,0.7876,0.8791
0,119,30.2895,0.8204,0.8806
0,120,29.3852,0.8377,0.8802
0,121,30.2908,0.7842,0.8780
0,122,30.2315,0.7863,0.8818
0,123,30.1967,0.8631,0.8804
0,124,30.2921,0.8083,0.8786
0,125,30.0535,0.8172,0.8786
0,126,29.8011,0.8290,0.8823
0,127,29.7579,0.7740,0.8824
0,128,29.3087,0.8109,0.8854
0,129,29.5969,0.8239,0.8824
0,130,29.3734,0.8044,0.8822
0,131,28.5229,0.8074,0.8855
0,132,29.3574,0.8233,0.8829
0,133,28.8225,0.7817,0.8855
0,134,28.7410,0.7791,0.8844
0,135,29.4405,0.8063,0.8855
0,136,28.8172,0.7707,0.8872
0,137,29.2770,0.7819,0.8835
0,138,28.5944,0.7852,0.8849
0,139,27.9881,0.8042,0.8897
0,140,28.6857,0.7733,0.8811
0,141,28.6201,0.7826,0.8845
0,142,28.7100,0.8081,0.8839
0,143,28.7601,0.7973,0.8850
0,144,28.4184,0.7479,0.8885
0,145,27.7486,0.7683,0.8895
0,146,27.9010,0.7729,0.8894
0,147,27.7515,0.7742,0.8901
0,148,28.5469,0.7650,0.8878
0,149,27.7215,0.7674,0.8875
0,150,27.8182,0.7825,0.8886
0,151,28.0339,0.7716,0.8898
0,152,28.1906,0.7616,0.8858
0,153,27.3614,0.7827,0.8892
0,154,28.0958,0.8092,0.8867
0,155,27.9001,0.7872,0.8880
0,156,28.1048,0.7580,0.8872
0,157,26.8138,0.7735,0.8937
0,158,27.5898,0.7598,0.8926
0,159,27.8968,0.7316,0.8887
0,160,27.3509,0.7691,0.8920
0,161,26.6928,0.7784,0.8931
0,162,26.6750,0.7538,0.8950
0,163,27.1412,0.7595,0.8907
0,164,26.7462,0.7516,0.8923
0,165,26.7723,0.7508,0.8922
0,166,27.4453,0.7589,0.8894
0,167,26.6861,0.7622,0.8918
0,168,27.0862,0.7764,0.8915
0,169,26.7497,0.7851,0.8907
0,170,26.4961,0.7895,0.8915
0,171,26.4418,0.7267,0.8937
0,172,26.6310,0.7364,0.8927
0,173,26.4716,0.7670,0.8933
0,174,26.4403,0.7756,0.8944
0,175,27.1994,0.7432,0.8905
0,176,26.4644,0.7412,0.8929
0,177,26.0139,0.7391,0.8955
0,178,26.4398,0.7849,0.8934
0,179,26.3434,0.7560,0.8939
0,180,26.6040,0.7512,0.8932
0,181,25.9581,0.7424,0.8973
0,182,26.1342,0.7593,0.8934
0,183,26.2486,0.7474,0.8962
0,184,26.3151,0.7894,0.8955
0,185,26.0332,0.7635,0.8973
0,186,26.4011,0.7320,0.8940
0,187,25.5701,0.7216,0.8987
0,188,25.6601,0.7694,0.8950
0,189,25.3625,0.7761,0.8982
0,190,25.7698,0.7536,0.8962
0,191,25.8553,0.7492,0.8950
0,192,26.1560,0.7775,0.8948
0,193,26.3069,0.7471,0.8965
0,194,25.5713,0.7618,0.8965
0,195,25.7295,0.7501,0.8944
0,196,26.0736,0.7273,0.8939
0,197,26.2694,0.7687,0.8937
0,198,26.0076,0.7749,0.8982
0,199,25.6245,0.7575,0.8938
1,0,226.3533,3.9463,0.1051
1,1,151.1505,2.9884,0.3987
1,2,124.1158,2.9158,0.5071
1,3,110.2861,2.5809,0.5674
1,4,99.3340,2.1000,0.6129
1,5,91.8259,1.8853,0.6404
1,6,86.2473,1.7245,0.6610
1,7,81.0253,1.6173,0.6795
1,8,75.9833,1.6173,0.6995
1,9,71.5012,1.5065,0.7168
1,10,67.3984,1.4552,0.7324
1,11,64.6971,1.3806,0.7433
1,12,62.4316,1.4019,0.7519
1,13,58.9383,1.3434,0.7656
1,14,57.2434,1.2805,0.7732
1,15,55.7428,1.3247,0.7739
1,16,53.6060,1.2315,0.7832
1,17,53.1146,1.2427,0.7870
1,18,50.9337,1.1795,0.7953
1,19,49.4003,1.1948,0.7992
1,20,48.7914,1.1261,0.8034
1,21,47.8892,1.1226,0.8052
1,22,46.2366,1.1303,0.8125
1,23,44.9646,1.0922,0.8161
1,24,44.1706,1.0767,0.8193
1,25,44.3023,1.0972,0.8206
1,26,42.8371,1.0345,0.8227
1,27,42.4825,1.0675,0.8261
1,28,42.0045,1.0808,0.8280
1,29,41.4480,1.0227,0.8298
1,30,40.8374,1.0178,0.8315
1,31,39.6465,1.0007,0.8381
1,32,40.8800,1.0104,0.8309
1,33,39.3004,0.9812,0.8379
1,34,39.2362,1.0032,0.8375
1,35,39.1683,0.9595,0.8375
1,36,38.0334,0.9368,0.8444
1,37,37.7558,0.9694,0.8437
1,38,37.9658,0.9564,0.8421
1,39,37.1847,0.9621,0.8471
1,40,37.5705,0.9293,0.8423
1,41,36.8838,0.9332,0.8471
1,42,36.9367,0.9252,0.8467
1,43,35.8611,0.9314,0.8507
1,44,35.9118,0.9389,0.8506
1,45,35.7758,0.9162,0.8501
1,46,35.2977,0.9391,0.8537
