eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.21083228,0.010681294,0.0009443946,0.0,0.0
0.0,0.0,1.3330735,0.033793014,0.0067338655,0.0,0.0
0.0,0.0,1.8797452,0.032744348,0.009324131,0.0,0.0
0.0,0.0,3.2830894,0.06484919,0.014430558,0.0,0.0
0.0,0.0,3.8157907,0.05013768,0.014783669,0.0,0.0
0.0,0.0,3.8335276,0.049469564,0.015520872,0.0,0.0
0.0,0.0,3.6396468,0.029485798,0.012248537,0.0,0.0
0.0,0.0,6.1371427,0.050566666,0.018605893,0.0,0.0
0.0,0.0,8.863832,0.099716656,0.022765651,0.0,0.0
0.0,0.0,16.595757,0.33681145,0.07397779,0.0,0.0
0.0,0.0,1.0414091,0.014404985,0.004508317,0.0045747776,0.0045747776
0.0,0.0,0.42917988,0.012094902,0.0015386179,0.0,0.0
0.0,0.0,0.9343091,0.012955599,0.0047010644,0.0,0.0
0.0,0.0,0.9314806,0.011124052,0.0039036656,0.0,0.0
0.0,0.0,1.2732077,0.020091856,0.0046970686,0.0,0.0
0.0,0.0,1.676171,0.0143611925,0.0059382096,0.0,0.0
0.0,0.0,0.6790417,0.015683891,0.002572803,0.0,0.0
0.0,0.0,1.7767321,0.021673284,0.006002292,0.0,0.0
0.0,0.0,7.603579,0.03135725,0.018051658,0.0,0.0
0.0,0.0,10.590155,0.045760337,0.05415935,0.0,0.0
0.0,0.0,1.5826193,0.015168937,0.007937088,0.008413373,0.008413373
0.0,0.0,1.7646466,0.019062964,0.007949758,0.007379438,0.007379438
0.0,0.0,0.58454436,0.0195379,0.0024098759,0.0,0.0
0.0,0.0,0.5484493,0.01667538,0.0028043452,0.0,0.0
0.0,0.0,1.2475165,0.023946758,0.0041439654,0.0,0.0
0.0,0.0,1.4166389,0.019994995,0.005423086,0.0,0.0
0.0,0.0,1.1288108,0.0153727075,0.002989047,0.0,0.0
