training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,271.8488,3.2629,-0.0407
0,1,189.6842,5.6052,0.2444
0,2,159.7859,3.2363,0.3684
0,3,142.1002,3.4565,0.4474
0,4,130.2972,3.4535,0.4950
0,5,117.9957,2.9230,0.5573
0,6,109.5596,2.6652,0.5830
0,7,102.0803,2.3158,0.6149
0,8,96.0550,2.0239,0.6412
0,9,91.4991,1.7674,0.6518
0,10,85.9436,1.7287,0.6712
0,11,82.3568,1.6015,0.6851
0,12,80.0193,1.5851,0.6846
0,13,75.3782,1.5479,0.7069
0,14,73.8694,1.4534,0.7088
0,15,71.3323,1.5054,0.7202
0,16,69.4086,1.3814,0.7340
0,17,66.2190,1.4219,0.7436
0,18,64.6508,1.3394,0.7459
0,19,64.2098,1.3410,0.7558
0,20,62.0731,1.2613,0.7573
0,21,61.6478,1.2828,0.7647
0,22,59.7198,1.1980,0.7688
0,23,57.8954,1.2169,0.7753
0,24,57.7011,1.2954,0.7783
0,25,56.7083,1.1421,0.7815
0,26,55.9999,1.2536,0.7833
0,27,54.7894,1.2078,0.7803
0,28,52.7270,1.1762,0.7989
0,29,52.2734,1.1612,0.8012
0,30,51.7775,1.1873,0.7976
0,31,50.5610,1.1149,0.8046
0,32,49.8557,1.1585,0.8063
0,33,48.5233,1.1094,0.8105
0,34,48.3014,1.1463,0.8114
0,35,48.3351,1.1082,0.8128
0,36,48.2554,1.1379,0.8096
0,37,47.9588,1.0628,0.8105
0,38,47.1624,1.0966,0.8128
0,39,46.6450,1.0814,0.8174
0,40,45.7332,1.0526,0.8189
0,41,45.5545,1.1408,0.8252
0,42,45.4717,1.0468,0.8215
0,43,44.1890,1.0177,0.8237
0,44,45.0105,1.0724,0.8203
0,45,43.2460,1.0207,0.8305
0,46,43.5717,1.0381,0.8295
0,47,42.6560,1.0576,0.8310
0,48,42.2240,1.0384,0.8349
0,49,43.8501,1.0076,0.8261
0,50,42.4836,1.0505,0.8302
0,51,41.1882,1.0137,0.8402
0,52,41.3911,0.9589,0.8338
0,53,40.8534,1.0022,0.8385
0,54,40.0528,1.0032,0.8413
0,55,40.0280,0.9950,0.8429
0,56,39.7184,1.0063,0.8433
0,57,40.0541,0.9986,0.8399
0,58,40.2548,0.9545,0.8421
0,59,39.0986,0.9637,0.8468
0,60,39.0154,0.9897,0.8431
0,61,38.6832,0.9892,0.8434
0,62,38.5605,0.9487,0.8481
0,63,38.1852,0.9687,0.8484
0,64,38.4393,0.9398,0.8478
0,65,38.2115,0.9280,0.8509
0,66,38.2822,0.9561,0.8494
0,67,37.4621,0.9380,0.8493
0,68,37.5592,0.9646,0.8527
0,69,36.8396,0.8847,0.8542
0,70,36.7577,0.9326,0.8532
0,71,36.3034,0.9294,0.8574
0,72,36.3607,0.9030,0.8579
0,73,36.9904,0.8790,0.8536
0,74,36.2419,0.9082,0.8550
0,75,35.6492,0.9242,0.8575
0,76,35.8256,0.9296,0.8569
0,77,35.7838,0.9188,0.8593
0,78,35.3408,0.8770,0.8599
0,79,35.4402,0.9368,0.8616
0,80,35.1519,0.9230,0.8635
0,81,35.2751,0.9072,0.8614
0,82,34.7800,0.8920,0.8607
0,83,34.6083,0.8947,0.8625
0,84,34.9615,0.8778,0.8627
0,85,34.5317,0.8784,0.8617
0,86,35.0046,0.9432,0.8613
0,87,34.0206,0.9019,0.8656
0,88,33.4518,0.8947,0.8698
0,89,33.4399,0.8672,0.8672
0,90,33.3727,0.8257,0.8673
0,91,33.3885,0.8613,0.8672
0,92,33.4156,0.8823,0.8676
0,93,33.2402,0.9071,0.8658
0,94,32.9706,0.8756,0.8721
0,95,32.6297,0.8418,0.8714
0,96,33.3239,0.8670,0.8686
0,97,32.7618,0.9059,0.8689
0,98,31.9453,0.8611,0.8753
0,99,32.1556,0.8569,0.8722
0,100,31.9288,0.8772,0.8722
0,101,31.9389,0.8307,0.8733
0,102,32.5101,0.8481,0.8722
0,103,32.1554,0.8596,0.8702
0,104,32.2707,0.8509,0.8682
0,105,32.0336,0.9194,0.8709
0,106,31.7396,0.8656,0.8752
0,107,31.9036,0.8428,0.8752
0,108,31.2482,0.8838,0.8752
0,109,31.5943,0.8643,0.8749
0,110,31.3115,0.8317,0.8735
0,111,31.4013,0.8529,0.8757
0,112,30.5986,0.8255,0.8769
0,113,30.3119,0.8254,0.8809
0,114,30.9855,0.8074,0.8767
0,115,29.9903,0.8790,0.8812
0,116,30.7631,0.8334,0.8751
0,117,30.2569,0.8218,0.8795
0,118,30.6993,0.7946,0.8787
0,119,30.7387,0.8235,0.8776
0,120,29.6589,0.8094,0.8828
