eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.32831725,0.016687708,0.0012121865,0.0,0.0
0.0,0.0,1.8136417,0.026743973,0.008752575,0.0,0.0
0.0,0.0,2.454044,0.028374318,0.012322126,0.0,0.0
0.0,0.0,4.3571653,0.051199522,0.019884154,0.0,0.0
0.0,0.0,4.1520734,0.03516408,0.016549144,0.0,0.0
0.0,0.0,2.880595,0.03721761,0.0107233785,0.0,0.0
0.0,0.0,4.0891576,0.020911278,0.014370141,0.0,0.0
0.0,0.0,4.589475,0.042511795,0.014786724,0.0,0.0
0.0,0.0,4.5353503,0.051521193,0.012713179,0.0,0.0
0.0,0.0,11.048828,0.14448372,0.056860182,0.0,0.0
0.0,0.0,1.2073641,0.029424213,0.004914025,0.005418127,0.005418127
0.0,0.0,0.39351666,0.025658244,0.0020698619,0.0,0.0
0.0,0.0,2.060633,0.0251834,0.0071350774,0.0,0.0
0.0,0.0,1.4316676,0.026660971,0.005122732,0.0,0.0
0.0,0.0,1.7141646,0.033922814,0.004550547,0.0,0.0
0.0,0.0,2.0758548,0.025416741,0.008822752,0.0,0.0
0.0,0.0,2.1122835,0.019246625,0.0061987927,0.0,0.0
0.0,0.0,2.4273682,0.030426443,0.0082936445,0.0,0.0
0.0,0.0,7.4639907,0.030331481,0.020800592,0.0,0.0
0.0,0.0,13.505027,0.048848424,0.06163777,0.0,0.0
0.0,0.0,0.9189873,0.036833636,0.0037004938,0.0042993454,0.0042993454
0.0,0.0,1.8491068,0.029282482,0.007883995,0.008033952,0.008033952
0.0,0.0,0.91134715,0.03695754,0.0035348288,0.0,0.0
0.0,0.0,1.1301031,0.030399907,0.004690958,0.0,0.0
0.0,0.0,1.7463933,0.033732936,0.006771819,0.0,0.0
0.0,0.0,1.9712735,0.03582741,0.0064301603,0.0,0.0
0.0,0.0,2.0653453,0.026134811,0.005733838,0.0,0.0
0.0,0.0,2.378785,0.037162073,0.008172961,0.0,0.0
0.0,0.0,11.456276,0.019478902,0.030862208,0.0,0.0
0.0,0.0,13.783817,0.080561556,0.049209293,0.0,0.0
0.0,0.0,2.1679845,0.023445955,0.007886023,0.008322709,0.008322709
