training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,271.4795,3.1695,-0.0205
0,1,188.4894,5.7194,0.2338
0,2,157.3240,3.2460,0.3695
0,3,141.7877,3.3231,0.4359
0,4,128.5003,3.5105,0.4974
0,5,117.9680,2.9082,0.5464
0,6,109.2711,2.5848,0.5786
0,7,100.3908,2.2739,0.6179
0,8,94.2243,2.0247,0.6349
0,9,88.4197,1.7942,0.6609
0,10,83.5212,1.6280,0.6804
0,11,78.4027,1.6116,0.7005
0,12,76.4623,1.5543,0.7042
0,13,73.7425,1.5217,0.7136
0,14,71.3145,1.3995,0.7264
0,15,67.9209,1.4180,0.7356
0,16,66.6538,1.3436,0.7413
0,17,65.2208,1.3140,0.7465
0,18,63.0821,1.3259,0.7557
0,19,61.6578,1.2642,0.7571
0,20,60.2582,1.2943,0.7645
0,21,58.8082,1.2750,0.7708
0,22,57.8273,1.1666,0.7759
0,23,55.4590,1.2351,0.7809
0,24,55.9462,1.1579,0.7847
0,25,54.5228,1.1697,0.7875
0,26,54.6173,1.1456,0.7889
0,27,52.5213,1.1460,0.7989
0,28,51.5296,1.1260,0.7972
0,29,50.7773,1.1268,0.8019
0,30,49.6540,1.1221,0.8042
0,31,49.1336,1.1692,0.8060
0,32,48.5532,1.0353,0.8097
0,33,47.6451,1.1030,0.8162
0,34,48.2017,1.1266,0.8118
0,35,47.2233,1.0912,0.8116
0,36,45.6579,1.0419,0.8211
0,37,45.9643,1.0523,0.8175
0,38,45.2492,1.0522,0.8222
0,39,45.1955,1.0948,0.8236
0,40,44.9280,1.0236,0.8240
0,41,44.2853,1.0102,0.8275
0,42,43.7163,1.0223,0.8293
0,43,43.9562,1.0265,0.8267
0,44,43.0069,1.0380,0.8279
0,45,42.6872,1.0140,0.8324
0,46,42.4560,1.0182,0.8332
0,47,41.3232,1.0072,0.8383
0,48,41.5331,1.0115,0.8384
0,49,41.2921,0.9747,0.8366
0,50,41.3981,0.9612,0.8346
0,51,41.4796,1.0021,0.8353
