eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,22.370188,0.58051246,0.90681255,0.0,0.0
1.0,0.0,24.373486,0.589725,0.896625,0.0,0.0
2.0,0.0,23.281284,0.6044125,0.9005625,0.0,0.0
3.0,0.0,22.324062,0.5821,0.90035,0.0,0.0
4.0,0.0,28.006311,0.70145005,0.8970625,0.0,0.0
5.0,0.0,27.778276,0.644775,0.89715,0.0,0.0
6.0,0.0,30.4114,0.5310125,0.8902625,0.0,0.0
7.0,0.0,30.513739,0.670875,0.87067497,0.0,0.0
8.0,0.0,25.231924,0.537375,0.9083125,0.0,0.0
9.0,0.0,22.888027,0.8107875,0.89605,0.0,0.0
