eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.24209915,0.01586588,0.0009942802,0.0,0.0
0.0,0.0,0.2803857,0.013557449,0.0012437417,0.0,0.0
0.0,0.0,0.36296067,0.01380222,0.0015975971,0.0,0.0
0.0,0.0,0.33854353,0.013682647,0.0014654312,0.0,0.0
0.0,0.0,0.40998337,0.020242583,0.0014848799,0.0,0.0
0.0,0.0,0.41834936,0.016304273,0.0014924764,0.0,0.0
0.0,0.0,0.28580764,0.013761758,0.0010884983,0.0,0.0
0.0,0.0,0.36386365,0.021915393,0.0017505316,0.0,0.0
0.0,0.0,0.7620983,0.025530957,0.0027975128,0.0,0.0
0.0,0.0,0.65503407,0.05288669,0.0039054463,0.0,0.0
