training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,155.5842,3.2531,0.4121
0,1,94.2039,1.9425,0.6417
0,2,73.5900,1.5913,0.7198
0,3,62.9739,1.3955,0.7595
0,4,56.1887,1.2647,0.7834
0,5,52.2379,1.1889,0.7976
0,6,49.4617,1.1375,0.8070
0,7,47.0803,1.0628,0.8155
0,8,45.2760,1.0578,0.8224
0,9,43.7891,1.0138,0.8276
0,10,43.0044,1.0002,0.8306
0,11,41.5615,0.9686,0.8358
0,12,41.1122,0.9452,0.8369
0,13,40.1665,0.9409,0.8409
0,14,39.6299,0.9290,0.8430
0,15,39.3382,0.9277,0.8437
0,16,38.7079,0.9063,0.8459
0,17,38.3304,0.9026,0.8473
0,18,38.1578,0.8922,0.8480
0,19,37.5313,0.8978,0.8503
0,20,37.0343,0.8736,0.8523
0,21,36.7813,0.8756,0.8531
0,22,36.3313,0.8742,0.8548
0,23,36.2342,0.8735,0.8551
0,24,35.9958,0.8637,0.8562
0,25,35.3935,0.8532,0.8583
0,26,35.3192,0.8528,0.8588
0,27,35.0690,0.8475,0.8598
0,28,34.9042,0.8501,0.8601
0,29,34.7530,0.8474,0.8608
0,30,34.5666,0.8464,0.8615
0,31,34.4593,0.8445,0.8616
0,32,34.2194,0.8389,0.8629
0,33,34.0088,0.8422,0.8637
0,34,33.9524,0.8458,0.8637
0,35,33.6915,0.8444,0.8645
0,36,33.6318,0.8405,0.8650
0,37,33.6918,0.8467,0.8649
0,38,33.3869,0.8488,0.8658
0,39,33.1695,0.8435,0.8662
0,40,32.8948,0.8423,0.8676
0,41,32.7901,0.8426,0.8681
0,42,32.5941,0.8435,0.8684
0,43,32.4971,0.8513,0.8691
0,44,32.3421,0.8407,0.8699
0,45,32.3200,0.8493,0.8704
0,46,32.3310,0.8373,0.8697
0,47,32.1253,0.8507,0.8705
0,48,31.8563,0.8447,0.8721
0,49,31.9731,0.8592,0.8711
0,50,31.8217,0.8486,0.8718
0,51,31.5298,0.8511,0.8729
0,52,31.5896,0.8522,0.8727
0,53,31.5734,0.8563,0.8727
0,54,31.3502,0.8605,0.8737
0,55,31.4489,0.8608,0.8736
0,56,31.3431,0.8587,0.8740
0,57,31.2909,0.8607,0.8733
0,58,31.0875,0.8641,0.8748
0,59,30.9827,0.8583,0.8748
0,60,30.7270,0.8603,0.8761
0,61,30.8903,0.8592,0.8753
0,62,30.8686,0.8589,0.8753
0,63,30.8584,0.8634,0.8751
0,64,30.5115,0.8543,0.8769
0,65,30.5708,0.8547,0.8768
0,66,30.4954,0.8550,0.8768
0,67,30.2624,0.8483,0.8781
0,68,30.4396,0.8592,0.8773
0,69,30.1208,0.8492,0.8783
0,70,30.5064,0.8501,0.8772
0,71,30.2362,0.8441,0.8776
0,72,30.2254,0.8515,0.8777
0,73,30.0449,0.8469,0.8784
0,74,30.1008,0.8525,0.8789
0,75,30.0700,0.8616,0.8785
0,76,30.0395,0.8517,0.8785
0,77,29.8877,0.8547,0.8789
0,78,29.7772,0.8453,0.8795
0,79,29.8699,0.8414,0.8793
