eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,24.263811,0.58377504,0.89953744,0.0,0.0
1.0,0.0,64.19125,0.8545125,0.7386875,0.0,0.0
2.0,0.0,71.507484,0.98056245,0.7018125,0.0,0.0
3.0,0.0,80.555786,1.144075,0.646425,0.0,0.0
4.0,0.0,95.6748,1.09155,0.658375,0.0,0.0
5.0,0.0,87.85613,0.98326254,0.6756,0.0,0.0
6.0,0.0,72.416176,0.7899749,0.77007496,0.0,0.0
7.0,0.0,88.55942,1.2015624,0.678275,0.0,0.0
8.0,0.0,116.62604,0.95828754,0.67885,0.0,0.0
9.0,0.0,127.23151,2.0042126,0.3632375,0.0,0.0
0.0,1.0,24.016024,0.67772496,0.90005,-0.0005,0.0005
1.0,1.0,49.25609,0.8949625,0.80286247,0.0,0.0
2.0,1.0,61.602028,1.0704625,0.7450375,0.0,0.0
3.0,1.0,69.38959,1.1802624,0.69895,0.0,0.0
4.0,1.0,79.67076,1.1577125,0.719525,0.0,0.0
5.0,1.0,77.5067,1.06215,0.7159125,0.0,0.0
6.0,1.0,65.44469,0.852925,0.7904375,0.0,0.0
7.0,1.0,83.94619,1.2468625,0.6993625,0.0,0.0
8.0,1.0,120.51273,0.96000004,0.6723125,0.0,0.0
9.0,1.0,128.74011,1.8396001,0.37603748,0.0,0.0
0.0,2.0,25.913074,0.71377504,0.8905,0.009062501,-0.009062501
1.0,2.0,45.72732,0.8924,0.817875,-0.015025,0.015025
2.0,2.0,47.015602,1.0186125,0.8062001,0.0,0.0
3.0,2.0,61.36769,1.14205,0.733475,0.0,0.0
4.0,2.0,68.83255,1.1274375,0.75775,0.0,0.0
5.0,2.0,68.828575,1.0709125,0.7488,0.0,0.0
6.0,2.0,59.630375,0.8682875,0.80814993,0.0,0.0
7.0,2.0,71.39295,1.251025,0.7466999,0.0,0.0
8.0,2.0,113.7891,0.979275,0.68875,0.0,0.0
9.0,2.0,117.008934,1.7900625,0.454925,0.0,0.0
