eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.22595744,0.017757652,0.0008929413,0.0,0.0
0.0,0.0,0.9711801,0.035832386,0.0051552076,0.0,0.0
0.0,0.0,1.4589895,0.034445703,0.008253549,0.0,0.0
0.0,0.0,1.7171925,0.068058245,0.009455524,0.0,0.0
0.0,0.0,2.2390015,0.054554593,0.010443864,0.0,0.0
0.0,0.0,1.8274634,0.053217106,0.007328546,0.0,0.0
0.0,0.0,1.9307231,0.026131105,0.0065528126,0.0,0.0
0.0,0.0,2.6188598,0.09178693,0.008561498,0.0,0.0
0.0,0.0,3.8137167,0.107829265,0.0083115855,0.0,0.0
0.0,0.0,10.430172,0.49809963,0.05369381,0.0,0.0
0.0,0.0,0.2327437,0.041142672,0.0010380341,0.0008185353,0.0008185353
0.0,0.0,2.014895,0.041778076,0.0071998094,0.0,0.0
0.0,0.0,1.0422952,0.048508313,0.00405892,0.0,0.0
0.0,0.0,1.2278957,0.058789503,0.0052232724,0.0,0.0
0.0,0.0,1.7521588,0.063159615,0.0050955205,0.0,0.0
0.0,0.0,2.0531387,0.055003192,0.008274123,0.0,0.0
0.0,0.0,1.6229888,0.036913335,0.0054041455,0.0,0.0
0.0,0.0,2.5819287,0.06739217,0.0076750997,0.0,0.0
0.0,0.0,3.7127059,0.06712686,0.008411523,0.0,0.0
0.0,0.0,10.448018,0.33924562,0.05486541,0.0,0.0
0.0,0.0,0.6084957,0.01751426,0.0031748961,0.0028883116,0.0028883116
0.0,0.0,1.3315617,0.03550359,0.004875636,0.0061277547,0.0061277547
0.0,0.0,6.062287,0.068224974,0.023845132,0.0,0.0
0.0,0.0,3.9516,0.0671395,0.016344538,0.0,0.0
0.0,0.0,4.935738,0.04616691,0.016496507,0.0,0.0
0.0,0.0,4.1258483,0.044634137,0.015753418,0.0,0.0
0.0,0.0,1.8611705,0.024622977,0.0059912405,0.0,0.0
0.0,0.0,3.9131238,0.07854482,0.0121243615,0.0,0.0
0.0,0.0,3.959207,0.0778078,0.010250366,0.0,0.0
0.0,0.0,7.5473957,0.35843274,0.041567978,0.0,0.0
0.0,0.0,0.5362634,0.018898377,0.002249318,0.001964529,0.001964529
0.0,0.0,1.0537125,0.01718123,0.0041345833,0.005930628,0.005930628
0.0,0.0,3.2593298,0.040869307,0.0128965005,0.0123725245,0.0123725245
0.0,0.0,1.2366666,0.042047348,0.0053765583,0.0,0.0
0.0,0.0,1.7250967,0.030156868,0.0057850545,0.0,0.0
0.0,0.0,1.4197766,0.03414551,0.0055283313,0.0,0.0
0.0,0.0,1.3583322,0.033721417,0.0042446814,0.0,0.0
0.0,0.0,2.417742,0.077147976,0.008780779,0.0,0.0
0.0,0.0,5.564336,0.11165738,0.0151251145,0.0,0.0
0.0,0.0,4.5378437,0.439756,0.020343058,0.0,0.0
0.0,0.0,0.6208516,0.026767848,0.003035512,0.002901616,0.002901616
0.0,0.0,1.011633,0.022245357,0.0039444435,0.008186383,0.008186383
0.0,0.0,3.1702244,0.03336514,0.012617947,0.012416119,0.012416119
0.0,0.0,1.6530805,0.029625101,0.0070584593,0.0029247864,0.0029247864
0.0,0.0,1.866701,0.043612603,0.0063889995,0.0,0.0
0.0,0.0,1.571084,0.039063323,0.0062142964,0.0,0.0
0.0,0.0,0.63024735,0.04974492,0.0016112537,0.0,0.0
0.0,0.0,1.2550759,0.068515934,0.0034808167,0.0,0.0
0.0,0.0,6.6200953,0.09086651,0.017474055,0.0,0.0
0.0,0.0,7.0633025,0.4103155,0.043526035,0.0,0.0
0.0,0.0,0.28947902,0.024245238,0.0012144961,0.0013180835,0.0013180835
0.0,0.0,1.3280483,0.013428316,0.0060438886,0.0110082645,0.0110082645
0.0,0.0,2.5390399,0.02471548,0.01032957,0.014286794,0.014286794
0.0,0.0,1.0384234,0.017694058,0.00464258,0.0022247192,0.0022247192
0.0,0.0,1.6417254,0.033722088,0.0052623414,0.0035452212,0.0035452212
0.0,0.0,0.94036335,0.009179316,0.0031772386,0.0,0.0
0.0,0.0,0.751413,0.054059107,0.002588319,0.0,0.0
0.0,0.0,1.4268203,0.04330044,0.004065693,0.0,0.0
0.0,0.0,4.09064,0.026713705,0.011156048,0.0,0.0
0.0,0.0,2.766243,0.1776737,0.018001834,0.0,0.0
0.0,0.0,0.43835592,0.029033467,0.0018799986,0.0019833292,0.0019833292
0.0,0.0,0.9939456,0.019579925,0.0037386608,0.009086253,0.009086253
0.0,0.0,2.6914299,0.032547265,0.01049964,0.013916532,0.013916532
0.0,0.0,1.1372535,0.027950928,0.0040557845,0.004387411,0.004387411
0.0,0.0,1.8252962,0.033869985,0.005596088,0.003756973,0.003756973
0.0,0.0,1.4033777,0.021891382,0.004521039,0.003702026,0.003702026
0.0,0.0,0.9948633,0.023054713,0.003011537,0.0,0.0
0.0,0.0,0.9684549,0.042234402,0.0030390965,0.0,0.0
0.0,0.0,4.0968394,0.041784152,0.011593955,0.0,0.0
0.0,0.0,4.245039,0.21065764,0.028107936,0.0,0.0
0.0,0.0,0.5546427,0.032923147,0.002336006,0.0026718148,0.0026718148
0.0,0.0,0.63052404,0.022132836,0.0034503504,0.008594393,0.008594393
0.0,0.0,1.9096681,0.035973623,0.007889707,0.01623484,0.01623484
0.0,0.0,0.83551323,0.037401162,0.0037185354,0.004182105,0.004182105
0.0,0.0,1.8032913,0.028305927,0.0059707006,0.0038935044,0.0038935044
0.0,0.0,1.2172025,0.0364662,0.0037706166,0.0034897842,0.0034897842
0.0,0.0,1.0462471,0.086924486,0.0035449893,0.005168882,0.005168882
0.0,0.0,1.0031446,0.05424466,0.0036248907,0.0,0.0
0.0,0.0,3.410412,0.043715306,0.009833104,0.0,0.0
0.0,0.0,4.5136695,0.23742177,0.029919395,0.0,0.0
0.0,0.0,0.5591538,0.026767762,0.0023817047,0.0027468163,0.0027468163
0.0,0.0,0.44755355,0.013690391,0.0023915202,0.0075281863,0.0075281863
0.0,0.0,1.953563,0.022579543,0.008086239,0.016037378,0.016037378
0.0,0.0,0.7861102,0.018370083,0.003274503,0.003610553,0.003610553
0.0,0.0,1.7531668,0.016509568,0.0057638837,0.0041431985,0.0041431985
0.0,0.0,1.1943568,0.017251551,0.003828512,0.003371364,0.003371364
0.0,0.0,0.8500076,0.082985446,0.0031527735,0.0047068433,0.0047068433
0.0,0.0,1.0106809,0.03452878,0.0041826293,0.0016977467,0.0016977467
0.0,0.0,1.7652591,0.020529985,0.005334194,0.0,0.0
0.0,0.0,6.731385,0.11332066,0.047099695,0.0,0.0
0.0,0.0,0.4851915,0.023988795,0.002091512,0.0021342444,0.0021342444
0.0,0.0,0.5620622,0.013624006,0.0029395726,0.007948074,0.007948074
0.0,0.0,1.9812582,0.020999929,0.008055116,0.016014915,0.016014915
0.0,0.0,0.92104834,0.015942948,0.003971752,0.0040035723,0.0040035723
0.0,0.0,1.9290016,0.019586734,0.006637576,0.004364559,0.004364559
0.0,0.0,1.101037,0.015370664,0.003503837,0.003632987,0.003632987
0.0,0.0,1.0516155,0.08589118,0.0037649686,0.005644895,0.005644895
0.0,0.0,1.173967,0.0358903,0.0046309885,0.0018044648,0.0018044648
0.0,0.0,1.2597837,0.014912202,0.003948008,0.0019798595,0.0019798595
0.0,0.0,1.4158612,0.113259904,0.007340251,0.0,0.0
