training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,273.0164,3.0350,-0.0465
0,1,187.3782,5.7138,0.2396
0,2,157.3307,3.2409,0.3736
0,3,141.8715,3.3144,0.4346
0,4,128.6327,3.4458,0.4906
0,5,118.0750,3.0846,0.5488
0,6,109.3523,2.5229,0.5795
0,7,100.5432,2.2310,0.6179
0,8,94.1795,2.0368,0.6398
0,9,89.3420,1.7762,0.6616
0,10,84.2485,1.6954,0.6751
0,11,80.1838,1.5559,0.6887
0,12,77.8703,1.5461,0.6973
0,13,74.2219,1.5530,0.7158
0,14,71.6154,1.4108,0.7213
0,15,69.0639,1.3799,0.7328
0,16,66.7719,1.3595,0.7417
0,17,64.6217,1.2573,0.7500
0,18,63.4548,1.3281,0.7504
0,19,62.4981,1.3216,0.7567
0,20,60.6316,1.2128,0.7718
0,21,59.2553,1.2474,0.7682
0,22,57.9431,1.2231,0.7793
0,23,56.5116,1.1327,0.7807
0,24,54.7005,1.2178,0.7856
0,25,54.2925,1.1696,0.7930
0,26,53.9118,1.2259,0.7910
0,27,52.1430,1.1544,0.7973
0,28,51.6310,1.1147,0.7993
0,29,50.3023,1.1467,0.8057
0,30,50.3133,1.0689,0.8013
0,31,49.2701,1.1202,0.8076
0,32,48.3187,1.1037,0.8097
0,33,48.3072,1.0709,0.8123
0,34,47.5064,1.0869,0.8134
0,35,47.3504,1.0769,0.8068
0,36,46.8446,1.0669,0.8179
0,37,47.1517,1.0660,0.8147
0,38,46.1387,1.0618,0.8208
0,39,45.1562,1.0325,0.8195
0,40,44.9699,1.0460,0.8252
0,41,44.6651,1.0227,0.8258
0,42,44.0936,0.9753,0.8254
0,43,43.6874,0.9958,0.8247
0,44,43.5968,0.9751,0.8310
0,45,42.3710,1.0027,0.8308
0,46,42.5303,1.0020,0.8361
0,47,41.9159,0.9840,0.8325
0,48,41.4721,1.0055,0.8362
0,49,41.3100,0.9356,0.8380
0,50,40.8458,0.9673,0.8397
0,51,41.1162,1.0144,0.8362
0,52,41.0225,0.9600,0.8406
0,53,40.2269,0.9334,0.8414
0,54,39.6976,0.9689,0.8434
0,55,39.2061,0.9230,0.8470
0,56,39.1875,0.9342,0.8462
0,57,38.4813,0.9831,0.8471
0,58,38.2211,0.9371,0.8473
0,59,38.1810,0.9757,0.8501
0,60,39.6502,0.9246,0.8395
0,61,38.5868,0.9618,0.8440
0,62,37.8744,0.9350,0.8499
0,63,37.9616,0.9120,0.8528
0,64,37.6111,0.9705,0.8524
0,65,36.8118,0.9198,0.8540
0,66,37.4659,0.9016,0.8531
0,67,36.5603,0.9822,0.8577
0,68,36.8722,0.9429,0.8538
0,69,36.2686,0.9418,0.8579
0,70,36.2099,0.9229,0.8573
0,71,36.2599,0.9217,0.8576
0,72,35.6733,0.9093,0.8560
0,73,34.8146,0.8862,0.8650
0,74,35.3213,0.9120,0.8605
0,75,35.1219,0.8926,0.8618
0,76,35.7183,0.8955,0.8560
0,77,34.9743,0.9231,0.8622
0,78,34.7117,0.9180,0.8621
0,79,35.1995,0.8472,0.8644
0,80,34.4968,0.8970,0.8647
0,81,35.3911,0.8970,0.8581
0,82,34.3222,0.8917,0.8622
0,83,34.6371,0.9001,0.8601
0,84,33.5382,0.8560,0.8690
0,85,34.1700,0.8619,0.8631
0,86,34.0062,0.8729,0.8665
0,87,33.3900,0.8582,0.8695
0,88,33.2687,0.9027,0.8670
0,89,34.4040,0.8701,0.8640
0,90,33.7134,0.8696,0.8676
0,91,33.0251,0.8832,0.8712
0,92,33.6923,0.8529,0.8672
0,93,32.9494,0.8421,0.8706
0,94,32.4933,0.8350,0.8721
0,95,32.4971,0.8491,0.8687
0,96,32.1872,0.8110,0.8690
0,97,32.1011,0.8494,0.8720
0,98,32.5153,0.8487,0.8715
0,99,32.6914,0.8274,0.8701
0,100,31.5033,0.8702,0.8757
0,101,31.3167,0.8494,0.8728
0,102,31.2548,0.8520,0.8769
0,103,31.5367,0.8425,0.8752
0,104,31.9419,0.8246,0.8713
0,105,31.2883,0.8457,0.8757
0,106,31.3426,0.8135,0.8761
0,107,31.4893,0.8442,0.8751
0,108,31.3993,0.8559,0.8754
0,109,30.8247,0.8049,0.8767
0,110,30.5918,0.8374,0.8779
0,111,31.5915,0.8491,0.8713
0,112,30.8371,0.7788,0.8782
0,113,31.0674,0.8326,0.8777
0,114,30.4313,0.8537,0.8771
0,115,30.8128,0.8234,0.8751
0,116,30.1283,0.8403,0.8824
0,117,30.2607,0.8443,0.8812
0,118,30.0807,0.8156,0.8829
0,119,29.8479,0.8009,0.8822
0,120,30.4139,0.8486,0.8778
0,121,29.5128,0.7753,0.8815
0,122,29.8264,0.8582,0.8810
0,123,29.5068,0.8133,0.8838
0,124,30.3545,0.8154,0.8803
0,125,29.3694,0.7874,0.8823
0,126,29.1138,0.8217,0.8846
0,127,28.8872,0.8001,0.8856
0,128,28.9896,0.8104,0.8867
0,129,29.0674,0.7983,0.8844
0,130,28.5396,0.7929,0.8855
0,131,29.3514,0.8378,0.8842
0,132,29.1357,0.7792,0.8826
0,133,28.9997,0.8053,0.8841
0,134,29.8967,0.7830,0.8813
0,135,28.2525,0.8008,0.8883
0,136,29.1368,0.8394,0.8852
0,137,28.9990,0.7660,0.8838
0,138,28.0756,0.7983,0.8845
0,139,28.5637,0.7954,0.8867
0,140,28.3094,0.7657,0.8900
0,141,28.4237,0.7686,0.8864
0,142,28.2585,0.7807,0.8882
0,143,27.4429,0.7625,0.8908
0,144,27.8128,0.7747,0.8893
0,145,28.3309,0.8140,0.8855
0,146,28.1738,0.7767,0.8882
0,147,27.6640,0.7892,0.8907
0,148,27.8851,0.7846,0.8891
0,149,28.2151,0.7457,0.8834
0,150,27.3216,0.7901,0.8913
0,151,28.0292,0.7891,0.8894
0,152,28.3195,0.7643,0.8839
0,153,28.0099,0.7775,0.8873
0,154,27.2952,0.7698,0.8902
0,155,27.5689,0.7805,0.8872
0,156,27.8997,0.7735,0.8887
0,157,27.4015,0.7688,0.8919
0,158,27.8249,0.7828,0.8889
0,159,27.5610,0.8175,0.8913
0,160,27.1029,0.7496,0.8924
0,161,27.6826,0.7492,0.8840
0,162,27.0134,0.7695,0.8915
0,163,27.3247,0.8107,0.8897
0,164,27.4905,0.8184,0.8897
0,165,27.2900,0.7781,0.8900
0,166,27.6688,0.7813,0.8913
0,167,26.9029,0.7834,0.8914
0,168,26.6960,0.7689,0.8903
0,169,26.4268,0.7577,0.8951
0,170,26.3060,0.7635,0.8956
0,171,26.3108,0.7736,0.8937
0,172,26.8605,0.7464,0.8912
0,173,27.1031,0.7833,0.8894
0,174,27.1293,0.7590,0.8939
0,175,26.7667,0.7684,0.8941
0,176,26.7652,0.7197,0.8906
0,177,25.9746,0.7730,0.8979
0,178,25.3253,0.7547,0.8963
0,179,25.6167,0.7378,0.8993
0,180,25.9122,0.8007,0.8972
0,181,25.0769,0.7405,0.9004
0,182,25.6699,0.7201,0.8959
0,183,25.3423,0.7442,0.9021
0,184,25.2116,0.7284,0.8987
0,185,25.7381,0.7733,0.8981
0,186,25.0770,0.7462,0.8987
0,187,24.6928,0.7364,0.9031
0,188,25.3562,0.7329,0.8983
0,189,25.4951,0.7338,0.8988
0,190,25.7918,0.7433,0.8938
0,191,24.1604,0.7632,0.9006
0,192,25.4173,0.7304,0.8985
0,193,25.0478,0.7328,0.9000
0,194,24.7063,0.7268,0.9035
0,195,25.7330,0.7385,0.8958
0,196,25.4363,0.7511,0.8957
0,197,25.1845,0.7406,0.8958
0,198,24.8618,0.7564,0.8971
0,199,24.8931,0.7550,0.9017
1,0,68.0896,1.1449,0.7565
1,1,68.2618,1.0913,0.7611
1,2,70.8926,1.1065,0.7548
1,3,70.8528,1.0984,0.7572
1,4,69.8488,1.1014,0.7570
1,5,69.1149,1.0865,0.7592
1,6,68.8852,1.0922,0.7559
1,7,68.7216,1.0909,0.7577
1,8,69.2236,1.0892,0.7593
1,9,68.7205,1.1140,0.7567
1,10,68.3978,1.0767,0.7603
1,11,68.2677,1.0647,0.7614
1,12,68.5867,1.0947,0.7607
1,13,68.5390,1.1108,0.7582
1,14,67.0923,1.0782,0.7636
1,15,68.2655,1.0775,0.7581
1,16,68.3133,1.0971,0.7588
1,17,68.0746,1.1006,0.7597
1,18,68.3423,1.0672,0.7572
1,19,68.1601,1.1251,0.7560
1,20,67.3573,1.1106,0.7615
1,21,70.5777,1.0844,0.7524
1,22,69.5053,1.0956,0.7555
1,23,66.3831,1.0810,0.7630
1,24,64.9233,1.0784,0.7591
1,25,64.1223,1.0903,0.7625
1,26,64.8146,1.1083,0.7565
1,27,64.4653,1.0777,0.7614
1,28,64.4923,1.1103,0.7606
1,29,64.2445,1.0877,0.7611
1,30,64.4049,1.0934,0.7614
1,31,64.3539,1.0971,0.7607
1,32,64.9006,1.1247,0.7583
1,33,64.3744,1.1177,0.7598
1,34,63.5338,1.0882,0.7622
1,35,63.8432,1.0920,0.7575
1,36,63.9186,1.0854,0.7600
1,37,63.3381,1.0920,0.7602
1,38,64.0021,1.1096,0.7564
1,39,63.2285,1.0838,0.7591
1,40,63.4323,1.1084,0.7607
1,41,62.8345,1.0880,0.7630
1,42,63.4279,1.0897,0.7560
1,43,63.2856,1.1237,0.7628
1,44,63.0306,1.0917,0.7622
1,45,62.8984,1.0862,0.7661
1,46,62.7753,1.1082,0.7620
1,47,63.1537,1.0874,0.7629
1,48,63.8115,1.1146,0.7591
1,49,64.0251,1.0743,0.7617
1,50,63.3228,1.0880,0.7639
1,51,62.9849,1.0712,0.7642
1,52,63.6923,1.0925,0.7584
1,53,63.7161,1.0889,0.7623
1,54,63.1093,1.0937,0.7617
1,55,63.4060,1.0975,0.7592
1,56,63.5326,1.1097,0.7609
1,57,62.9097,1.0836,0.7623
1,58,63.2966,1.0896,0.7609
