training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,272.1337,3.1243,-0.0302
0,1,188.0657,5.6466,0.2459
0,2,158.5718,3.2555,0.3699
0,3,143.6952,3.4758,0.4221
0,4,129.3505,3.3923,0.4882
0,5,118.7389,2.9955,0.5387
0,6,108.6367,2.4904,0.5865
0,7,100.8865,2.3200,0.6163
0,8,94.3364,1.9527,0.6418
0,9,89.3519,1.7930,0.6442
0,10,84.4958,1.6883,0.6730
0,11,79.7217,1.5291,0.6889
0,12,76.5053,1.5165,0.7047
0,13,74.3149,1.4229,0.7141
0,14,72.6569,1.4579,0.7166
0,15,69.3790,1.3811,0.7344
0,16,66.0773,1.4173,0.7488
0,17,65.3505,1.3531,0.7438
0,18,63.6511,1.2843,0.7490
0,19,61.4985,1.3031,0.7557
0,20,60.2001,1.2769,0.7649
0,21,58.6997,1.2621,0.7739
0,22,57.3514,1.2116,0.7747
0,23,55.1225,1.2204,0.7884
0,24,54.3562,1.1672,0.7881
0,25,54.3798,1.1778,0.7895
0,26,53.4768,1.1538,0.7881
0,27,51.8427,1.1794,0.7984
0,28,51.3641,1.1571,0.8030
0,29,50.9470,1.0870,0.7996
0,30,50.8371,1.1605,0.8027
0,31,49.5773,1.1049,0.8062
0,32,48.6538,1.0808,0.8111
0,33,48.1244,1.0901,0.8118
0,34,48.4665,1.0620,0.8103
0,35,46.8560,1.0800,0.8169
0,36,47.0897,1.0467,0.8143
0,37,46.0846,1.0582,0.8181
0,38,47.2367,1.0191,0.8136
0,39,45.1972,1.0409,0.8241
0,40,45.4412,1.0472,0.8231
0,41,44.7615,1.0145,0.8220
0,42,43.4946,1.0170,0.8289
0,43,42.8975,1.0162,0.8331
0,44,42.5280,0.9716,0.8323
0,45,43.2724,1.0165,0.8292
0,46,42.4829,1.0127,0.8342
0,47,41.4827,0.9821,0.8373
0,48,40.8161,0.9866,0.8361
0,49,42.2863,0.9848,0.8339
0,50,40.9117,0.9832,0.8391
0,51,41.0701,0.9978,0.8368
0,52,39.9880,0.9495,0.8401
0,53,39.9875,0.9774,0.8421
0,54,39.8943,0.9592,0.8413
0,55,39.6852,0.9769,0.8479
0,56,39.1529,0.9378,0.8444
0,57,39.3756,0.9797,0.8459
0,58,38.7601,0.9392,0.8470
0,59,38.2355,0.9362,0.8470
0,60,38.3455,0.9407,0.8463
0,61,37.3990,0.9374,0.8526
0,62,37.6110,0.9215,0.8539
0,63,37.3239,0.8968,0.8510
0,64,37.6526,0.9382,0.8537
0,65,37.0937,0.9470,0.8533
0,66,37.0025,0.8968,0.8540
0,67,36.9446,0.9264,0.8527
0,68,37.2679,0.9261,0.8509
0,69,36.7097,0.9122,0.8550
0,70,36.5178,0.9130,0.8570
0,71,35.7688,0.9723,0.8575
0,72,36.9930,0.8870,0.8551
0,73,35.5733,0.8924,0.8571
0,74,35.7967,0.9168,0.8597
0,75,35.6667,0.8963,0.8578
0,76,35.3883,0.8744,0.8592
0,77,34.7413,0.9196,0.8620
0,78,34.8225,0.9054,0.8606
0,79,34.7772,0.9180,0.8623
0,80,34.7839,0.9334,0.8601
0,81,34.1456,0.8957,0.8666
0,82,34.7461,0.9006,0.8601
0,83,34.8020,0.8732,0.8620
0,84,34.1806,0.8558,0.8670
0,85,34.7598,0.9043,0.8629
0,86,33.9450,0.8915,0.8673
0,87,33.7306,0.8993,0.8617
0,88,33.8649,0.8593,0.8661
0,89,33.6482,0.9142,0.8660
0,90,32.7192,0.9051,0.8688
0,91,33.5144,0.8421,0.8685
0,92,33.1750,0.8604,0.8692
0,93,32.8607,0.8437,0.8697
0,94,33.1218,0.8241,0.8694
0,95,32.1485,0.9049,0.8735
0,96,32.6583,0.8363,0.8714
0,97,32.1059,0.8837,0.8746
0,98,32.2496,0.8488,0.8702
0,99,32.6800,0.8451,0.8729
0,100,32.4052,0.8462,0.8691
0,101,31.9329,0.8015,0.8726
0,102,31.3292,0.8336,0.8742
0,103,31.9346,0.8125,0.8710
0,104,31.6342,0.8196,0.8756
0,105,31.5561,0.8430,0.8734
0,106,30.5392,0.8266,0.8793
0,107,31.5587,0.8132,0.8715
0,108,31.8767,0.8436,0.8748
0,109,31.5200,0.8250,0.8749
0,110,30.9335,0.8355,0.8773
0,111,30.5370,0.7869,0.8786
0,112,30.8158,0.8841,0.8740
0,113,30.3961,0.8360,0.8739
0,114,31.2376,0.8300,0.8757
0,115,30.2533,0.8054,0.8809
0,116,30.1655,0.7965,0.8817
0,117,30.4551,0.8468,0.8772
0,118,29.5877,0.8085,0.8833
0,119,29.8105,0.8080,0.8806
0,120,30.6034,0.8139,0.8778
0,121,29.4489,0.8199,0.8842
0,122,29.3515,0.7794,0.8830
0,123,29.3562,0.8511,0.8815
0,124,29.2502,0.8042,0.8846
0,125,30.0364,0.8281,0.8778
0,126,29.8417,0.8412,0.8788
0,127,29.5730,0.8155,0.8837
0,128,29.4794,0.7961,0.8801
0,129,29.7068,0.7904,0.8805
0,130,28.9502,0.8172,0.8859
0,131,29.3347,0.8245,0.8830
0,132,28.8562,0.7795,0.8868
0,133,29.1324,0.7829,0.8837
0,134,28.3425,0.8483,0.8818
0,135,29.0052,0.8060,0.8824
0,136,29.0857,0.7672,0.8827
0,137,28.7109,0.8194,0.8818
0,138,29.0734,0.7918,0.8838
0,139,28.2914,0.7954,0.8875
0,140,27.4024,0.8158,0.8916
0,141,28.3185,0.8132,0.8859
0,142,27.8625,0.7453,0.8855
0,143,28.2404,0.7945,0.8915
0,144,28.5838,0.8088,0.8875
0,145,28.5999,0.8346,0.8841
0,146,28.7488,0.8035,0.8867
0,147,29.1371,0.7731,0.8858
0,148,28.1489,0.7880,0.8875
0,149,28.2088,0.8005,0.8880
0,150,27.7072,0.8191,0.8907
0,151,27.5530,0.8018,0.8892
0,152,27.7090,0.7743,0.8886
0,153,27.2898,0.7777,0.8893
0,154,27.7287,0.8058,0.8903
0,155,27.7417,0.7387,0.8895
0,156,26.5037,0.7787,0.8956
0,157,27.1694,0.7829,0.8925
0,158,26.9820,0.7503,0.8915
0,159,26.6511,0.7591,0.8898
0,160,27.4367,0.7709,0.8895
0,161,26.6946,0.7452,0.8901
0,162,27.9472,0.7886,0.8889
0,163,26.8408,0.7551,0.8920
0,164,26.5907,0.7921,0.8946
0,165,27.6009,0.7483,0.8882
0,166,27.1730,0.7570,0.8889
0,167,26.7114,0.8156,0.8920
0,168,26.3558,0.7470,0.8932
0,169,26.5469,0.7370,0.8932
0,170,26.8769,0.7941,0.8939
0,171,27.1638,0.7685,0.8918
0,172,26.9338,0.7498,0.8913
0,173,26.4135,0.7477,0.8896
0,174,26.7498,0.7579,0.8917
0,175,26.8274,0.7480,0.8922
0,176,26.5432,0.7758,0.8943
0,177,26.3693,0.7558,0.8921
0,178,25.8654,0.7556,0.8960
0,179,26.3851,0.7884,0.8955
0,180,26.2101,0.7679,0.8953
0,181,26.0076,0.7287,0.8954
0,182,25.9836,0.7520,0.8928
0,183,25.4016,0.7779,0.8979
0,184,25.6284,0.7225,0.8962
0,185,26.2338,0.7573,0.8928
0,186,25.8380,0.8084,0.8933
0,187,25.6713,0.7733,0.8985
0,188,25.3185,0.7243,0.8976
0,189,24.7945,0.7621,0.9000
0,190,25.0935,0.7430,0.9025
0,191,25.8100,0.7381,0.8953
0,192,25.2612,0.7516,0.9002
0,193,25.3826,0.7601,0.8985
0,194,25.0479,0.7978,0.8980
0,195,25.3323,0.7296,0.8981
0,196,25.4109,0.7370,0.9006
0,197,25.2802,0.7444,0.8999
0,198,25.4578,0.7571,0.8961
0,199,25.1912,0.7490,0.8991
1,0,68.4240,1.0667,0.7470
1,1,69.9758,1.0692,0.7594
1,2,68.5224,1.0835,0.7610
1,3,68.7132,1.0444,0.7634
1,4,68.6462,1.0628,0.7589
1,5,69.8345,1.0807,0.7572
1,6,69.3169,1.0663,0.7587
1,7,67.6065,1.0756,0.7624
1,8,67.8782,1.0607,0.7594
1,9,68.3961,1.0550,0.7573
1,10,68.5779,1.0549,0.7626
1,11,68.0794,1.0515,0.7557
1,12,69.5097,1.0664,0.7591
1,13,67.8965,1.0612,0.7607
1,14,68.2032,1.0856,0.7558
1,15,67.5957,1.0677,0.7618
1,16,67.1579,1.0729,0.7595
1,17,67.2888,1.0449,0.7614
1,18,67.4494,1.0475,0.7576
1,19,67.3711,1.0907,0.7614
1,20,67.3765,1.0414,0.7595
1,21,67.3488,1.0950,0.7621
1,22,67.8537,1.0463,0.7577
1,23,67.3674,1.0529,0.7582
1,24,67.3588,1.0806,0.7608
1,25,67.2698,1.0387,0.7604
1,26,66.7017,1.0593,0.7644
1,27,66.3229,1.0624,0.7636
1,28,66.9945,1.0542,0.7617
1,29,67.9142,1.0849,0.7589
1,30,67.3067,1.0707,0.7617
1,31,67.1053,1.0915,0.7599
1,32,67.2428,1.0515,0.7592
1,33,66.7297,1.0649,0.7596
1,34,67.3181,1.0525,0.7626
1,35,67.4310,1.0828,0.7589
1,36,66.9038,1.0757,0.7632
1,37,66.7419,1.0512,0.7612
1,38,67.5711,1.0637,0.7580
1,39,66.7157,1.0793,0.7658
1,40,66.5354,1.0694,0.7652
1,41,66.4501,1.0586,0.7624
1,42,65.9655,1.0632,0.7584
1,43,66.3226,1.0648,0.7638
1,44,68.5388,1.0970,0.7545
1,45,67.3523,1.0718,0.7587
1,46,66.5552,1.0583,0.7654
1,47,66.2124,1.0759,0.7631
1,48,66.6812,1.0521,0.7578
1,49,67.6900,1.0734,0.7577
1,50,67.7930,1.0702,0.7564
1,51,66.6758,1.0597,0.7608
1,52,66.0869,1.0891,0.7598
1,53,66.6205,1.0509,0.7634
1,54,66.1743,1.0686,0.7639
1,55,65.9840,1.0430,0.7626
1,56,66.3747,1.0668,0.7639
1,57,66.7526,1.0451,0.7614
1,58,65.8807,1.0614,0.7674
1,59,65.1728,1.0709,0.7652
1,60,65.6074,1.0455,0.7632
1,61,66.3254,1.0683,0.7657
1,62,65.9347,1.1164,0.7610
1,63,66.1806,1.1164,0.7624
1,64,66.1078,1.0876,0.7614
1,65,64.4742,1.1364,0.7629
1,66,64.9186,1.1729,0.7646
1,67,63.8072,1.1226,0.7666
1,68,63.2198,1.1318,0.7677
1,69,63.5430,1.1206,0.7691
1,70,63.9227,1.0939,0.7651
1,71,62.9237,1.1101,0.7721
1,72,62.6660,1.0921,0.7644
1,73,63.2873,1.1003,0.7695
1,74,62.8871,1.0700,0.7710
1,75,63.1239,1.0508,0.7670
1,76,62.5085,1.0839,0.7726
1,77,62.0027,1.0684,0.7702
1,78,61.3908,1.0702,0.7738
1,79,62.5407,1.0432,0.7717
1,80,61.3844,1.0707,0.7738
1,81,61.9455,1.0747,0.7739
1,82,61.8940,1.0675,0.7726
1,83,62.4796,1.0343,0.7728
1,84,61.8780,1.0815,0.7720
1,85,61.7017,1.0467,0.7733
1,86,61.9600,1.0717,0.7744
1,87,61.6457,1.0577,0.7751
1,88,62.4296,1.0569,0.7682
