eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,24.554438,0.58047503,0.8983,0.0,0.0
1.0,0.0,64.77669,0.84405,0.73704994,0.0,0.0
2.0,0.0,73.01231,0.97288746,0.6969375,0.0,0.0
3.0,0.0,81.40372,1.1216125,0.6452625,0.0,0.0
4.0,0.0,97.39923,1.075975,0.6540125,0.0,0.0
5.0,0.0,89.46701,0.96721244,0.671725,0.0,0.0
6.0,0.0,74.58223,0.7872125,0.76395,0.0,0.0
7.0,0.0,91.10307,1.1967375,0.66952497,0.0,0.0
8.0,0.0,117.96525,0.92139995,0.67605,0.0,0.0
9.0,0.0,133.07869,1.89785,0.33754998,0.0,0.0
0.0,1.0,31.832687,0.6761625,0.87176245,0.0265125,-0.0265125
1.0,1.0,24.574213,0.602625,0.89663756,0.0,0.0
2.0,1.0,45.813087,0.7965499,0.81026244,0.0,0.0
3.0,1.0,51.111683,0.810575,0.77926254,0.0,0.0
4.0,1.0,58.378036,0.8849625,0.7939625,0.0,0.0
5.0,1.0,60.346786,0.7712875,0.7805,0.0,0.0
6.0,1.0,55.137665,0.6890875,0.81483746,0.0,0.0
7.0,1.0,64.32938,0.83142495,0.760725,0.0,0.0
8.0,1.0,120.86351,0.8317625,0.68070006,0.0,0.0
9.0,1.0,109.95889,0.9971626,0.48979998,0.0,0.0
0.0,2.0,30.3805,0.69904995,0.8715625,0.026737498,-0.026737498
1.0,2.0,38.14975,0.69626254,0.8430376,0.0536,-0.0536
2.0,2.0,23.456762,0.6460375,0.89982504,0.0,0.0
3.0,2.0,41.98555,0.70885,0.8163375,0.0,0.0
4.0,2.0,50.173904,0.8775625,0.82168746,0.0,0.0
5.0,2.0,55.322197,0.78767496,0.79573745,0.0,0.0
6.0,2.0,49.88054,0.6618625,0.83133745,0.0,0.0
7.0,2.0,52.974834,0.8109126,0.80044997,0.0,0.0
8.0,2.0,131.46605,0.84418744,0.65522504,0.0,0.0
9.0,2.0,120.6416,1.178975,0.4557625,0.0,0.0
0.0,3.0,31.618801,0.7309375,0.8723999,0.0259125,-0.0259125
1.0,3.0,37.45165,0.721175,0.85015,0.046487503,-0.046487503
2.0,3.0,33.548073,0.72985,0.859225,0.0406,-0.0406
3.0,3.0,22.66704,0.6252625,0.89943755,0.0,0.0
4.0,3.0,48.772152,0.8587875,0.8287625,0.0,0.0
5.0,3.0,47.45261,0.7875375,0.82422495,0.0,0.0
6.0,3.0,46.13951,0.67955,0.8412375,0.0,0.0
7.0,3.0,45.319996,0.8367375,0.81723756,0.0,0.0
8.0,3.0,66.11515,0.7054125,0.79997504,0.0,0.0
9.0,3.0,58.5184,1.0933125,0.7269,0.0,0.0
0.0,4.0,33.329338,0.70295,0.86179996,0.036487497,-0.036487497
1.0,4.0,39.59255,0.72214997,0.83993745,0.056700002,-0.056700002
2.0,4.0,35.945286,0.72931254,0.8507875,0.049062505,-0.049062505
3.0,4.0,31.85149,0.686875,0.8610875,0.03835,-0.03835
4.0,4.0,27.57515,0.7536375,0.89858747,0.0,0.0
5.0,4.0,50.191525,0.7946,0.81327504,0.0,0.0
6.0,4.0,43.169838,0.65993756,0.8489375,0.0,0.0
7.0,4.0,41.58211,0.808225,0.8307875,0.0,0.0
8.0,4.0,73.506256,0.7393,0.78541255,0.0,0.0
9.0,4.0,48.84205,1.07745,0.77036256,0.0,0.0
0.0,5.0,35.72564,0.7014875,0.855225,0.0430625,-0.0430625
1.0,5.0,37.826714,0.73067504,0.8455375,0.051124997,-0.051124997
2.0,5.0,36.78541,0.7619875,0.8486,0.051225,-0.051225
3.0,5.0,34.021385,0.741725,0.851475,0.047999997,-0.047999997
4.0,5.0,37.64785,0.85848755,0.8640375,0.0345375,-0.0345375
5.0,5.0,27.311903,0.68075,0.897675,0.0,0.0
6.0,5.0,39.460327,0.6621875,0.8619001,0.0,0.0
7.0,5.0,39.678085,0.78338754,0.83986247,0.0,0.0
8.0,5.0,48.69189,0.6349625,0.8475876,0.0,0.0
9.0,5.0,39.238674,0.9733875,0.82420003,0.0,0.0
0.0,6.0,37.528427,0.7068375,0.8491374,0.049149998,-0.049149998
1.0,6.0,40.156082,0.7376751,0.8362,0.0604625,-0.0604625
2.0,6.0,42.60885,0.785725,0.8246,0.07525,-0.07525
3.0,6.0,39.61851,0.7795875,0.83145005,0.0679875,-0.0679875
4.0,6.0,42.316162,0.8832625,0.85098743,0.047612503,-0.047612503
