eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.5057416,0.012754868,0.0022627576,0.0,0.0
0.0,0.0,1.3802922,0.03682761,0.00727839,0.0,0.0
0.0,0.0,1.2405882,0.04355296,0.0078113726,0.0,0.0
0.0,0.0,1.8435388,0.06386799,0.008359418,0.0,0.0
0.0,0.0,2.0319417,0.05069631,0.00904066,0.0,0.0
0.0,0.0,2.9143462,0.04222358,0.011216258,0.0,0.0
0.0,0.0,2.415945,0.029880578,0.00813265,0.0,0.0
0.0,0.0,2.9268894,0.061962582,0.008117082,0.0,0.0
0.0,0.0,7.624417,0.049960706,0.018630816,0.0,0.0
0.0,0.0,12.503553,0.22903444,0.063669145,0.0,0.0
0.0,0.0,0.38585144,0.00791958,0.0015239216,0.00274747,0.00274747
0.0,0.0,0.29527822,0.006335556,0.001210301,0.0,0.0
0.0,0.0,0.6343742,0.008225417,0.002575817,0.0,0.0
0.0,0.0,0.9642039,0.008454107,0.004756036,0.0,0.0
0.0,0.0,1.2178955,0.0054527293,0.0049309973,0.0,0.0
0.0,0.0,0.89152354,0.010645243,0.0034831725,0.0,0.0
0.0,0.0,0.40961212,0.010361398,0.0017116745,0.0,0.0
0.0,0.0,0.84582675,0.017706413,0.0032479889,0.0,0.0
0.0,0.0,3.770918,0.014324191,0.0098042125,0.0,0.0
0.0,0.0,7.0877924,0.03185609,0.03616901,0.0,0.0
0.0,0.0,0.33294043,0.015692439,0.0010965085,0.0022961586,0.0022961586
0.0,0.0,1.5860825,0.016028801,0.0063421163,0.005775163,0.005775163
0.0,0.0,0.30561358,0.014514557,0.0015634566,0.0,0.0
0.0,0.0,0.8447869,0.013404193,0.0032186718,0.0,0.0
0.0,0.0,1.5252615,0.020031277,0.0057311496,0.0,0.0
0.0,0.0,1.4283231,0.012830685,0.0048370794,0.0,0.0
0.0,0.0,1.0509111,0.0120048905,0.0033830223,0.0,0.0
0.0,0.0,1.6423005,0.011716916,0.005451829,0.0,0.0
0.0,0.0,3.3153908,0.019792262,0.008270986,0.0,0.0
0.0,0.0,10.380691,0.035431057,0.055234995,0.0,0.0
0.0,0.0,0.17548938,0.011189266,0.00074665446,0.00173741,0.00173741
0.0,0.0,0.74458545,0.011191032,0.0028883303,0.002939573,0.002939573
0.0,0.0,0.41850287,0.011495109,0.001913594,0.0028337257,0.0028337257
0.0,0.0,0.24655928,0.00856504,0.0012103169,0.0,0.0
0.0,0.0,1.2482775,0.017838532,0.0047354954,0.0,0.0
0.0,0.0,0.5193918,0.00885111,0.0020885034,0.0,0.0
0.0,0.0,0.85770315,0.01032146,0.0031949007,0.0,0.0
0.0,0.0,0.7820812,0.017435372,0.0032614912,0.0,0.0
0.0,0.0,3.5670445,0.013481319,0.009676997,0.0,0.0
0.0,0.0,4.671068,0.022369463,0.025246136,0.0,0.0
0.0,0.0,0.55814064,0.008009214,0.0021840385,0.0019406428,0.0019406428
0.0,0.0,1.0729741,0.007291785,0.004658846,0.0050020004,0.0050020004
0.0,0.0,0.7726713,0.009297102,0.002794831,0.003534098,0.003534098
0.0,0.0,0.84041387,0.010426745,0.0032811665,0.0034824556,0.0034824556
0.0,0.0,0.27161995,0.01577592,0.0011050288,0.0,0.0
0.0,0.0,1.3136312,0.011454922,0.0051392466,0.0,0.0
0.0,0.0,0.77148014,0.014575048,0.0023863772,0.0,0.0
0.0,0.0,0.5724983,0.018759517,0.002784516,0.0,0.0
0.0,0.0,3.8730705,0.026136903,0.008900334,0.0,0.0
0.0,0.0,4.9656153,0.0627266,0.02082942,0.0,0.0
0.0,0.0,0.6972446,0.009917962,0.0025742715,0.0039280844,0.0039280844
0.0,0.0,0.64424026,0.00894424,0.0030716136,0.0029252137,0.0029252137
0.0,0.0,0.62602454,0.00655847,0.0026148667,0.0025053697,0.0025053697
0.0,0.0,0.7406996,0.006872181,0.0031846366,0.0032249035,0.0032249035
0.0,0.0,0.6402643,0.018879855,0.0024778792,0.0026785894,0.0026785894
0.0,0.0,0.35107425,0.01314296,0.001162699,0.0,0.0
0.0,0.0,0.35168728,0.013407411,0.0014124523,0.0,0.0
0.0,0.0,0.54678535,0.017415686,0.002576783,0.0,0.0
0.0,0.0,1.4804835,0.018533746,0.0047951783,0.0,0.0
0.0,0.0,1.8438091,0.04984489,0.010239744,0.0,0.0
0.0,0.0,1.0645437,0.009888623,0.0037090904,0.0042874822,0.0042874822
0.0,0.0,1.2522414,0.006216657,0.0054417322,0.0046746484,0.0046746484
0.0,0.0,1.5676785,0.01230769,0.0060241264,0.005622944,0.005622944
0.0,0.0,1.4356365,0.010238465,0.0058993604,0.0052812016,0.0052812016
0.0,0.0,1.242331,0.011801801,0.004162453,0.0042712516,0.0042712516
0.0,0.0,1.497719,0.009937406,0.0058423104,0.00597071,0.00597071
0.0,0.0,0.20537807,0.011671556,0.00057324016,0.0,0.0
0.0,0.0,0.87280405,0.013658322,0.0029991616,0.0,0.0
0.0,0.0,1.5732579,0.016390549,0.0042747622,0.0,0.0
0.0,0.0,2.6879094,0.057832364,0.012266315,0.0,0.0
0.0,0.0,0.8459251,0.014572091,0.0029916253,0.004128559,0.004128559
0.0,0.0,1.6162137,0.008697824,0.0067887236,0.0069828248,0.0069828248
0.0,0.0,1.1016375,0.00837865,0.0037750555,0.0032569142,0.0032569142
0.0,0.0,0.86343783,0.015642438,0.0031466023,0.0026518865,0.0026518865
0.0,0.0,1.0520134,0.017731994,0.003270221,0.0026672787,0.0026672787
0.0,0.0,0.92201835,0.009691229,0.003406154,0.0033527738,0.0033527738
0.0,0.0,0.6918178,0.010072114,0.0020183208,0.0021044225,0.0021044225
0.0,0.0,0.46518132,0.021187644,0.0022189126,0.0,0.0
0.0,0.0,1.8677564,0.025336307,0.005123954,0.0,0.0
0.0,0.0,3.5829687,0.0478696,0.019981466,0.0,0.0
0.0,0.0,1.3464297,0.020234793,0.004778584,0.005957336,0.005957336
0.0,0.0,2.3517618,0.012372029,0.0104073305,0.010245821,0.010245821
0.0,0.0,2.306945,0.014984637,0.0089413235,0.008758915,0.008758915
0.0,0.0,2.1150107,0.014740963,0.009289368,0.0093930485,0.0093930485
0.0,0.0,1.7145613,0.02020606,0.0067338576,0.006919131,0.006919131
0.0,0.0,2.4641473,0.018643286,0.009502899,0.009244382,0.009244382
0.0,0.0,1.4251056,0.015996767,0.0049426476,0.0048530754,0.0048530754
0.0,0.0,1.864728,0.02289977,0.006873758,0.0077278316,0.0077278316
0.0,0.0,0.21528783,0.010821211,0.00084557524,0.0,0.0
0.0,0.0,3.5896053,0.05137601,0.020514112,0.0,0.0
0.0,0.0,2.4027805,0.01998572,0.00886793,0.008095746,0.008095746
0.0,0.0,4.544651,0.016416973,0.019552851,0.019608509,0.019608509
0.0,0.0,5.1827416,0.018337736,0.0202179,0.02002623,0.02002623
0.0,0.0,4.056602,0.014979483,0.016308354,0.016032152,0.016032152
0.0,0.0,4.001915,0.011796711,0.013017041,0.013699949,0.013699949
0.0,0.0,5.0680165,0.018247522,0.018331729,0.019166274,0.019166274
0.0,0.0,3.131835,0.013325444,0.008047979,0.008296828,0.008296828
0.0,0.0,4.4592724,0.021750117,0.016963413,0.017915549,0.017915549
0.0,0.0,5.2774296,0.021227917,0.018751537,0.018346827,0.018346827
0.0,0.0,0.9970549,0.037003785,0.0046381652,0.0,0.0
