training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,273.5741,2.9681,-0.0259
0,1,186.7876,5.5993,0.2495
0,2,157.5524,3.3072,0.3700
0,3,142.5187,3.4354,0.4304
0,4,128.2377,3.4278,0.4937
0,5,118.0956,3.0274,0.5348
0,6,108.3570,2.4434,0.5870
0,7,100.7566,2.2801,0.6197
0,8,93.8242,1.9623,0.6476
0,9,88.8486,1.7628,0.6581
0,10,82.9313,1.7177,0.6803
0,11,80.4251,1.5501,0.6762
0,12,77.2448,1.4743,0.7032
0,13,74.9332,1.5695,0.7058
0,14,71.2545,1.4685,0.7234
0,15,69.8083,1.3400,0.7257
0,16,66.5518,1.4279,0.7434
0,17,65.6559,1.2898,0.7449
0,18,63.2788,1.2931,0.7534
0,19,61.8861,1.3325,0.7578
0,20,60.7069,1.3049,0.7652
0,21,58.7183,1.2481,0.7684
0,22,57.0470,1.1834,0.7794
0,23,56.9526,1.2123,0.7793
0,24,54.2576,1.1679,0.7876
0,25,54.4781,1.1840,0.7880
0,26,53.3804,1.2171,0.7936
0,27,52.2763,1.0856,0.7961
0,28,51.1093,1.1241,0.7994
0,29,50.0418,1.1961,0.8038
0,30,50.6192,1.0762,0.8007
0,31,49.1612,1.1379,0.8051
0,32,49.0359,1.0902,0.8083
0,33,47.9225,1.0840,0.8094
0,34,48.3713,1.1462,0.8122
0,35,47.2440,1.0637,0.8142
0,36,47.1323,1.1119,0.8150
0,37,45.2759,1.0383,0.8216
0,38,45.7174,1.0370,0.8241
0,39,45.2226,1.0745,0.8218
0,40,44.6617,1.0346,0.8220
0,41,43.9594,0.9697,0.8300
0,42,43.7413,1.0499,0.8235
0,43,43.1642,1.0338,0.8330
0,44,43.1896,1.0345,0.8278
0,45,42.3570,1.0362,0.8294
0,46,42.7982,1.0303,0.8319
0,47,41.5864,1.0659,0.8368
0,48,41.5118,0.9679,0.8392
0,49,40.7161,0.9468,0.8389
0,50,41.4715,0.9544,0.8381
0,51,41.1703,0.9954,0.8427
0,52,39.8918,0.9892,0.8434
0,53,40.1271,0.9656,0.8424
0,54,39.7632,0.9507,0.8454
0,55,40.0585,0.9455,0.8440
0,56,39.8603,0.9424,0.8463
0,57,38.7515,1.0004,0.8446
0,58,39.1494,0.9614,0.8438
0,59,38.2676,0.9392,0.8509
0,60,38.7779,0.9603,0.8500
0,61,37.7706,0.9390,0.8508
0,62,37.3800,0.9425,0.8544
0,63,38.1191,0.9271,0.8490
0,64,37.4715,0.9296,0.8521
0,65,36.5576,0.9122,0.8521
0,66,37.1777,0.9256,0.8529
0,67,35.8527,0.9117,0.8577
0,68,36.4628,0.8921,0.8572
0,69,36.2389,0.9585,0.8562
0,70,36.3835,0.9126,0.8555
0,71,36.2734,0.9165,0.8573
0,72,35.2845,0.9120,0.8579
0,73,35.6128,0.9080,0.8590
0,74,35.0674,0.9253,0.8614
0,75,35.1360,0.8803,0.8594
0,76,35.1980,0.9205,0.8593
0,77,34.6966,0.8699,0.8602
0,78,34.2815,0.8693,0.8653
0,79,34.9709,0.9124,0.8600
0,80,34.5931,0.8580,0.8609
0,81,34.5186,0.8745,0.8658
0,82,33.1557,0.8716,0.8713
0,83,34.4827,0.8666,0.8639
0,84,34.0542,0.8832,0.8658
0,85,34.2089,0.8500,0.8632
0,86,34.3951,0.8974,0.8629
0,87,34.0577,0.8982,0.8657
0,88,33.5861,0.9017,0.8667
0,89,33.0872,0.8682,0.8665
0,90,32.9074,0.8212,0.8703
0,91,33.1284,0.8561,0.8692
0,92,32.7754,0.8824,0.8701
0,93,33.0762,0.9258,0.8661
0,94,33.1284,0.8543,0.8632
0,95,32.3762,0.8629,0.8718
0,96,32.5258,0.8663,0.8698
0,97,33.2435,0.8652,0.8669
0,98,32.4091,0.8168,0.8713
0,99,32.1911,0.8332,0.8720
0,100,31.3779,0.8556,0.8751
0,101,32.0896,0.8574,0.8708
0,102,30.7572,0.8396,0.8786
0,103,31.4432,0.8319,0.8731
0,104,31.7831,0.8289,0.8742
0,105,31.1696,0.8274,0.8771
0,106,31.1266,0.8543,0.8785
0,107,30.3513,0.8065,0.8780
0,108,31.4191,0.8194,0.8764
0,109,30.4002,0.8481,0.8777
0,110,30.8463,0.8087,0.8793
0,111,31.0692,0.8009,0.8792
0,112,30.9632,0.8660,0.8769
0,113,30.7631,0.8245,0.8795
0,114,30.4948,0.8381,0.8758
0,115,30.7637,0.8204,0.8753
0,116,30.1546,0.8045,0.8779
0,117,29.7147,0.8413,0.8803
0,118,30.3724,0.8009,0.8768
0,119,30.0160,0.7865,0.8793
0,120,29.7298,0.8104,0.8813
0,121,29.5532,0.8395,0.8830
0,122,29.4427,0.8715,0.8828
0,123,29.4306,0.7992,0.8808
0,124,29.1108,0.8189,0.8827
0,125,29.9137,0.7906,0.8792
0,126,28.8034,0.7674,0.8846
0,127,28.8025,0.8013,0.8864
0,128,29.0235,0.8160,0.8827
0,129,29.3247,0.7948,0.8784
0,130,29.0866,0.7958,0.8837
0,131,29.2175,0.8321,0.8867
0,132,29.3127,0.7910,0.8836
0,133,28.8621,0.7468,0.8846
0,134,28.8912,0.8365,0.8865
0,135,28.8805,0.7701,0.8852
0,136,28.5042,0.7841,0.8825
0,137,28.5817,0.8133,0.8858
0,138,28.7235,0.7948,0.8873
0,139,28.7845,0.7518,0.8868
0,140,28.4523,0.8041,0.8853
0,141,28.8568,0.7831,0.8861
0,142,27.8357,0.7820,0.8908
0,143,28.3272,0.7784,0.8874
0,144,28.1859,0.7990,0.8868
0,145,27.8709,0.7742,0.8898
0,146,28.4448,0.8007,0.8870
0,147,28.4085,0.7651,0.8865
0,148,27.7858,0.7270,0.8892
0,149,27.6017,0.7517,0.8886
0,150,27.9772,0.7917,0.8882
0,151,27.3223,0.8025,0.8890
0,152,27.3344,0.7510,0.8907
0,153,28.2143,0.8178,0.8879
0,154,26.9921,0.7889,0.8913
0,155,27.4076,0.7659,0.8924
0,156,27.1176,0.7577,0.8929
0,157,27.4652,0.8010,0.8847
0,158,27.9118,0.7625,0.8857
0,159,27.7642,0.7711,0.8874
0,160,27.3291,0.7612,0.8895
0,161,27.5141,0.7783,0.8920
0,162,27.0298,0.7830,0.8901
0,163,26.5611,0.7416,0.8953
0,164,27.6302,0.7684,0.8900
0,165,26.4536,0.7890,0.8932
0,166,26.7261,0.7417,0.8943
0,167,27.2072,0.8324,0.8900
0,168,26.3451,0.7397,0.8952
0,169,26.2169,0.7667,0.8949
0,170,26.8382,0.7699,0.8912
0,171,26.5767,0.7613,0.8935
0,172,26.7660,0.7582,0.8920
0,173,26.4986,0.7642,0.8961
0,174,26.0039,0.7797,0.8964
0,175,26.1802,0.7817,0.8962
0,176,26.6146,0.7382,0.8928
0,177,25.7541,0.7669,0.8968
0,178,25.7296,0.7640,0.8968
0,179,26.5116,0.7848,0.8923
0,180,26.2520,0.7360,0.8940
0,181,26.0563,0.8126,0.8926
0,182,26.0548,0.8038,0.8950
0,183,25.5457,0.7390,0.8960
0,184,25.0020,0.7729,0.8999
0,185,25.4537,0.7539,0.8994
0,186,25.8977,0.7581,0.8957
0,187,25.3668,0.7403,0.8984
0,188,25.0500,0.7766,0.8988
0,189,25.1651,0.7560,0.8991
0,190,25.9543,0.7330,0.8956
0,191,25.1796,0.7701,0.8998
0,192,24.7061,0.7571,0.9022
0,193,25.4791,0.7467,0.8961
0,194,25.0432,0.7356,0.8995
0,195,25.5455,0.7558,0.8979
0,196,25.6888,0.7889,0.8964
0,197,25.3063,0.7442,0.8958
0,198,25.2457,0.7227,0.8966
0,199,25.1237,0.7508,0.8966
1,0,59.7612,1.2209,0.7587
1,1,48.1937,1.1659,0.8033
1,2,43.3284,1.0134,0.8193
1,3,41.5086,0.9760,0.8273
1,4,39.5316,0.9624,0.8354
1,5,38.8661,0.9647,0.8398
1,6,37.5390,0.9395,0.8441
1,7,36.7973,0.9343,0.8455
1,8,35.4715,0.9064,0.8529
1,9,35.4300,0.8991,0.8512
1,10,34.7633,0.9412,0.8532
1,11,34.5473,0.8868,0.8558
1,12,34.6119,0.9278,0.8528
1,13,33.5508,0.8572,0.8581
1,14,33.3650,0.9166,0.8598
1,15,33.2584,0.8572,0.8603
1,16,32.8944,0.9027,0.8628
1,17,32.2845,0.8638,0.8640
1,18,32.1984,0.8757,0.8641
1,19,31.7498,0.8622,0.8659
1,20,31.7620,0.8582,0.8678
1,21,31.7815,0.8731,0.8651
1,22,31.5122,0.8443,0.8662
1,23,31.7747,0.8621,0.8672
1,24,31.0906,0.8448,0.8696
1,25,30.6464,0.8599,0.8712
1,26,30.8295,0.8377,0.8698
1,27,30.3308,0.8368,0.8728
1,28,30.1060,0.8443,0.8731
1,29,30.0380,0.8501,0.8729
1,30,30.1597,0.8560,0.8730
1,31,29.8006,0.8482,0.8737
1,32,29.5144,0.8409,0.8753
1,33,29.2785,0.8163,0.8772
1,34,29.7411,0.8491,0.8752
1,35,29.7827,0.8375,0.8743
1,36,29.5681,0.8248,0.8751
1,37,29.2922,0.8400,0.8757
1,38,29.2803,0.8401,0.8777
1,39,28.6838,0.8201,0.8800
1,40,28.6260,0.8267,0.8795
1,41,28.5141,0.8105,0.8784
1,42,28.4211,0.8262,0.8796
1,43,28.3046,0.8222,0.8802
1,44,29.1948,0.8014,0.8759
1,45,28.6431,0.8323,0.8793
1,46,28.7191,0.8211,0.8799
1,47,27.7925,0.8301,0.8827
1,48,28.0035,0.8102,0.8827
1,49,28.2878,0.8318,0.8793
1,50,28.1812,0.8119,0.8802
1,51,27.7634,0.8476,0.8814
1,52,27.3350,0.8066,0.8836
1,53,27.5736,0.8159,0.8814
1,54,27.7291,0.7962,0.8832
1,55,27.3521,0.8151,0.8840
1,56,27.4702,0.7956,0.8835
1,57,27.6661,0.8179,0.8844
1,58,27.4024,0.7821,0.8848
1,59,27.1531,0.8049,0.8849
1,60,27.5565,0.8187,0.8833
1,61,27.1619,0.8084,0.8852
1,62,27.1144,0.8194,0.8870
1,63,27.1409,0.8093,0.8826
1,64,27.3825,0.8226,0.8827
1,65,26.6764,0.7937,0.8868
1,66,26.7107,0.7924,0.8850
1,67,26.7958,0.7922,0.8863
1,68,26.9116,0.8080,0.8848
1,69,26.3986,0.7840,0.8882
1,70,26.5261,0.8080,0.8877
1,71,26.3946,0.7925,0.8859
1,72,26.0833,0.8003,0.8892
1,73,26.5360,0.7945,0.8875
1,74,25.6357,0.7738,0.8914
1,75,25.9043,0.7753,0.8904
1,76,25.8208,0.7840,0.8899
1,77,25.5268,0.7780,0.8899
1,78,25.1051,0.7714,0.8950
1,79,25.5510,0.7840,0.8905
1,80,25.4322,0.7736,0.8925
1,81,24.9758,0.7896,0.8935
1,82,25.2207,0.7529,0.8933
1,83,25.1072,0.7631,0.8931
1,84,25.0641,0.7746,0.8934
1,85,25.1248,0.7697,0.8938
1,86,24.8701,0.7714,0.8951
1,87,24.5984,0.7686,0.8951
1,88,24.4992,0.7723,0.8964
1,89,25.0398,0.7760,0.8919
1,90,25.1225,0.7764,0.8925
1,91,24.9689,0.7834,0.8922
1,92,24.2263,0.7741,0.8977
1,93,24.5251,0.7743,0.8950
1,94,24.8355,0.7635,0.8947
1,95,24.5730,0.7813,0.8949
1,96,24.7853,0.7649,0.8956
1,97,24.6375,0.7699,0.8958
1,98,24.7576,0.7733,0.8931
1,99,24.7483,0.7891,0.8954
1,100,24.7192,0.7715,0.8941
1,101,24.9598,0.7607,0.8921
1,102,24.5367,0.7620,0.8952
1,103,24.6493,0.7731,0.8949
1,104,24.8637,0.7614,0.8950
1,105,24.7232,0.7782,0.8956
1,106,24.5791,0.7998,0.8949
1,107,24.7658,0.7676,0.8934
1,108,25.0041,0.7791,0.8935
1,109,24.9858,0.7695,0.8942
1,110,24.4580,0.7644,0.8957
1,111,24.6008,0.7694,0.8956
1,112,24.0265,0.7785,0.8981
1,113,24.7830,0.7738,0.8957
1,114,24.7511,0.7808,0.8956
1,115,24.6716,0.7622,0.8955
1,116,24.8708,0.7909,0.8950
1,117,24.8977,0.7730,0.8945
1,118,24.6384,0.7726,0.8949
1,119,24.4577,0.7661,0.8954
1,120,24.5979,0.7734,0.8954
1,121,24.6775,0.7743,0.8961
1,122,24.7372,0.7640,0.8948
1,123,25.0984,0.7652,0.8931
1,124,24.6360,0.7565,0.8950
1,125,24.7709,0.7732,0.8940
1,126,24.5347,0.7813,0.8963
1,127,24.6388,0.7704,0.8947
1,128,24.5780,0.7582,0.8965
1,129,24.8282,0.7761,0.8952
1,130,24.6870,0.7908,0.8948
1,131,24.5292,0.7739,0.8956
1,132,24.5189,0.7643,0.8960
