eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,24.387012,0.5765875,0.89877504,0.0,0.0
1.0,0.0,64.80486,0.846475,0.7356875,0.0,0.0
2.0,0.0,72.96345,0.972075,0.69573754,0.0,0.0
3.0,0.0,81.75287,1.1279876,0.6405875,0.0,0.0
4.0,0.0,97.533485,1.077225,0.6513625,0.0,0.0
5.0,0.0,89.280975,0.9738375,0.67066246,0.0,0.0
6.0,0.0,73.52656,0.7870125,0.765875,0.0,0.0
7.0,0.0,90.2563,1.2059499,0.67207503,0.0,0.0
8.0,0.0,116.35842,0.9634125,0.6789,0.0,0.0
9.0,0.0,130.79623,2.0390873,0.34765,0.0,0.0
0.0,1.0,23.209862,0.5589875,0.90406245,-0.0052625,0.0052625
1.0,1.0,26.962511,0.604525,0.88673747,0.0,0.0
2.0,1.0,47.04226,0.76816255,0.8035875,0.0,0.0
3.0,1.0,52.595592,0.78658754,0.77276254,0.0,0.0
4.0,1.0,60.093063,0.84874994,0.7881,0.0,0.0
5.0,1.0,62.93606,0.75487494,0.76988757,0.0,0.0
6.0,1.0,54.978626,0.69253755,0.81735,0.0,0.0
7.0,1.0,66.61638,0.80697495,0.7539,0.0,0.0
8.0,1.0,122.608345,0.8040625,0.675575,0.0,0.0
9.0,1.0,118.922195,0.961,0.43958747,0.0,0.0
0.0,2.0,24.136799,0.59916246,0.89965,-0.00090000004,0.00090000004
1.0,2.0,29.432735,0.633175,0.877275,0.0094375,-0.0094375
2.0,2.0,25.070839,0.64890003,0.89286244,0.0,0.0
3.0,2.0,40.422897,0.6910375,0.823425,0.0,0.0
4.0,2.0,48.917873,0.8406375,0.82697505,0.0,0.0
5.0,2.0,52.49842,0.75890005,0.8077125,0.0,0.0
6.0,2.0,50.58981,0.6456375,0.8287375,0.0,0.0
7.0,2.0,56.118477,0.7962875,0.7877875,0.0,0.0
8.0,2.0,132.65855,0.8271,0.6451125,0.0,0.0
9.0,2.0,115.32609,1.0910251,0.46341252,0.0,0.0
0.0,3.0,25.439325,0.6180625,0.8948375,0.0039625,-0.0039625
1.0,3.0,30.923452,0.64919996,0.87153745,0.0152125005,-0.0152125005
2.0,3.0,29.156425,0.6684375,0.8759375,0.0169125,-0.0169125
3.0,3.0,23.867725,0.6070375,0.89400005,0.0,0.0
4.0,3.0,47.022274,0.819175,0.83365005,0.0,0.0
5.0,3.0,45.251537,0.75401247,0.83540004,0.0,0.0
6.0,3.0,48.059437,0.628075,0.83465004,0.0,0.0
7.0,3.0,49.350212,0.78895,0.8039501,0.0,0.0
8.0,3.0,78.95056,0.694625,0.775575,0.0,0.0
9.0,3.0,54.96107,1.0047876,0.719125,0.0,0.0
0.0,4.0,26.269402,0.619575,0.88970006,0.0091,-0.0091
1.0,4.0,31.722698,0.6515875,0.867375,0.019362502,-0.019362502
2.0,4.0,29.713274,0.6717124,0.8732375,0.019625,-0.019625
3.0,4.0,27.511963,0.6333875,0.8778125,0.0162,-0.0162
4.0,4.0,28.508087,0.742525,0.89513755,0.0,0.0
5.0,4.0,43.83819,0.7504,0.83907497,0.0,0.0
6.0,4.0,43.6174,0.6149875,0.84621257,0.0,0.0
7.0,4.0,44.743416,0.780025,0.818725,0.0,0.0
8.0,4.0,67.44486,0.6757375,0.80884993,0.0,0.0
