eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.7544187,0.005682625,0.0031444044,0.0,0.0
0.0,0.0,1.4112687,0.02453353,0.0071396288,0.0,0.0
0.0,0.0,2.0762057,0.024179807,0.012166909,0.0,0.0
0.0,0.0,2.8773916,0.037362274,0.0154941175,0.0,0.0
0.0,0.0,3.212737,0.02431005,0.01464718,0.0,0.0
0.0,0.0,4.00249,0.023365201,0.015836427,0.0,0.0
0.0,0.0,2.9752803,0.0135007845,0.010020443,0.0,0.0
0.0,0.0,3.19385,0.02466244,0.012714209,0.0,0.0
0.0,0.0,3.1781268,0.029549217,0.007901342,0.0,0.0
0.0,0.0,13.008943,0.17039627,0.0764116,0.0,0.0
0.0,0.0,0.80766505,0.011786198,0.003461724,0.0030748984,0.0030748984
0.0,0.0,0.57821864,0.005681327,0.0021948537,0.0,0.0
0.0,0.0,0.7950145,0.015014966,0.004314205,0.0,0.0
0.0,0.0,1.5586207,0.016205154,0.007012806,0.0,0.0
0.0,0.0,2.1903849,0.009451839,0.007654417,0.0,0.0
0.0,0.0,1.6851507,0.008373474,0.006745554,0.0,0.0
0.0,0.0,1.2078915,0.008974407,0.00465397,0.0,0.0
0.0,0.0,2.2283893,0.043076385,0.0066465987,0.0,0.0
0.0,0.0,5.974033,0.022079108,0.012618144,0.0,0.0
0.0,0.0,12.598312,0.048008356,0.06606473,0.0,0.0
0.0,0.0,0.5544208,0.010461117,0.002944486,0.0040665558,0.0040665558
0.0,0.0,1.4300125,0.013017818,0.0068087075,0.0053511094,0.0053511094
0.0,0.0,0.29213858,0.010317523,0.0015628057,0.0,0.0
0.0,0.0,1.5353093,0.0073871645,0.0061981846,0.0,0.0
0.0,0.0,1.3254988,0.021319361,0.0042109718,0.0,0.0
0.0,0.0,2.4343112,0.015351579,0.009224902,0.0,0.0
0.0,0.0,2.0461435,0.015931873,0.0065581584,0.0,0.0
0.0,0.0,3.188793,0.01601763,0.012527148,0.0,0.0
0.0,0.0,9.974866,0.040828176,0.023999635,0.0,0.0
0.0,0.0,14.536805,0.059205722,0.06520015,0.0,0.0
0.0,0.0,0.816448,0.009380153,0.0033856041,0.0044019707,0.0044019707
0.0,0.0,1.3211064,0.011460029,0.0058076363,0.0053974534,0.0053974534
0.0,0.0,1.0723803,0.010011732,0.004956552,0.0053311437,0.0053311437
0.0,0.0,0.32363585,0.007388336,0.0015990275,0.0,0.0
0.0,0.0,0.64698005,0.019866703,0.002654125,0.0,0.0
0.0,0.0,1.4831227,0.011741987,0.005870427,0.0,0.0
0.0,0.0,1.6020994,0.008685299,0.006181722,0.0,0.0
0.0,0.0,1.9240568,0.019466491,0.009277656,0.0,0.0
0.0,0.0,11.095703,0.035014383,0.026728,0.0,0.0
0.0,0.0,6.0306215,0.04413738,0.02668899,0.0,0.0
0.0,0.0,1.2411156,0.016317356,0.005933587,0.0064938315,0.0064938315
0.0,0.0,1.1425304,0.013279215,0.0052311583,0.005139977,0.005139977
0.0,0.0,1.2650299,0.015256132,0.005988109,0.0061751385,0.0061751385
0.0,0.0,0.884494,0.012979447,0.0035469895,0.003931841,0.003931841
0.0,0.0,0.3723434,0.017940393,0.0011666593,0.0,0.0
0.0,0.0,1.6802758,0.014971836,0.006134693,0.0,0.0
0.0,0.0,1.5208827,0.018980276,0.006458133,0.0,0.0
0.0,0.0,1.5376085,0.025807695,0.007824871,0.0,0.0
0.0,0.0,10.853032,0.028287565,0.026308974,0.0,0.0
0.0,0.0,4.2287097,0.08636206,0.02775591,0.0,0.0
0.0,0.0,0.73916143,0.0075196265,0.0028942886,0.0030089188,0.0030089188
0.0,0.0,1.4253376,0.012114449,0.006242387,0.0049917274,0.0049917274
0.0,0.0,0.6082884,0.013712493,0.0022276721,0.0029575913,0.0029575913
0.0,0.0,0.92843896,0.0081874775,0.0043697185,0.00467612,0.00467612
0.0,0.0,1.6103462,0.021781057,0.0053895563,0.004917762,0.004917762
0.0,0.0,0.30282062,0.010863462,0.0010859902,0.0,0.0
0.0,0.0,0.88797456,0.016170913,0.0029021224,0.0,0.0
0.0,0.0,0.8681936,0.016697261,0.0035065815,0.0,0.0
0.0,0.0,3.8025246,0.023296554,0.010706077,0.0,0.0
0.0,0.0,2.1022599,0.04800265,0.00960001,0.0,0.0
0.0,0.0,0.8387518,0.008684464,0.003134659,0.002993091,0.002993091
0.0,0.0,1.2574949,0.013143433,0.0051078396,0.004145781,0.004145781
0.0,0.0,1.2271026,0.009730102,0.005628258,0.006027178,0.006027178
0.0,0.0,1.1910101,0.006287768,0.0051744534,0.005385963,0.005385963
0.0,0.0,2.0197175,0.017748905,0.0075694714,0.007093307,0.007093307
0.0,0.0,1.1540896,0.017852357,0.0045825583,0.00412248,0.00412248
0.0,0.0,0.60464156,0.010936171,0.0023404001,0.0,0.0
0.0,0.0,1.286537,0.0149282515,0.005869292,0.0,0.0
0.0,0.0,3.8228676,0.021503251,0.010760775,0.0,0.0
0.0,0.0,3.782106,0.039482407,0.01954226,0.0,0.0
0.0,0.0,1.1221567,0.012088406,0.0042897947,0.005009241,0.005009241
0.0,0.0,1.2657756,0.0134561295,0.005194654,0.0046262164,0.0046262164
0.0,0.0,1.5158064,0.009722911,0.0062479908,0.00670592,0.00670592
0.0,0.0,1.2794636,0.008699682,0.0053171916,0.00600925,0.00600925
0.0,0.0,1.5637449,0.025297817,0.0059303115,0.0057368195,0.0057368195
0.0,0.0,1.4374357,0.012669348,0.005689995,0.0052165454,0.0052165454
0.0,0.0,1.2783743,0.007871297,0.005022678,0.0030918997,0.0030918997
0.0,0.0,0.49385858,0.010109022,0.002630082,0.0,0.0
0.0,0.0,3.907507,0.028510343,0.011782981,0.0,0.0
0.0,0.0,4.1005445,0.057873685,0.024304312,0.0,0.0
0.0,0.0,1.1604224,0.013332181,0.0045667086,0.005443101,0.005443101
0.0,0.0,1.7136728,0.015113986,0.007242215,0.00698184,0.00698184
0.0,0.0,1.5957155,0.008042601,0.007405403,0.007934567,0.007934567
0.0,0.0,1.388224,0.006218814,0.0053387163,0.0062544867,0.0062544867
