training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,273.4109,3.2619,-0.0441
0,1,187.9842,5.6895,0.2489
0,2,158.5067,3.3112,0.3702
0,3,139.9370,3.4725,0.4586
0,4,129.1596,3.4785,0.5039
0,5,118.0345,2.9027,0.5412
0,6,109.1863,2.4826,0.5896
0,7,100.9688,2.3629,0.6194
0,8,94.6137,1.9845,0.6427
0,9,90.5452,1.8196,0.6525
0,10,86.3183,1.7343,0.6672
0,11,82.0837,1.7292,0.6838
0,12,78.0578,1.6877,0.7023
0,13,76.0012,1.5339,0.7057
0,14,73.3855,1.4463,0.7180
0,15,71.0060,1.4596,0.7196
0,16,67.4917,1.3099,0.7409
0,17,65.4743,1.4613,0.7509
0,18,65.0981,1.3283,0.7465
0,19,63.5565,1.3329,0.7544
0,20,60.8870,1.3214,0.7660
0,21,59.9641,1.2908,0.7675
0,22,58.6478,1.2619,0.7654
0,23,57.1802,1.2797,0.7834
0,24,57.5850,1.2106,0.7796
0,25,55.2005,1.1914,0.7835
0,26,54.4159,1.2548,0.7840
0,27,53.2894,1.1896,0.7920
0,28,52.3230,1.1770,0.7947
0,29,51.5768,1.1718,0.7983
0,30,51.1611,1.1925,0.8021
0,31,50.5053,1.1799,0.8033
0,32,49.9131,1.1373,0.8060
0,33,49.2475,1.1061,0.8022
0,34,48.4566,1.1018,0.8142
0,35,47.6979,1.1459,0.8132
0,36,47.0465,1.1058,0.8142
0,37,46.8423,1.1102,0.8149
0,38,46.0934,1.0993,0.8210
0,39,45.9831,1.0461,0.8174
0,40,45.6433,1.0650,0.8170
0,41,46.0584,1.0822,0.8184
0,42,44.5492,1.0280,0.8261
0,43,44.4382,1.0503,0.8274
0,44,43.2692,1.0380,0.8353
0,45,42.7577,1.0258,0.8324
0,46,43.1401,1.0404,0.8306
0,47,43.0090,1.0281,0.8286
0,48,42.0049,1.0703,0.8372
0,49,41.4251,1.0758,0.8362
0,50,42.2366,0.9684,0.8377
0,51,40.9154,1.0017,0.8377
0,52,41.1249,0.9946,0.8399
0,53,40.9823,0.9740,0.8374
0,54,40.3635,0.9877,0.8381
0,55,39.8791,0.9934,0.8413
0,56,38.8652,1.0508,0.8471
0,57,38.8642,0.9571,0.8453
0,58,39.3420,0.9390,0.8426
0,59,38.6044,0.9422,0.8500
0,60,38.3339,0.9192,0.8507
0,61,38.6943,0.9846,0.8475
0,62,38.5435,0.9228,0.8482
0,63,38.4262,0.9543,0.8498
0,64,37.4049,0.9689,0.8560
0,65,37.4671,0.9559,0.8498
0,66,37.4084,0.9234,0.8537
0,67,37.2155,0.9160,0.8518
0,68,36.8791,0.9541,0.8538
0,69,37.0548,0.9366,0.8520
0,70,35.7176,0.9398,0.8601
0,71,36.6028,0.8918,0.8552
0,72,36.0515,0.9014,0.8578
0,73,35.6100,0.9395,0.8607
0,74,36.0619,0.8671,0.8595
0,75,34.9267,0.9830,0.8644
0,76,34.7628,0.8955,0.8639
0,77,34.8105,0.8541,0.8639
0,78,35.9774,0.8803,0.8570
