training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,252.5986,3.2500,-0.0406
0,1,182.2805,3.7016,0.2161
0,2,157.6355,3.5313,0.3209
0,3,144.0599,3.5102,0.3949
0,4,131.0958,2.8989,0.4552
0,5,120.7716,2.5636,0.5045
0,6,112.7010,2.2660,0.5386
0,7,106.4711,2.1109,0.5627
0,8,100.7396,2.0695,0.5887
0,9,95.6580,1.9106,0.6087
0,10,91.9453,1.8378,0.6241
0,11,87.1862,1.7780,0.6428
0,12,83.8052,1.7082,0.6583
0,13,79.9414,1.6116,0.6751
0,14,76.7578,1.5908,0.6855
0,15,73.7702,1.5430,0.6978
0,16,70.3467,1.4768,0.7133
0,17,68.2866,1.3928,0.7198
0,18,66.8480,1.4344,0.7256
0,19,64.1578,1.3390,0.7377
0,20,63.5863,1.3293,0.7384
0,21,62.0608,1.3262,0.7437
0,22,60.3891,1.2531,0.7508
0,23,58.8435,1.2354,0.7569
0,24,57.5160,1.2230,0.7615
0,25,55.9128,1.1905,0.7667
0,26,55.4394,1.1995,0.7690
0,27,54.4698,1.1683,0.7728
0,28,53.1108,1.1626,0.7763
0,29,52.8390,1.1359,0.7788
0,30,51.9966,1.1288,0.7817
0,31,51.4081,1.1129,0.7836
0,32,50.4354,1.1007,0.7880
0,33,49.4967,1.0923,0.7922
0,34,48.5149,1.0836,0.7964
0,35,47.9774,1.0683,0.7991
0,36,47.2995,1.0624,0.8007
0,37,46.8139,1.0573,0.8030
0,38,46.9357,1.0590,0.8004
0,39,46.3172,1.0436,0.8043
0,40,45.9229,1.0148,0.8064
0,41,44.6599,1.0149,0.8109
0,42,45.1388,1.0107,0.8078
0,43,44.8625,1.0202,0.8107
0,44,43.5632,1.0373,0.8148
0,45,43.7694,0.9807,0.8147
0,46,42.7033,1.0041,0.8188
0,47,42.5691,0.9948,0.8193
0,48,42.3762,0.9862,0.8193
0,49,41.7573,0.9754,0.8228
0,50,41.6246,0.9944,0.8237
0,51,41.4707,0.9820,0.8242
0,52,42.0753,0.9500,0.8176
0,53,40.9630,0.9642,0.8247
0,54,40.7757,0.9241,0.8261
0,55,40.0049,0.9773,0.8287
0,56,39.5304,0.9442,0.8317
0,57,39.1635,0.9291,0.8333
0,58,39.6331,0.9430,0.8320
0,59,38.4976,0.9180,0.8351
0,60,38.9101,0.9385,0.8333
0,61,38.5012,0.9234,0.8358
0,62,38.3663,0.9239,0.8361
0,63,38.3570,0.9439,0.8359
0,64,37.7055,0.9096,0.8385
0,65,37.0078,0.8823,0.8432
0,66,37.4576,0.9306,0.8415
0,67,38.1175,0.9222,0.8371
0,68,37.1635,0.9091,0.8407
0,69,37.1882,0.8965,0.8399
0,70,36.6373,0.8890,0.8434
0,71,36.5661,0.8921,0.8427
0,72,36.7600,0.8910,0.8419
0,73,36.2246,0.8932,0.8454
0,74,35.9214,0.8840,0.8464
0,75,35.9350,0.8927,0.8460
0,76,35.4679,0.8796,0.8488
0,77,35.3625,0.8798,0.8483
0,78,35.6783,0.8724,0.8473
0,79,36.2303,0.8814,0.8450
0,80,35.2505,0.8628,0.8481
0,81,34.8805,0.8727,0.8497
0,82,35.2321,0.8805,0.8476
0,83,34.6136,0.8347,0.8516
0,84,34.2171,0.8719,0.8530
0,85,34.5401,0.8472,0.8513
0,86,34.5935,0.8670,0.8514
0,87,33.7907,0.8501,0.8536
0,88,33.9142,0.8708,0.8555
0,89,34.4068,0.8430,0.8518
0,90,33.6496,0.8472,0.8564
