eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,34.88095,0.7236625,0.8488125,0.0,0.0
1.0,0.0,62.561077,1.1071875,0.749075,0.0,0.0
2.0,0.0,53.88001,0.9565625,0.77411246,0.0,0.0
3.0,0.0,53.221916,1.3363501,0.7896,0.0,0.0
4.0,0.0,74.46843,1.2157999,0.71306247,0.0,0.0
5.0,0.0,71.1633,1.0562,0.750275,0.0,0.0
6.0,0.0,62.29267,1.3486999,0.77947503,0.0,0.0
7.0,0.0,82.07892,1.30015,0.72604996,0.0,0.0
8.0,0.0,64.81588,0.9997875,0.819975,0.0,0.0
9.0,0.0,57.871098,1.4514749,0.80635,0.0,0.0
0.0,1.0,31.570562,0.7377125,0.86322504,-0.0144125,0.0144125
1.0,1.0,32.45475,0.9463125,0.8547625,0.0,0.0
2.0,1.0,38.996597,0.9419125,0.8282625,0.0,0.0
3.0,1.0,38.925537,1.1396,0.8424375,0.0,0.0
4.0,1.0,52.221897,1.0727999,0.79133755,0.0,0.0
5.0,1.0,53.437504,0.991,0.8014125,0.0,0.0
6.0,1.0,46.1413,1.3249,0.8273625,0.0,0.0
7.0,1.0,61.68289,1.2174625,0.7898,0.0,0.0
8.0,1.0,49.946712,0.9154875,0.85010004,0.0,0.0
9.0,1.0,41.450775,1.223125,0.8514625,0.0,0.0
0.0,2.0,31.05575,0.75673753,0.86597496,-0.01715,0.01715
1.0,2.0,31.415152,0.9858,0.8605375,-0.0057875,0.0057875
2.0,2.0,29.854713,0.91137505,0.86551255,0.0,0.0
3.0,2.0,32.84286,1.09065,0.8649875,0.0,0.0
4.0,2.0,45.553925,1.0484,0.8137875,0.0,0.0
5.0,2.0,48.99375,0.977975,0.81546247,0.0,0.0
6.0,2.0,42.992233,1.3657376,0.83704996,0.0,0.0
7.0,2.0,55.979813,1.1468,0.80613744,0.0,0.0
8.0,2.0,45.340023,0.87178755,0.85443753,0.0,0.0
9.0,2.0,35.93744,1.1602625,0.8694875,0.0,0.0
0.0,3.0,30.592823,0.744925,0.867475,-0.01865,0.01865
1.0,3.0,31.056477,0.96643746,0.862175,-0.0074374997,0.0074374997
2.0,3.0,28.873753,0.88782495,0.869375,-0.0038875001,0.0038875001
3.0,3.0,24.331839,0.9802749,0.89785,0.0,0.0
4.0,3.0,41.449184,0.99415004,0.8278375,0.0,0.0
5.0,3.0,47.603363,0.92873746,0.8180001,0.0,0.0
6.0,3.0,40.451862,1.2849749,0.84540004,0.0,0.0
7.0,3.0,51.95755,1.0309376,0.81875,0.0,0.0
8.0,3.0,42.58134,0.8029375,0.85761243,0.0,0.0
9.0,3.0,33.81154,1.0755249,0.8758626,0.0,0.0
0.0,4.0,30.323088,0.74310005,0.869075,-0.020275002,0.020275002
1.0,4.0,30.7717,0.9660125,0.8636,-0.0088375,0.0088375
2.0,4.0,28.20865,0.89106256,0.8721625,-0.0066625006,0.0066625006
3.0,4.0,23.133762,0.986075,0.9024499,-0.0046125003,0.0046125003
4.0,4.0,32.155926,0.9741375,0.8634874,0.0,0.0
5.0,4.0,44.734802,0.92685,0.82619995,0.0,0.0
6.0,4.0,38.4005,1.2865875,0.852025,0.0,0.0
7.0,4.0,50.103474,1.0167874,0.82405,0.0,0.0
8.0,4.0,39.789074,0.793425,0.8661001,0.0,0.0
9.0,4.0,30.804214,1.0308125,0.88596255,0.0,0.0
0.0,5.0,30.284975,0.74177504,0.86915,-0.0203375,0.0203375
1.0,5.0,30.797237,0.96326244,0.8636626,-0.008925,0.008925
2.0,5.0,27.959335,0.889825,0.87328744,-0.0077875,0.0077875
3.0,5.0,22.681751,0.98267496,0.9036875,-0.005825,0.005825
4.0,5.0,30.853775,0.96768755,0.86861247,-0.0051500006,0.0051500006
5.0,5.0,35.08849,0.89884996,0.86088747,0.0,0.0
6.0,5.0,35.99745,1.2726375,0.8597125,0.0,0.0
7.0,5.0,47.350098,1.00965,0.8329875,0.0,0.0
8.0,5.0,37.12729,0.7798625,0.8739375,0.0,0.0
9.0,5.0,28.045687,0.9944625,0.893325,0.0,0.0
0.0,6.0,30.41695,0.73440003,0.86868745,-0.019875,0.019875
1.0,6.0,30.869226,0.95032495,0.86332506,-0.008562501,0.008562501
2.0,6.0,27.908737,0.87391245,0.87275004,-0.0072125,0.0072125
3.0,6.0,22.377523,0.9565375,0.90452504,-0.0066750003,0.0066750003
4.0,6.0,30.301413,0.9465875,0.87034994,-0.0068499995,0.0068499995
5.0,6.0,33.787125,0.86497504,0.86461246,-0.0037125002,0.0037125002
6.0,6.0,30.3698,1.2026625,0.8812375,0.0,0.0
7.0,6.0,45.43324,0.9623625,0.83885,0.0,0.0
8.0,6.0,35.392,0.75642496,0.88141245,0.0,0.0
9.0,6.0,26.426424,0.97086257,0.89902496,0.0,0.0
0.0,7.0,30.809723,0.73741245,0.866925,-0.018112501,0.018112501
1.0,7.0,31.200287,0.9508875,0.8621,-0.0073625,0.0073625
2.0,7.0,27.883251,0.87443745,0.87275004,-0.007275,0.007275
3.0,7.0,22.402237,0.9522,0.90454996,-0.0067125005,0.0067125005
4.0,7.0,30.265848,0.944375,0.8710625,-0.0076,0.0076
5.0,7.0,33.2604,0.8568,0.86646247,-0.0055499994,0.0055499994
6.0,7.0,29.56495,1.1895874,0.88430005,-0.0030875,0.0030875
7.0,7.0,39.127987,0.9277125,0.86121255,0.0,0.0
8.0,7.0,33.317413,0.7393375,0.88856244,0.0,0.0
9.0,7.0,23.759775,0.95419997,0.90871257,0.0,0.0
0.0,8.0,30.745235,0.73527503,0.8671125,-0.0182875,0.0182875
1.0,8.0,31.134502,0.94546247,0.862375,-0.0076125003,0.0076125003
2.0,8.0,27.737051,0.8696,0.873425,-0.0079,0.0079
3.0,8.0,22.25205,0.9455625,0.9050625,-0.007225,0.007225
4.0,8.0,30.047188,0.93945,0.87195,-0.008475,0.008475
5.0,8.0,33.0139,0.846475,0.86706245,-0.0061749998,0.0061749998
6.0,8.0,29.153574,1.1728,0.88586247,-0.004625,0.004625
7.0,8.0,38.064926,0.9146375,0.8644125,-0.0031625,0.0031625
8.0,8.0,29.801838,0.70898753,0.902775,0.0,0.0
9.0,8.0,22.844912,0.9423375,0.9122625,0.0,0.0
0.0,9.0,30.86295,0.73550004,0.8665124,-0.017675,0.017675
1.0,9.0,31.232338,0.94565004,0.8618,-0.0070625003,0.0070625003
2.0,9.0,27.8035,0.8695875,0.8730375,-0.00755,0.00755
3.0,9.0,22.28601,0.94392496,0.9048375,-0.007,0.007
4.0,9.0,30.132824,0.93816257,0.871575,-0.0081125,0.0081125
5.0,9.0,33.16284,0.84515,0.86644995,-0.005575,0.005575
6.0,9.0,29.143637,1.16975,0.88591254,-0.0046874997,0.0046874997
7.0,9.0,38.00029,0.9110375,0.8644625,-0.0032374999,0.0032374999
8.0,9.0,29.8157,0.70245004,0.90194994,0.0008375,-0.0008375
9.0,9.0,21.777063,0.91809994,0.91639996,0.0,0.0
