training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,337.1059,1.0750,-0.3323
0,1,0.002,260.9850,2.1873,-0.0235
0,2,0.002,211.5530,3.9235,0.0736
0,3,0.002,195.0887,4.0103,0.1688
0,4,0.002,179.8524,3.5886,0.2100
0,5,0.002,168.3083,3.7802,0.2623
0,6,0.002,159.6711,3.8127,0.2955
0,7,0.002,152.8871,3.4987,0.3292
0,8,0.002,146.2695,3.4322,0.3661
0,9,0.002,142.5294,3.3017,0.3884
0,10,0.002,137.7241,3.0665,0.4170
0,11,0.002,134.6470,3.0118,0.4342
0,12,0.002,131.6052,2.8233,0.4489
0,13,0.002,128.4391,2.6910,0.4639
0,14,0.002,125.1558,2.5321,0.4783
0,15,0.002,122.7744,2.3998,0.4921
0,16,0.002,118.3785,2.3594,0.5080
0,17,0.002,115.7264,2.2278,0.5181
0,18,0.002,113.1144,2.0896,0.5316
0,19,0.002,112.2054,2.0950,0.5320
0,20,0.002,108.7839,1.9731,0.5482
0,21,0.002,108.0808,1.9570,0.5513
0,22,0.002,106.1954,1.9007,0.5614
0,23,0.002,103.3670,1.8721,0.5717
0,24,0.002,101.5483,1.7867,0.5782
0,25,0.002,99.2677,1.7865,0.5877
0,26,0.002,98.7972,1.7621,0.5918
0,27,0.002,95.7658,1.7167,0.6030
0,28,0.002,95.3226,1.7354,0.6071
0,29,0.002,93.8402,1.6772,0.6117
0,30,0.002,91.5717,1.6998,0.6225
0,31,0.002,90.3665,1.6624,0.6267
0,32,0.002,88.8428,1.6425,0.6335
0,33,0.002,86.8287,1.6150,0.6430
0,34,0.002,86.6035,1.6036,0.6426
0,35,0.002,84.4299,1.5656,0.6542
0,36,0.002,83.8448,1.5727,0.6528
0,37,0.002,82.4426,1.5445,0.6612
0,38,0.002,81.6099,1.5126,0.6644
0,39,0.002,81.1863,1.5252,0.6653
0,40,0.002,79.9043,1.4830,0.6733
0,41,0.002,79.2691,1.4816,0.6760
0,42,0.002,78.5349,1.5049,0.6753
0,43,0.002,76.7743,1.4214,0.6850
0,44,0.002,76.5886,1.4322,0.6836
0,45,0.002,74.2254,1.4864,0.6918
0,46,0.002,75.0881,1.4154,0.6915
0,47,0.002,74.4568,1.4111,0.6937
0,48,0.002,73.8435,1.4285,0.6964
0,49,0.002,73.0531,1.4371,0.6974
0,50,0.002,72.1905,1.3766,0.6993
0,51,0.002,71.3190,1.4208,0.7051
0,52,0.002,70.3700,1.3643,0.7078
0,53,0.002,69.8265,1.3630,0.7113
0,54,0.002,70.8816,1.3205,0.7055
0,55,0.002,68.8516,1.3685,0.7149
0,56,0.002,68.7888,1.3375,0.7153
0,57,0.002,68.1679,1.3460,0.7183
0,58,0.002,68.0352,1.3539,0.7169
0,59,0.002,67.8182,1.2933,0.7176
0,60,0.002,66.9638,1.3601,0.7225
0,61,0.002,66.6182,1.3634,0.7238
0,62,0.002,66.5976,1.2991,0.7203
0,63,0.002,65.5790,1.3226,0.7261
0,64,0.002,64.8200,1.2944,0.7307
0,65,0.002,64.1572,1.3027,0.7332
0,66,0.002,64.9383,1.2874,0.7296
0,67,0.002,63.3641,1.2831,0.7353
0,68,0.002,63.0830,1.3153,0.7352
0,69,0.002,63.3864,1.2681,0.7364
0,70,0.002,62.6268,1.3224,0.7391
0,71,0.002,62.1887,1.2772,0.7393
0,72,0.002,63.2387,1.2657,0.7348
0,73,0.002,62.2449,1.2707,0.7382
0,74,0.002,61.8946,1.2889,0.7420
0,75,0.002,60.1926,1.2701,0.7474
0,76,0.002,60.3215,1.2561,0.7462
0,77,0.002,60.5793,1.2431,0.7465
0,78,0.002,60.8000,1.2620,0.7443
