training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,253.5947,3.1742,-0.0448
0,1,184.3056,3.7490,0.2078
0,2,159.5569,3.4129,0.3104
0,3,143.4149,3.4160,0.3915
0,4,130.5938,2.9165,0.4556
0,5,120.4845,2.5348,0.5033
0,6,111.6290,2.2702,0.5449
0,7,105.1657,2.1170,0.5706
0,8,99.5844,2.0113,0.5927
0,9,94.6261,1.9488,0.6148
0,10,89.6501,1.8210,0.6345
0,11,86.1853,1.7750,0.6478
0,12,82.4152,1.6820,0.6664
0,13,78.7489,1.6209,0.6810
0,14,74.8830,1.5837,0.6966
0,15,72.8223,1.5255,0.7034
0,16,70.4155,1.4956,0.7120
0,17,67.5032,1.4338,0.7243
0,18,65.6201,1.4136,0.7329
0,19,65.4118,1.3476,0.7321
0,20,62.9275,1.3268,0.7403
0,21,61.8939,1.3008,0.7443
0,22,59.9974,1.2810,0.7531
0,23,58.1732,1.2613,0.7601
0,24,57.1669,1.2465,0.7623
0,25,55.5296,1.2111,0.7690
0,26,55.1215,1.1828,0.7714
0,27,53.9445,1.2005,0.7765
0,28,52.7746,1.1754,0.7804
0,29,52.3952,1.1397,0.7802
0,30,52.2421,1.1644,0.7821
0,31,51.0994,1.1001,0.7865
0,32,49.7318,1.1286,0.7910
0,33,49.8495,1.1376,0.7905
0,34,49.1041,1.0856,0.7944
0,35,47.9905,1.0999,0.7994
0,36,46.2612,1.0789,0.8045
0,37,46.7943,1.0573,0.8033
0,38,47.4251,1.0660,0.8003
0,39,46.3128,1.0565,0.8053
0,40,45.7139,1.0413,0.8064
0,41,44.9783,1.0569,0.8102
0,42,43.8507,1.0452,0.8153
0,43,44.1528,1.0090,0.8135
0,44,43.5687,1.0120,0.8147
0,45,43.6526,1.0046,0.8145
0,46,42.8486,1.0262,0.8195
0,47,43.0561,0.9706,0.8173
0,48,43.2618,0.9674,0.8160
0,49,42.1474,1.0139,0.8218
0,50,42.0655,0.9789,0.8223
0,51,41.9156,0.9679,0.8211
0,52,41.6506,0.9835,0.8226
0,53,40.9062,0.9689,0.8273
0,54,40.6102,0.9359,0.8275
0,55,39.8708,0.9561,0.8303
0,56,39.6384,0.9529,0.8314
0,57,39.5218,0.9687,0.8315
0,58,39.7856,0.9355,0.8303
0,59,38.9427,0.9202,0.8346
0,60,39.0724,0.9314,0.8319
0,61,38.1098,0.9025,0.8379
0,62,38.4816,0.9338,0.8363
0,63,38.3660,0.8845,0.8375
0,64,37.5977,0.9178,0.8397
0,65,37.4046,0.9154,0.8412
0,66,37.1509,0.9169,0.8409
0,67,36.5566,0.9011,0.8434
0,68,37.0522,0.8740,0.8408
0,69,37.3534,0.8970,0.8401
0,70,36.3218,0.9093,0.8448
0,71,36.5194,0.9104,0.8444
0,72,36.7021,0.8756,0.8426
0,73,36.0185,0.8774,0.8465
0,74,36.6385,0.8805,0.8437
0,75,36.0240,0.8667,0.8454
0,76,36.1630,0.9114,0.8455
0,77,35.5117,0.8998,0.8473
0,78,35.5093,0.8773,0.8485
0,79,35.1988,0.8753,0.8497
0,80,35.2983,0.8807,0.8495
0,81,35.1348,0.8652,0.8507
0,82,34.6298,0.8814,0.8515
0,83,34.4839,0.8540,0.8526
0,84,33.8323,0.8702,0.8548
0,85,34.0984,0.8377,0.8534
0,86,33.8917,0.8665,0.8539
0,87,34.3198,0.8434,0.8522
0,88,34.0055,0.8451,0.8538
0,89,33.5313,0.8600,0.8565
0,90,34.1231,0.8469,0.8522
0,91,33.7573,0.8535,0.8551
0,92,33.7199,0.8451,0.8556
0,93,32.9433,0.8325,0.8587
0,94,33.1107,0.8574,0.8577
0,95,32.7980,0.8565,0.8593
0,96,33.0988,0.8566,0.8571
0,97,33.0083,0.8226,0.8575
0,98,32.3860,0.8289,0.8608
0,99,32.6961,0.8385,0.8594
0,100,32.6862,0.8295,0.8588
0,101,31.6153,0.8079,0.8628
0,102,32.3307,0.8222,0.8598
0,103,32.0922,0.8068,0.8613
0,104,31.8701,0.8302,0.8618
0,105,31.8419,0.8280,0.8628
0,106,31.6689,0.8249,0.8636
0,107,32.3681,0.8204,0.8593
0,108,31.8570,0.8352,0.8621
0,109,31.3098,0.8096,0.8658
0,110,31.4094,0.7983,0.8658
0,111,31.2891,0.8421,0.8652
0,112,31.5307,0.8109,0.8642
0,113,31.7051,0.8286,0.8633
0,114,31.1209,0.7968,0.8658
0,115,31.1804,0.8028,0.8659
0,116,31.0288,0.7901,0.8657
0,117,30.4382,0.8036,0.8674
0,118,30.4561,0.7851,0.8682
0,119,30.3887,0.8107,0.8686
0,120,30.5078,0.7815,0.8688
0,121,29.7259,0.7890,0.8705
0,122,30.5327,0.7919,0.8675
0,123,30.1597,0.8057,0.8703
0,124,30.2841,0.7867,0.8695
0,125,30.8249,0.7895,0.8668
0,126,30.0374,0.7993,0.8694
0,127,30.4880,0.7987,0.8678
0,128,30.1897,0.7963,0.8700
0,129,30.3458,0.7892,0.8682
0,130,30.0213,0.7807,0.8709
0,131,29.9423,0.8020,0.8715
0,132,30.2064,0.7780,0.8681
0,133,29.7022,0.7863,0.8725
0,134,29.7581,0.7701,0.8717
0,135,30.2074,0.7915,0.8691
0,136,29.8926,0.7998,0.8705
0,137,29.9338,0.7850,0.8708
0,138,29.3622,0.7825,0.8730
0,139,30.0255,0.7835,0.8707
0,140,29.6091,0.7878,0.8720
0,141,29.6192,0.7831,0.8713
0,142,29.6843,0.7835,0.8718
0,143,29.2889,0.7866,0.8735
0,144,29.3441,0.7975,0.8733
0,145,29.7644,0.8030,0.8712
0,146,29.9080,0.7975,0.8706
0,147,29.9740,0.7859,0.8686
0,148,29.4635,0.7754,0.8723
0,149,29.6563,0.7815,0.8711
0,150,30.3424,0.7805,0.8692
0,151,29.9444,0.7812,0.8716
0,152,30.0734,0.7933,0.8708
0,153,29.7614,0.7734,0.8711
0,154,29.7121,0.7872,0.8717
0,155,29.2521,0.7881,0.8737
0,156,29.7836,0.7836,0.8724
0,157,30.0231,0.7745,0.8713
0,158,29.1895,0.7884,0.8728
0,159,29.7858,0.7796,0.8715
0,160,29.8916,0.7869,0.8713
0,161,30.1424,0.7838,0.8689
0,162,30.0164,0.7838,0.8705
0,163,30.1374,0.7957,0.8701
0,164,29.5034,0.7626,0.8715
0,165,29.4367,0.7759,0.8721
0,166,29.4592,0.7814,0.8733
0,167,29.5166,0.7867,0.8726
0,168,29.1440,0.7901,0.8731
0,169,29.6366,0.7842,0.8713
0,170,29.8077,0.7708,0.8711
0,171,29.6230,0.7778,0.8713
0,172,29.5327,0.7777,0.8721
0,173,29.6481,0.7769,0.8730
0,174,29.5499,0.7813,0.8717
0,175,29.3887,0.7916,0.8731
0,176,30.0241,0.7706,0.8698
0,177,29.2620,0.7897,0.8739
0,178,30.0892,0.7987,0.8697
0,179,29.6830,0.7622,0.8704
0,180,29.7933,0.8018,0.8703
0,181,29.8777,0.7917,0.8709
0,182,29.9264,0.7865,0.8710
0,183,29.6858,0.7763,0.8708
0,184,29.5170,0.8099,0.8728
0,185,29.4590,0.7792,0.8727
0,186,29.6649,0.7934,0.8729
0,187,29.2882,0.7775,0.8727
0,188,30.0735,0.7836,0.8690
0,189,29.7573,0.7883,0.8717
0,190,29.7500,0.7677,0.8722
0,191,29.7243,0.7869,0.8699
0,192,30.1500,0.7810,0.8690
0,193,29.6332,0.7733,0.8720
0,194,29.8656,0.8014,0.8705
0,195,29.5686,0.7794,0.8720
0,196,30.1232,0.7802,0.8692
0,197,29.9485,0.7953,0.8698
0,198,29.6167,0.7839,0.8720
0,199,30.0623,0.7753,0.8705
1,0,47.5270,1.0193,0.8050
1,1,42.3059,0.9368,0.8228
1,2,40.4659,0.8999,0.8308
1,3,39.5873,0.8765,0.8324
1,4,39.0133,0.8689,0.8362
1,5,38.3402,0.8665,0.8391
1,6,38.3941,0.8554,0.8388
1,7,37.3932,0.8553,0.8422
1,8,37.0111,0.8506,0.8447
1,9,36.6809,0.8421,0.8455
1,10,36.4463,0.8342,0.8456
1,11,35.9847,0.8442,0.8486
1,12,35.7757,0.8300,0.8487
1,13,35.4852,0.8341,0.8504
1,14,35.6754,0.8360,0.8499
1,15,35.1013,0.8263,0.8520
1,16,34.5704,0.8325,0.8537
1,17,34.6036,0.8193,0.8535
1,18,33.9888,0.8320,0.8567
1,19,34.1067,0.8165,0.8555
1,20,34.0361,0.8314,0.8558
1,21,33.7732,0.8222,0.8568
1,22,33.5211,0.8006,0.8578
1,23,33.4267,0.8084,0.8579
1,24,33.6679,0.8130,0.8579
1,25,32.8890,0.8116,0.8613
1,26,32.9794,0.8003,0.8607
1,27,32.5623,0.8114,0.8628
1,28,32.8319,0.8085,0.8598
1,29,32.5019,0.7949,0.8620
1,30,32.5414,0.8144,0.8618
1,31,32.4766,0.7920,0.8623
1,32,32.5094,0.7986,0.8631
1,33,32.0469,0.7996,0.8646
1,34,31.9823,0.7856,0.8650
1,35,31.8530,0.7892,0.8647
1,36,32.0055,0.7895,0.8644
1,37,31.7491,0.7983,0.8649
1,38,31.4972,0.7820,0.8662
1,39,31.3037,0.7748,0.8675
1,40,31.6894,0.8003,0.8654
1,41,31.2696,0.7976,0.8673
1,42,31.1567,0.7988,0.8680
1,43,31.3155,0.7834,0.8667
1,44,30.8720,0.8096,0.8696
1,45,31.2669,0.7868,0.8678
1,46,30.9430,0.7908,0.8693
1,47,30.7019,0.7923,0.8687
1,48,30.2946,0.7722,0.8715
1,49,30.3163,0.7845,0.8712
1,50,30.2939,0.7903,0.8710
1,51,30.2252,0.7839,0.8715
1,52,29.8643,0.7725,0.8733
1,53,29.9994,0.7907,0.8728
1,54,30.4800,0.7795,0.8696
1,55,30.1008,0.7955,0.8722
1,56,29.9154,0.7761,0.8729
1,57,30.0835,0.7865,0.8720
1,58,30.1505,0.7820,0.8717
1,59,29.7233,0.7878,0.8741
1,60,29.7169,0.7892,0.8737
1,61,29.5958,0.7818,0.8741
1,62,29.4416,0.7923,0.8757
1,63,29.4530,0.7881,0.8747
1,64,29.3511,0.7740,0.8748
1,65,29.1046,0.7984,0.8773
1,66,29.3628,0.7785,0.8750
1,67,28.9508,0.7868,0.8763
1,68,28.9882,0.7712,0.8761
1,69,28.4175,0.7708,0.8795
1,70,28.3427,0.7644,0.8798
1,71,28.1374,0.7712,0.8806
1,72,27.7984,0.7626,0.8818
1,73,28.1152,0.7599,0.8799
1,74,27.8953,0.7743,0.8816
