training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,251.7203,3.2413,-0.0382
0,1,179.4038,3.7113,0.2378
0,2,156.7438,3.6035,0.3361
0,3,142.4977,3.3679,0.4074
0,4,129.9460,2.8551,0.4647
0,5,120.1949,2.5106,0.5066
0,6,110.9169,2.3170,0.5475
0,7,105.6387,2.0605,0.5667
0,8,99.5280,2.0522,0.5924
0,9,95.4684,1.8726,0.6094
0,10,90.0644,1.8443,0.6326
0,11,85.7670,1.7687,0.6513
0,12,82.1668,1.7115,0.6645
0,13,78.6902,1.6106,0.6800
0,14,75.5242,1.5779,0.6941
0,15,72.9648,1.5499,0.7034
0,16,70.6077,1.5029,0.7122
0,17,68.0827,1.4514,0.7233
0,18,65.7992,1.4104,0.7309
0,19,63.3924,1.3754,0.7416
0,20,61.8057,1.3594,0.7457
0,21,60.1910,1.3210,0.7518
0,22,59.5211,1.3040,0.7556
0,23,58.5428,1.2619,0.7575
0,24,56.7203,1.2469,0.7654
0,25,55.2791,1.2255,0.7721
0,26,54.6065,1.2130,0.7728
0,27,53.4261,1.2162,0.7781
0,28,52.4274,1.1851,0.7817
0,29,52.1071,1.1376,0.7819
0,30,50.8979,1.1329,0.7878
0,31,50.2354,1.1073,0.7895
0,32,49.8537,1.1084,0.7929
0,33,49.0211,1.1077,0.7938
0,34,48.4035,1.1048,0.7957
0,35,48.2536,1.1184,0.7984
0,36,47.1982,1.0660,0.8017
0,37,46.6178,1.0570,0.8027
0,38,46.5234,1.0458,0.8027
0,39,46.0693,1.0320,0.8051
0,40,45.7051,1.0401,0.8081
0,41,44.5047,1.0444,0.8125
0,42,44.3744,1.0395,0.8129
0,43,43.3575,1.0337,0.8168
0,44,43.9600,1.0221,0.8136
0,45,43.5988,1.0430,0.8149
0,46,42.9033,1.0033,0.8186
0,47,42.8222,1.0139,0.8181
0,48,42.3774,1.0045,0.8203
0,49,41.3420,0.9894,0.8255
0,50,41.7948,0.9708,0.8232
0,51,41.1052,0.9654,0.8246
0,52,41.5846,0.9586,0.8226
0,53,40.9769,0.9855,0.8262
0,54,40.4528,0.9537,0.8280
0,55,39.9300,0.9618,0.8318
0,56,39.2959,0.9621,0.8342
0,57,39.5430,0.9730,0.8299
0,58,39.4022,0.9346,0.8330
0,59,39.3536,0.9445,0.8315
0,60,39.1963,0.9330,0.8320
0,61,38.9810,0.9560,0.8352
0,62,38.3007,0.9383,0.8388
0,63,38.0060,0.9264,0.8391
0,64,37.7689,0.9374,0.8396
0,65,37.2446,0.9024,0.8424
0,66,37.4633,0.9404,0.8398
0,67,37.2238,0.9217,0.8418
0,68,37.2157,0.9363,0.8413
0,69,37.0735,0.8761,0.8428
0,70,37.0293,0.8975,0.8417
0,71,36.5366,0.8962,0.8432
0,72,36.2580,0.8889,0.8448
0,73,37.0371,0.9001,0.8422
0,74,35.9389,0.8935,0.8463
0,75,35.7910,0.8900,0.8474
0,76,35.9819,0.9188,0.8466
0,77,35.9327,0.8853,0.8455
0,78,35.7437,0.8893,0.8479
0,79,35.5304,0.8918,0.8468
0,80,35.6537,0.9132,0.8475
0,81,35.1045,0.8636,0.8502
0,82,34.6383,0.8787,0.8500
0,83,34.8521,0.8962,0.8504
0,84,34.8644,0.8610,0.8497
0,85,34.5625,0.8651,0.8516
0,86,34.6802,0.8768,0.8509
0,87,34.1481,0.8914,0.8538
0,88,33.4453,0.8418,0.8566
0,89,33.8347,0.8538,0.8548
0,90,33.0255,0.8733,0.8582
0,91,33.6282,0.8579,0.8552
0,92,33.6950,0.8679,0.8547
0,93,32.9737,0.8511,0.8576
0,94,33.2003,0.8470,0.8575
0,95,33.7130,0.8430,0.8559
0,96,32.8220,0.8440,0.8584
0,97,33.0880,0.8549,0.8581
0,98,32.6492,0.8376,0.8605
0,99,32.4621,0.8322,0.8599
0,100,32.1443,0.8362,0.8614
0,101,32.1612,0.8349,0.8623
0,102,32.2798,0.8088,0.8607
0,103,32.2077,0.8597,0.8603
0,104,32.1675,0.8203,0.8609
0,105,32.3197,0.8311,0.8609
0,106,31.5641,0.8327,0.8641
0,107,30.9991,0.8302,0.8667
0,108,31.6586,0.8253,0.8638
0,109,31.2326,0.8121,0.8659
0,110,31.3328,0.8271,0.8638
0,111,31.3481,0.7975,0.8646
0,112,31.3275,0.8316,0.8661
0,113,30.9463,0.8230,0.8665
0,114,31.0370,0.8182,0.8664
0,115,30.6472,0.8093,0.8673
0,116,30.4782,0.8001,0.8684
0,117,30.8291,0.8044,0.8678
0,118,30.8544,0.8187,0.8670
0,119,30.7425,0.8115,0.8671
0,120,30.9990,0.8094,0.8654
0,121,30.5375,0.8211,0.8690
0,122,30.5272,0.8044,0.8677
0,123,30.6133,0.7972,0.8687
0,124,29.6667,0.7787,0.8711
0,125,30.3615,0.8097,0.8692
0,126,30.4246,0.7980,0.8689
0,127,30.5058,0.7935,0.8673
0,128,30.1367,0.8075,0.8688
0,129,30.0563,0.7941,0.8686
0,130,30.1590,0.8084,0.8704
0,131,29.9695,0.7932,0.8718
0,132,29.5749,0.7969,0.8709
0,133,29.5733,0.7858,0.8711
0,134,30.1637,0.7839,0.8698
0,135,29.7708,0.7786,0.8705
0,136,29.5657,0.7736,0.8711
0,137,29.2343,0.7731,0.8728
0,138,29.6377,0.8007,0.8714
0,139,29.0425,0.7844,0.8739
0,140,28.9004,0.7854,0.8741
0,141,29.3392,0.7931,0.8730
0,142,29.2552,0.7887,0.8728
0,143,29.3313,0.8128,0.8737
0,144,29.0097,0.7805,0.8736
0,145,28.7351,0.7956,0.8763
0,146,28.9209,0.7707,0.8746
0,147,28.3518,0.7658,0.8786
0,148,28.4533,0.7659,0.8778
0,149,28.1009,0.7781,0.8776
0,150,28.0199,0.7560,0.8779
0,151,28.2008,0.7706,0.8786
0,152,28.1202,0.7763,0.8778
0,153,27.8970,0.7688,0.8799
0,154,28.1973,0.7773,0.8778
0,155,27.8854,0.7622,0.8787
0,156,27.9287,0.7544,0.8787
0,157,27.2162,0.7612,0.8824
