eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,35.34105,0.7258874,0.84704995,0.0,0.0
1.0,0.0,63.342888,1.1098249,0.74618757,0.0,0.0
2.0,0.0,54.422314,0.9597125,0.7720375,0.0,0.0
3.0,0.0,53.842262,1.330375,0.787525,0.0,0.0
4.0,0.0,75.507065,1.2178999,0.7084125,0.0,0.0
5.0,0.0,71.6044,1.0580875,0.7481375,0.0,0.0
6.0,0.0,62.616463,1.3499374,0.7784625,0.0,0.0
7.0,0.0,82.734726,1.2976376,0.7236375,0.0,0.0
8.0,0.0,65.37655,0.9918126,0.8168125,0.0,0.0
9.0,0.0,58.63279,1.4248999,0.8039375,0.0,0.0
0.0,1.0,41.74495,0.6881875,0.82783747,0.019225001,-0.019225001
1.0,1.0,38.55456,0.85938746,0.8302375,0.0,0.0
2.0,1.0,41.45787,0.824525,0.81865,0.0,0.0
3.0,1.0,41.78286,0.969325,0.82881254,0.0,0.0
4.0,1.0,56.687424,0.934175,0.77057505,0.0,0.0
5.0,1.0,57.298904,0.85742503,0.7877126,0.0,0.0
6.0,1.0,49.6007,1.059525,0.8135876,0.0,0.0
7.0,1.0,65.981064,1.021675,0.77223754,0.0,0.0
8.0,1.0,51.41744,0.8190375,0.8467875,0.0,0.0
9.0,1.0,45.645035,1.1961751,0.841175,0.0,0.0
0.0,2.0,41.672714,0.70350003,0.8262375,0.020812502,-0.020812502
1.0,2.0,43.60394,0.9245625,0.813275,0.016975,-0.016975
2.0,2.0,33.49206,0.738975,0.84995,0.0,0.0
3.0,2.0,39.64596,0.8573874,0.8361875,0.0,0.0
4.0,2.0,54.017284,0.9056125,0.77973753,0.0,0.0
5.0,2.0,52.933372,0.75829995,0.8045375,0.0,0.0
6.0,2.0,47.57696,0.9388,0.81974995,0.0,0.0
7.0,2.0,64.001854,0.8785375,0.773675,0.0,0.0
8.0,2.0,50.857113,0.705375,0.8377125,0.0,0.0
9.0,2.0,42.81506,1.0585625,0.8506875,0.0,0.0
0.0,3.0,43.820724,0.7394501,0.81676257,0.030287502,-0.030287502
1.0,3.0,43.902634,0.9194,0.81271243,0.017525,-0.017525
2.0,3.0,37.40615,0.7642375,0.83178747,0.0181375,-0.0181375
3.0,3.0,28.59015,0.7659875,0.8800125,0.0,0.0
4.0,3.0,48.298214,0.82678753,0.80106246,0.0,0.0
5.0,3.0,52.352837,0.7354875,0.80011255,0.0,0.0
6.0,3.0,42.99779,0.90376246,0.8353,0.0,0.0
7.0,3.0,58.11302,0.848375,0.797625,0.0,0.0
8.0,3.0,46.462635,0.661375,0.85148746,0.0,0.0
9.0,3.0,40.89876,1.0610626,0.8539625,0.0,0.0
0.0,4.0,42.987587,0.8157625,0.81993747,0.027112499,-0.027112499
1.0,4.0,44.647186,0.99584997,0.8096875,0.0205625,-0.0205625
2.0,4.0,37.366436,0.823375,0.83008754,0.0198375,-0.0198375
3.0,4.0,31.452578,0.88105,0.867925,0.01205,-0.01205
4.0,4.0,36.332214,0.8422625,0.8463375,0.0,0.0
5.0,4.0,47.233124,0.75268745,0.8159374,0.0,0.0
6.0,4.0,39.493076,0.9614875,0.8479375,0.0,0.0
7.0,4.0,54.697624,0.853625,0.8065125,0.0,0.0
8.0,4.0,42.69101,0.6562875,0.866125,0.0,0.0
9.0,4.0,35.39785,0.97617507,0.876325,0.0,0.0
0.0,5.0,47.1283,0.9039375,0.7894625,0.057587497,-0.057587497
1.0,5.0,47.896137,1.142575,0.78791255,0.042325,-0.042325
2.0,5.0,38.756176,0.893975,0.8216376,0.0282875,-0.0282875
3.0,5.0,32.97821,0.93653744,0.8622625,0.0177375,-0.0177375
4.0,5.0,42.66866,0.86441255,0.824075,0.022274999,-0.022274999
5.0,5.0,37.18405,0.711275,0.85398746,0.0,0.0
6.0,5.0,39.723625,0.9735625,0.8449375,0.0,0.0
7.0,5.0,53.07366,0.87607497,0.8147,0.0,0.0
8.0,5.0,39.122,0.64991254,0.879725,0.0,0.0
9.0,5.0,31.385462,0.9995751,0.88790005,0.0,0.0
0.0,6.0,43.91745,0.835675,0.8113875,0.03565,-0.03565
1.0,6.0,45.297413,1.0939375,0.803425,0.026812501,-0.026812501
2.0,6.0,36.704998,0.817025,0.8328625,0.0170625,-0.0170625
