eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.89599824,0.01766058,0.0034259993,0.0,0.0
0.0,0.0,0.6706915,0.028443718,0.0031821525,0.0,0.0
0.0,0.0,0.651489,0.029099662,0.0023280561,0.0,0.0
0.0,0.0,1.4395783,0.057984907,0.0067706574,0.0,0.0
0.0,0.0,1.7937472,0.05097265,0.0059653986,0.0,0.0
0.0,0.0,3.2071996,0.04670924,0.0072296183,0.0,0.0
0.0,0.0,2.1062436,0.06145372,0.0048989514,0.0,0.0
0.0,0.0,3.0914428,0.06695339,0.008353874,0.0,0.0
0.0,0.0,4.9203014,0.047301773,0.01120016,0.0,0.0
0.0,0.0,4.377865,0.09043199,0.01385171,0.0,0.0
0.0,0.0,0.6803667,0.009732478,0.0020862278,0.002093293,0.002093293
0.0,0.0,0.4989292,0.0111101875,0.0020204824,0.0,0.0
0.0,0.0,0.43238333,0.011782586,0.0015190445,0.0,0.0
0.0,0.0,0.9698544,0.02814498,0.0040621567,0.0,0.0
0.0,0.0,1.1800517,0.021738721,0.004716133,0.0,0.0
0.0,0.0,1.2374166,0.01681791,0.0037694247,0.0,0.0
0.0,0.0,1.1394426,0.031029103,0.003850461,0.0,0.0
0.0,0.0,1.6593338,0.0466134,0.0057775346,0.0,0.0
0.0,0.0,2.3401744,0.021934964,0.0073719854,0.0,0.0
0.0,0.0,1.9695809,0.05400611,0.0071205283,0.0,0.0
0.0,0.0,0.65825975,0.008865944,0.0020217265,0.0017912547,0.0017912547
0.0,0.0,0.5369217,0.014744395,0.0022470865,0.0012183492,0.0012183492
0.0,0.0,0.30665293,0.008536061,0.0010594873,0.0,0.0
0.0,0.0,0.60582393,0.01666721,0.0032169272,0.0,0.0
0.0,0.0,1.0230794,0.012375119,0.0037599644,0.0,0.0
0.0,0.0,0.56958604,0.010150128,0.001864761,0.0,0.0
0.0,0.0,0.7059847,0.017273393,0.002324328,0.0,0.0
0.0,0.0,0.91992646,0.018304026,0.0040619466,0.0,0.0
0.0,0.0,1.4670321,0.010115796,0.0050018583,0.0,0.0
0.0,0.0,1.5077199,0.03937817,0.0057657254,0.0,0.0
0.0,0.0,0.8432313,0.021235885,0.0028591556,0.001775132,0.001775132
0.0,0.0,0.70452833,0.03598726,0.0026844174,0.0010219465,0.0010219465
0.0,0.0,0.6148369,0.018312216,0.0025121896,0.00207059,0.00207059
0.0,0.0,0.40727586,0.011214431,0.0016081335,0.0,0.0
0.0,0.0,0.8360197,0.013788794,0.0030306478,0.0,0.0
0.0,0.0,1.0528443,0.013968303,0.0037839809,0.0,0.0
0.0,0.0,0.823203,0.017700633,0.0029359916,0.0,0.0
0.0,0.0,1.1996721,0.022394348,0.0039152717,0.0,0.0
0.0,0.0,1.5700492,0.006069331,0.0045949565,0.0,0.0
0.0,0.0,1.2062092,0.040696345,0.0042555807,0.0,0.0
0.0,0.0,0.9242764,0.020657927,0.0037765545,0.0019502804,0.0019502804
0.0,0.0,0.76589227,0.029283687,0.0027241597,0.0016069675,0.0016069675
0.0,0.0,0.6841366,0.013764879,0.0027241635,0.0022516313,0.0022516313
0.0,0.0,0.429168,0.019642109,0.0017781594,0.0019716744,0.0019716744
0.0,0.0,0.5154319,0.015638003,0.0020862212,0.0,0.0
0.0,0.0,0.5550471,0.015957084,0.0021023545,0.0,0.0
0.0,0.0,0.48622042,0.0303767,0.0018047987,0.0,0.0
0.0,0.0,0.60104316,0.02768311,0.0023002315,0.0,0.0
0.0,0.0,1.1091945,0.013703692,0.0037847538,0.0,0.0
0.0,0.0,0.82276046,0.039523985,0.0036324074,0.0,0.0
0.0,0.0,1.0378776,0.02200386,0.0061993874,0.0067498954,0.0067498954
0.0,0.0,1.0142227,0.044846863,0.0051702154,0.005813293,0.005813293
0.0,0.0,0.43817392,0.015255957,0.0025651294,0.0026596226,0.0026596226
0.0,0.0,0.65056217,0.013724606,0.0029342503,0.0022022359,0.0022022359
0.0,0.0,1.0836066,0.01653893,0.0041032755,0.0025346354,0.0025346354
0.0,0.0,0.35210767,0.024093866,0.0014137151,0.0,0.0
0.0,0.0,0.34790435,0.036265858,0.0012549218,0.0,0.0
0.0,0.0,0.60323274,0.033204366,0.0026471706,0.0,0.0
0.0,0.0,0.8266727,0.010800292,0.0024631054,0.0,0.0
0.0,0.0,0.7526305,0.038699932,0.0030145524,0.0,0.0
0.0,0.0,0.57100004,0.021844273,0.0028789872,0.0030062434,0.0030062434
0.0,0.0,0.49814782,0.032946482,0.0030433314,0.0030060096,0.0030060096
0.0,0.0,0.472972,0.014614701,0.0020142975,0.0015280196,0.0015280196
0.0,0.0,0.5760521,0.013937847,0.0022051071,0.001593689,0.001593689
0.0,0.0,0.9113966,0.012244876,0.002752728,0.0018062394,0.0018062394
0.0,0.0,0.44225693,0.011872129,0.001850491,0.0012835499,0.0012835499
0.0,0.0,0.30554166,0.016984021,0.0010902219,0.0,0.0
0.0,0.0,0.41785985,0.017680563,0.0019531609,0.0,0.0
0.0,0.0,0.88922614,0.010576028,0.003619018,0.0,0.0
0.0,0.0,1.13234,0.049020324,0.0056360285,0.0,0.0
0.0,0.0,0.9125277,0.025781525,0.003202322,0.0026834847,0.0026834847
0.0,0.0,0.73816514,0.03432756,0.0029160976,0.0015214613,0.0015214613
0.0,0.0,0.5923424,0.015476356,0.0023931863,0.0022747254,0.0022747254
0.0,0.0,0.75380105,0.015741695,0.0029246507,0.0022206067,0.0022206067
0.0,0.0,0.9967684,0.015774665,0.0036725136,0.0030437438,0.0030437438
0.0,0.0,0.625337,0.011120079,0.0028402987,0.0015418637,0.0015418637
0.0,0.0,0.50060564,0.014846726,0.0022610922,0.001811767,0.001811767
0.0,0.0,0.34760162,0.017065058,0.0014747878,0.0,0.0
0.0,0.0,0.6976583,0.011974188,0.002915437,0.0,0.0
0.0,0.0,0.6271216,0.037099164,0.0035769884,0.0,0.0
