training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,331.3330,1.1351,-0.3022
0,1,0.002,248.4331,2.5120,0.0194
0,2,0.002,206.2549,4.2264,0.0987
0,3,0.002,188.5927,4.0275,0.1911
0,4,0.002,174.4874,3.5504,0.2425
0,5,0.002,163.9584,3.7753,0.2835
0,6,0.002,156.3579,3.7888,0.3201
0,7,0.002,149.6389,3.5088,0.3527
0,8,0.002,144.3275,3.4003,0.3871
0,9,0.002,140.4206,3.2497,0.4080
0,10,0.002,136.5908,3.0064,0.4272
0,11,0.002,132.8757,2.9530,0.4493
0,12,0.002,129.5008,2.7980,0.4619
0,13,0.002,126.7455,2.6986,0.4736
0,14,0.002,122.6464,2.5176,0.4913
0,15,0.002,119.9363,2.4050,0.5045
0,16,0.002,117.1749,2.2842,0.5141
0,17,0.002,115.4956,2.1671,0.5194
0,18,0.002,111.7724,2.0953,0.5379
0,19,0.002,109.7553,1.9983,0.5444
0,20,0.002,106.7397,1.9529,0.5599
0,21,0.002,105.7805,1.8255,0.5625
0,22,0.002,102.1662,1.8970,0.5779
0,23,0.002,101.0025,1.8234,0.5809
0,24,0.002,99.7916,1.7988,0.5874
0,25,0.002,98.2334,1.7319,0.5937
0,26,0.002,95.6887,1.7324,0.6055
0,27,0.002,94.3373,1.7037,0.6104
0,28,0.002,92.6381,1.6667,0.6197
0,29,0.002,91.5719,1.6867,0.6226
0,30,0.002,89.7410,1.6350,0.6303
0,31,0.002,88.2531,1.6427,0.6347
0,32,0.002,86.3211,1.6463,0.6436
0,33,0.002,84.8226,1.5237,0.6492
0,34,0.002,85.1282,1.5844,0.6508
0,35,0.002,83.2363,1.5671,0.6577
0,36,0.002,83.5083,1.4743,0.6550
0,37,0.002,81.7828,1.5307,0.6636
0,38,0.002,80.0597,1.5436,0.6702
0,39,0.002,78.6862,1.5133,0.6754
0,40,0.002,77.4213,1.4998,0.6794
0,41,0.002,78.0547,1.4979,0.6787
0,42,0.002,76.9987,1.5188,0.6816
0,43,0.002,75.4776,1.4271,0.6899
0,44,0.002,74.4078,1.4745,0.6922
0,45,0.002,73.7358,1.4715,0.6958
0,46,0.002,74.5865,1.4397,0.6926
0,47,0.002,72.7358,1.4577,0.6986
0,48,0.002,71.4509,1.3961,0.7038
0,49,0.002,71.9459,1.4605,0.7022
0,50,0.002,71.3841,1.3985,0.7040
0,51,0.002,70.8897,1.3947,0.7078
0,52,0.002,68.7273,1.4040,0.7160
0,53,0.002,69.1687,1.3648,0.7128
