training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,253.3752,3.2370,-0.0469
0,1,181.8719,3.8075,0.2168
0,2,157.5840,3.5034,0.3160
0,3,143.0792,3.5552,0.3967
0,4,130.3619,2.8770,0.4593
0,5,120.2069,2.5799,0.5043
0,6,110.5854,2.2836,0.5496
0,7,103.6456,2.1095,0.5772
0,8,98.9042,2.0231,0.5959
0,9,94.2964,1.8939,0.6149
0,10,89.0743,1.8215,0.6368
0,11,84.3927,1.7552,0.6576
0,12,82.3324,1.6531,0.6641
0,13,77.0415,1.6307,0.6859
0,14,73.9256,1.5377,0.6997
0,15,72.8659,1.5110,0.7044
0,16,69.9709,1.4935,0.7170
0,17,68.5825,1.4254,0.7175
0,18,65.6473,1.3610,0.7313
0,19,63.8639,1.3736,0.7369
0,20,62.5475,1.3449,0.7421
0,21,60.6302,1.2835,0.7503
0,22,59.5190,1.2551,0.7548
0,23,57.9194,1.2876,0.7596
0,24,58.2545,1.2233,0.7599
0,25,55.6262,1.2251,0.7699
0,26,54.7824,1.2216,0.7741
0,27,53.9840,1.1891,0.7774
0,28,52.5630,1.1536,0.7815
0,29,51.9161,1.1370,0.7837
0,30,51.6509,1.1256,0.7852
0,31,50.7014,1.1264,0.7897
0,32,49.0064,1.0932,0.7949
0,33,49.3274,1.1270,0.7937
0,34,48.3656,1.1110,0.7972
0,35,48.0404,1.0626,0.7996
0,36,46.7937,1.0578,0.8035
0,37,46.3387,1.0352,0.8056
0,38,46.7862,1.0643,0.8038
0,39,46.5040,1.0545,0.8036
0,40,44.5856,1.0231,0.8116
0,41,45.6360,1.0304,0.8080
0,42,44.5479,1.0099,0.8124
0,43,44.4864,1.0444,0.8126
0,44,43.7579,1.0385,0.8135
0,45,43.0374,0.9931,0.8184
0,46,42.8477,1.0095,0.8204
0,47,41.6909,1.0146,0.8237
0,48,41.8045,0.9831,0.8230
0,49,41.5328,0.9722,0.8244
0,50,41.1862,0.9869,0.8254
0,51,41.7134,0.9830,0.8232
0,52,40.7395,0.9650,0.8263
0,53,40.2687,0.9828,0.8292
0,54,41.4943,0.9697,0.8249
0,55,40.1394,0.9546,0.8284
0,56,39.3705,0.9494,0.8321
0,57,39.7081,0.9622,0.8321
0,58,39.4087,0.9434,0.8327
0,59,39.1073,0.9288,0.8340
0,60,38.8640,0.9621,0.8335
0,61,39.2703,0.9295,0.8318
0,62,38.0252,0.9243,0.8387
0,63,38.6445,0.9393,0.8360
0,64,38.7116,0.9153,0.8350
0,65,38.0824,0.9434,0.8371
0,66,37.7970,0.9343,0.8403
0,67,37.0209,0.9325,0.8427
0,68,37.4768,0.9269,0.8395
0,69,37.1144,0.9057,0.8424
0,70,36.6418,0.9233,0.8445
0,71,36.5685,0.8907,0.8435
0,72,36.4233,0.9114,0.8448
0,73,36.1609,0.8949,0.8447
0,74,36.0334,0.9220,0.8466
0,75,36.0848,0.8740,0.8459
0,76,36.2484,0.8861,0.8447
0,77,35.5363,0.8720,0.8479
0,78,35.5537,0.8824,0.8476
0,79,35.3338,0.8816,0.8486
0,80,35.1615,0.8771,0.8496
0,81,34.6543,0.8911,0.8504
0,82,34.7826,0.8766,0.8501
0,83,34.7395,0.8853,0.8529
0,84,34.1568,0.8789,0.8540
0,85,34.7674,0.8593,0.8522
0,86,34.7621,0.8655,0.8507
0,87,34.3952,0.8800,0.8526
0,88,34.1420,0.8633,0.8536
0,89,33.4759,0.8637,0.8571
0,90,33.4998,0.8487,0.8559
0,91,33.7114,0.8450,0.8550
0,92,33.0850,0.8536,0.8574
0,93,33.1306,0.8410,0.8580
0,94,33.0244,0.8456,0.8575
0,95,33.1319,0.8575,0.8575
0,96,33.5550,0.8276,0.8563
0,97,32.9773,0.8438,0.8584
0,98,32.8084,0.8337,0.8593
0,99,32.5666,0.8608,0.8601
0,100,32.4988,0.8341,0.8593
0,101,32.2416,0.8105,0.8621
0,102,32.3512,0.8360,0.8616
0,103,32.3224,0.8006,0.8620
0,104,32.1108,0.8345,0.8608
0,105,31.7406,0.8175,0.8631
0,106,31.6323,0.8217,0.8645
0,107,31.7858,0.8188,0.8641
0,108,31.6663,0.8307,0.8643
0,109,31.5409,0.8279,0.8643
0,110,31.2216,0.8231,0.8654
0,111,31.7933,0.8027,0.8630
0,112,31.7779,0.8201,0.8627
0,113,30.9448,0.8111,0.8669
0,114,31.1510,0.7979,0.8654
0,115,31.1738,0.8079,0.8664
0,116,31.1854,0.8087,0.8655
0,117,30.9050,0.8105,0.8674
0,118,30.7936,0.8173,0.8669
0,119,31.3966,0.8007,0.8658
0,120,31.2640,0.8127,0.8653
0,121,30.8587,0.8122,0.8671
0,122,30.7401,0.8019,0.8678
0,123,30.5595,0.7960,0.8687
0,124,30.1968,0.8059,0.8703
0,125,30.3097,0.7903,0.8688
0,126,30.0588,0.7958,0.8708
0,127,29.9779,0.7860,0.8702
0,128,29.6668,0.7721,0.8721
0,129,30.2269,0.7816,0.8695
0,130,30.1700,0.8039,0.8704
0,131,29.7321,0.8028,0.8716
0,132,29.8993,0.7859,0.8707
0,133,30.0129,0.7761,0.8703
0,134,29.7300,0.7973,0.8722
0,135,30.1255,0.7870,0.8703
0,136,29.1138,0.7812,0.8745
0,137,29.2375,0.7811,0.8734
0,138,29.3468,0.7946,0.8729
0,139,29.2556,0.7906,0.8736
0,140,29.4096,0.7997,0.8733
0,141,28.6912,0.7751,0.8763
0,142,28.6915,0.7793,0.8751
0,143,29.3707,0.7964,0.8740
0,144,28.9962,0.7645,0.8749
0,145,28.8564,0.7710,0.8747
0,146,28.9229,0.7563,0.8763
0,147,28.5610,0.7779,0.8758
0,148,29.1641,0.7817,0.8745
0,149,28.5561,0.7616,0.8765
0,150,28.5252,0.7793,0.8760
0,151,29.0056,0.7454,0.8753
0,152,28.2618,0.7748,0.8778
0,153,28.3117,0.7820,0.8768
0,154,28.4795,0.7684,0.8764
0,155,28.5211,0.7788,0.8766
0,156,28.0822,0.7615,0.8775
0,157,28.3095,0.7539,0.8780
0,158,28.5838,0.7572,0.8758
0,159,28.3830,0.7766,0.8761
0,160,27.6805,0.7868,0.8800
0,161,27.5412,0.7776,0.8806
0,162,27.7647,0.7731,0.8790
0,163,27.3606,0.7570,0.8812
0,164,27.1522,0.7443,0.8824
0,165,27.5061,0.7440,0.8802
0,166,27.1063,0.7550,0.8827
0,167,27.7019,0.7395,0.8797
0,168,27.2720,0.7454,0.8819
0,169,26.9884,0.7495,0.8836
0,170,27.1435,0.7531,0.8822
0,171,27.4845,0.7388,0.8815
0,172,27.2753,0.7494,0.8826
0,173,27.1339,0.7486,0.8824
0,174,26.9503,0.7378,0.8830
0,175,27.1108,0.7434,0.8821
0,176,27.0031,0.7507,0.8829
0,177,26.6852,0.7534,0.8843
0,178,26.7623,0.7570,0.8839
0,179,26.6711,0.7423,0.8841
0,180,26.8560,0.7369,0.8843
0,181,27.1240,0.7560,0.8833
0,182,26.8957,0.7483,0.8826
0,183,27.1599,0.7487,0.8823
0,184,26.7096,0.7510,0.8843
0,185,26.5859,0.7269,0.8846
0,186,26.6087,0.7216,0.8850
0,187,26.8853,0.7396,0.8835
0,188,26.2231,0.7310,0.8867
0,189,26.8387,0.7387,0.8844
0,190,26.8424,0.7371,0.8829
0,191,25.8173,0.7358,0.8884
0,192,26.5101,0.7420,0.8855
0,193,27.1035,0.7470,0.8837
0,194,26.6480,0.7514,0.8852
0,195,26.4412,0.7414,0.8865
0,196,26.3316,0.7413,0.8854
0,197,26.1783,0.7371,0.8860
0,198,26.1464,0.7392,0.8859
0,199,26.7670,0.7444,0.8848
1,0,57.5643,1.1576,0.7719
1,1,47.8402,0.9941,0.8067
1,2,44.2164,0.9543,0.8213
1,3,43.0823,0.9324,0.8253
1,4,41.8036,0.9140,0.8311
1,5,40.7709,0.8753,0.8347
1,6,39.9795,0.8956,0.8387
1,7,39.2914,0.8530,0.8419
1,8,39.4919,0.8523,0.8400
1,9,39.4266,0.8535,0.8412
1,10,38.7424,0.8509,0.8443
1,11,38.4107,0.8658,0.8469
1,12,38.1735,0.8339,0.8475
1,13,38.0025,0.8413,0.8475
1,14,37.7673,0.8091,0.8501
1,15,38.0196,0.8414,0.8485
1,16,37.5270,0.8230,0.8505
1,17,37.3329,0.8009,0.8501
1,18,36.5922,0.8309,0.8544
1,19,36.9090,0.8178,0.8539
1,20,36.2132,0.8060,0.8567
1,21,36.5194,0.8140,0.8558
1,22,36.2397,0.7850,0.8571
1,23,36.3009,0.8161,0.8566
1,24,36.1561,0.7881,0.8565
1,25,36.2328,0.8129,0.8559
1,26,36.3145,0.7874,0.8561
1,27,35.9579,0.8130,0.8575
1,28,35.7316,0.7900,0.8591
1,29,34.9892,0.7742,0.8612
1,30,35.4061,0.7910,0.8605
1,31,35.3332,0.7884,0.8601
1,32,35.5318,0.8022,0.8613
1,33,35.3649,0.7788,0.8611
1,34,35.1882,0.7771,0.8614
1,35,35.1106,0.7758,0.8626
1,36,35.1269,0.7680,0.8620
1,37,34.6598,0.7914,0.8645
1,38,34.8036,0.7581,0.8637
1,39,34.8681,0.7800,0.8639
1,40,34.6600,0.7655,0.8649
1,41,34.6239,0.7768,0.8651
1,42,34.6284,0.7603,0.8649
1,43,34.5485,0.7869,0.8654
1,44,34.3029,0.7775,0.8665
1,45,33.9626,0.7776,0.8678
1,46,34.9012,0.7769,0.8635
1,47,34.1148,0.7687,0.8674
1,48,34.7368,0.7613,0.8649
1,49,34.4847,0.7736,0.8656
1,50,34.1018,0.7801,0.8672
1,51,34.5386,0.7550,0.8655
1,52,33.9146,0.7736,0.8688
1,53,34.0478,0.7539,0.8679
1,54,33.9890,0.7779,0.8688
1,55,33.5760,0.7680,0.8701
1,56,33.7306,0.7770,0.8694
1,57,33.5995,0.7667,0.8702
1,58,33.7827,0.7509,0.8688
1,59,33.5086,0.7669,0.8704
1,60,33.6426,0.7549,0.8693
1,61,33.2830,0.7699,0.8712
1,62,33.7154,0.7636,0.8696
1,63,33.6262,0.7561,0.8690
1,64,33.3012,0.7745,0.8718
1,65,33.4165,0.7615,0.8709
1,66,33.8283,0.7570,0.8692
1,67,33.6899,0.7548,0.8689
1,68,33.1570,0.7538,0.8725
1,69,33.1687,0.7531,0.8728
1,70,32.9072,0.7694,0.8732
1,71,33.2092,0.7582,0.8711
1,72,32.8552,0.7504,0.8730
1,73,32.7412,0.7412,0.8742
1,74,33.0510,0.7429,0.8719
1,75,33.2107,0.7461,0.8721
1,76,32.7514,0.7544,0.8737
1,77,32.8567,0.7682,0.8732
1,78,33.1559,0.7322,0.8722
1,79,32.9060,0.7587,0.8732
1,80,32.9420,0.7368,0.8730
1,81,33.1616,0.7535,0.8725
1,82,32.6622,0.7478,0.8738
1,83,32.6268,0.7425,0.8737
1,84,33.2304,0.7405,0.8718
1,85,32.8322,0.7445,0.8723
1,86,32.0861,0.7360,0.8779
1,87,32.2550,0.7403,0.8758
1,88,32.3170,0.7424,0.8760
1,89,32.3667,0.7288,0.8757
1,90,31.6781,0.7326,0.8770
1,91,31.5219,0.7342,0.8790
1,92,31.7091,0.7474,0.8782
1,93,31.6552,0.7339,0.8785
1,94,31.6763,0.7219,0.8781
1,95,31.6623,0.7421,0.8769
