eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,26.642498,0.5570875,0.885175,0.0,0.0
1.0,0.0,64.13347,0.92977494,0.7452375,0.0,0.0
2.0,0.0,55.77236,0.803175,0.7725375,0.0,0.0
3.0,0.0,58.706238,1.0273751,0.771175,0.0,0.0
4.0,0.0,78.44744,0.9698125,0.698775,0.0,0.0
5.0,0.0,73.1323,0.862825,0.74541247,0.0,0.0
6.0,0.0,66.03975,1.0735,0.76738745,0.0,0.0
7.0,0.0,86.997314,1.0119375,0.7140375,0.0,0.0
8.0,0.0,69.628265,0.9018874,0.79788744,0.0,0.0
9.0,0.0,61.637016,1.2009375,0.7956875,0.0,0.0
0.0,1.0,31.380037,0.5428625,0.86731255,0.017825,-0.017825
1.0,1.0,28.119299,0.63363755,0.8729999,0.0,0.0
2.0,1.0,37.39949,0.667975,0.83853745,0.0,0.0
3.0,1.0,40.495617,0.78668743,0.83465,0.0,0.0
4.0,1.0,52.408077,0.74752504,0.7893374,0.0,0.0
5.0,1.0,52.630035,0.66183746,0.8031125,0.0,0.0
6.0,1.0,45.694138,0.8113375,0.8277625,0.0,0.0
7.0,1.0,61.245014,0.82757497,0.7923625,0.0,0.0
8.0,1.0,48.287476,0.71379995,0.8470125,0.0,0.0
9.0,1.0,44.134834,0.9352125,0.8467625,0.0,0.0
0.0,2.0,32.791496,0.54387504,0.860925,0.024187502,-0.024187502
1.0,2.0,34.178303,0.6732375,0.8486875,0.0243,-0.0243
2.0,2.0,25.450476,0.550425,0.887925,0.0,0.0
3.0,2.0,34.042038,0.7160624,0.85704994,0.0,0.0
4.0,2.0,45.572098,0.67504996,0.8121625,0.0,0.0
5.0,2.0,47.683647,0.5770375,0.8187875,0.0,0.0
6.0,2.0,43.04134,0.7150875,0.8333125,0.0,0.0
7.0,2.0,59.01585,0.705325,0.79438746,0.0,0.0
8.0,2.0,47.172836,0.6184375,0.8440001,0.0,0.0
9.0,2.0,43.789963,0.884125,0.8424999,0.0,0.0
0.0,3.0,34.746147,0.5491125,0.85325,0.0319,-0.0319
1.0,3.0,36.486088,0.6813875,0.8403375,0.0326625,-0.0326625
2.0,3.0,31.240623,0.574025,0.86225003,0.025675,-0.025675
3.0,3.0,20.12315,0.55509996,0.9163749,0.0,0.0
4.0,3.0,41.120422,0.5944874,0.83267504,0.0,0.0
5.0,3.0,47.299324,0.5451125,0.81467503,0.0,0.0
6.0,3.0,40.021423,0.6566,0.844775,0.0,0.0
7.0,3.0,53.786385,0.642825,0.8131,0.0,0.0
8.0,3.0,46.20643,0.580675,0.8472749,0.0,0.0
9.0,3.0,36.731915,0.77288747,0.86882496,0.0,0.0
0.0,4.0,34.428585,0.58253753,0.8565375,0.028625,-0.028625
1.0,4.0,37.019825,0.699875,0.83921254,0.0338,-0.0338
2.0,4.0,31.234625,0.60756254,0.86095,0.026975,-0.026975
3.0,4.0,24.223751,0.64877504,0.900475,0.0158875,-0.0158875
4.0,4.0,25.858263,0.5774,0.8925125,0.0,0.0
5.0,4.0,42.87693,0.5606875,0.82883745,0.0,0.0
6.0,4.0,37.204765,0.71581256,0.8544375,0.0,0.0
7.0,4.0,51.51416,0.6483,0.81995,0.0,0.0
8.0,4.0,42.14009,0.5964,0.85736245,0.0,0.0
9.0,4.0,33.772213,0.80627495,0.87756246,0.0,0.0
0.0,5.0,35.866226,0.607075,0.8488625,0.036275,-0.036275
1.0,5.0,37.3559,0.712725,0.83698756,0.036025003,-0.036025003
2.0,5.0,31.105762,0.62261254,0.86285,0.025075,-0.025075
3.0,5.0,25.05225,0.657025,0.896575,0.0198125,-0.0198125
4.0,5.0,33.201687,0.60528755,0.86403745,0.028475,-0.028475
5.0,5.0,29.4844,0.5033,0.8789625,0.0,0.0
6.0,5.0,33.77839,0.6914375,0.86657494,0.0,0.0
7.0,5.0,46.441837,0.637425,0.83706254,0.0,0.0
8.0,5.0,36.19219,0.55693746,0.88069993,0.0,0.0
9.0,5.0,26.621475,0.78523755,0.90360004,0.0,0.0
0.0,6.0,35.019524,0.6034375,0.85263747,0.032525,-0.032525
1.0,6.0,37.24036,0.74586254,0.83744997,0.035550002,-0.035550002
2.0,6.0,30.80934,0.60803753,0.862575,0.025362497,-0.025362497
3.0,6.0,25.365076,0.6552375,0.8956125,0.0207625,-0.0207625
4.0,6.0,33.52424,0.61028755,0.862275,0.03025,-0.03025
5.0,6.0,33.894875,0.5210125,0.8628875,0.016062502,-0.016062502
6.0,6.0,26.073263,0.61415005,0.8982875,0.0,0.0
7.0,6.0,44.648537,0.58941245,0.844125,0.0,0.0
8.0,6.0,35.403614,0.56203747,0.881775,0.0,0.0
9.0,6.0,26.356674,0.815325,0.90500003,0.0,0.0
0.0,7.0,36.907738,0.6155625,0.847075,0.038099997,-0.038099997
1.0,7.0,38.45825,0.74495,0.8332499,0.0397375,-0.0397375
2.0,7.0,31.449312,0.630275,0.8607624,0.0271625,-0.0271625
3.0,7.0,25.924389,0.67478746,0.893,0.0233875,-0.0233875
4.0,7.0,34.4567,0.62615,0.8586249,0.033875,-0.033875
5.0,7.0,34.890385,0.5446875,0.8596875,0.019274998,-0.019274998
6.0,7.0,30.28455,0.653375,0.880975,0.0173,-0.0173
7.0,7.0,33.518414,0.524275,0.8811,0.0,0.0
8.0,7.0,34.183247,0.5393125,0.88446254,0.0,0.0
9.0,7.0,24.86486,0.74029994,0.908675,0.0,0.0
0.0,8.0,36.782204,0.63671255,0.84628755,0.038875,-0.038875
1.0,8.0,38.428967,0.77465,0.83225,0.040737502,-0.040737502
2.0,8.0,31.90025,0.63570005,0.8583376,0.029550001,-0.029550001
3.0,8.0,26.527325,0.6750875,0.88961256,0.026775002,-0.026775002
4.0,8.0,36.233315,0.6361625,0.85206246,0.0404625,-0.0404625
5.0,8.0,36.22316,0.538075,0.8555375,0.0234375,-0.0234375
6.0,8.0,30.687012,0.6533,0.88130003,0.0169875,-0.0169875
7.0,8.0,40.26396,0.5629125,0.856925,0.0241625,-0.0241625
8.0,8.0,26.501213,0.4256875,0.91132504,0.0,0.0
9.0,8.0,24.422585,0.8162625,0.9103375,0.0,0.0
0.0,9.0,37.73179,0.6391875,0.842975,0.042175,-0.042175
1.0,9.0,39.5084,0.7859,0.82832503,0.04465,-0.04465
2.0,9.0,33.047935,0.64101243,0.85306245,0.0348625,-0.0348625
3.0,9.0,28.345736,0.69306254,0.88285,0.033525,-0.033525
4.0,9.0,37.705063,0.63563746,0.84665,0.045875,-0.045875
5.0,9.0,37.620975,0.535375,0.8520125,0.026949998,-0.026949998
6.0,9.0,32.465137,0.644925,0.8744,0.0238625,-0.0238625
7.0,9.0,43.62754,0.554425,0.8453625,0.0357375,-0.0357375
8.0,9.0,30.840876,0.47006252,0.8955875,0.0157375,-0.0157375
9.0,9.0,18.621864,0.58568746,0.932,0.0,0.0
