training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,254.2674,3.1940,-0.0489
0,1,181.7606,3.7474,0.2204
0,2,158.7403,3.5402,0.3217
0,3,143.7678,3.5309,0.3946
0,4,130.8095,2.8944,0.4566
0,5,120.6133,2.6069,0.5057
0,6,111.6716,2.2981,0.5442
0,7,104.9796,2.1071,0.5708
0,8,99.4910,2.0205,0.5930
0,9,94.6856,1.8751,0.6118
0,10,89.3027,1.8097,0.6367
0,11,86.1092,1.7455,0.6482
0,12,81.1741,1.6449,0.6698
0,13,77.8702,1.6100,0.6830
0,14,74.7957,1.5813,0.6952
0,15,72.6598,1.5570,0.7037
0,16,70.7935,1.4946,0.7101
0,17,68.3763,1.4497,0.7199
0,18,65.4130,1.3887,0.7322
0,19,63.3913,1.3447,0.7414
0,20,62.0938,1.3477,0.7457
0,21,60.3590,1.2988,0.7515
0,22,59.1739,1.2757,0.7564
0,23,58.0353,1.2519,0.7602
0,24,56.7199,1.2300,0.7645
0,25,56.1792,1.2223,0.7690
0,26,54.9271,1.2010,0.7724
0,27,54.1489,1.2023,0.7750
0,28,52.6748,1.1584,0.7814
0,29,52.6110,1.1765,0.7810
0,30,51.5323,1.1305,0.7857
0,31,50.1090,1.1482,0.7895
0,32,49.7880,1.1171,0.7926
0,33,49.6215,1.1051,0.7933
0,34,49.0392,1.0919,0.7958
0,35,48.4896,1.1031,0.7973
0,36,48.2986,1.0723,0.7971
0,37,46.4645,1.0568,0.8043
0,38,46.1397,1.0758,0.8053
0,39,45.4516,1.0384,0.8093
0,40,45.1758,1.0490,0.8092
0,41,44.7046,1.0224,0.8120
0,42,44.7367,1.0316,0.8113
0,43,44.0370,1.0481,0.8133
0,44,44.1069,1.0318,0.8130
0,45,43.5540,0.9919,0.8155
0,46,43.1625,1.0265,0.8186
0,47,42.6715,1.0177,0.8200
0,48,41.9222,1.0211,0.8209
0,49,42.0186,1.0202,0.8223
0,50,41.2446,1.0058,0.8255
0,51,41.3028,0.9839,0.8245
0,52,41.3004,1.0051,0.8262
0,53,40.8236,0.9810,0.8280
0,54,41.1027,0.9574,0.8249
0,55,40.0525,0.9453,0.8311
0,56,39.9868,0.9502,0.8293
0,57,39.1586,0.9554,0.8319
0,58,39.3283,0.9447,0.8332
0,59,38.8310,0.9653,0.8348
0,60,38.7549,0.9609,0.8355
0,61,38.1925,0.9286,0.8368
0,62,38.6198,0.9448,0.8361
0,63,38.8015,0.9328,0.8340
0,64,38.3292,0.9321,0.8362
0,65,38.9965,0.9165,0.8343
0,66,38.1251,0.9461,0.8372
0,67,37.7062,0.9182,0.8389
0,68,37.0326,0.9167,0.8428
0,69,37.2044,0.9118,0.8416
0,70,37.2702,0.9084,0.8413
0,71,37.1567,0.8935,0.8407
0,72,36.4609,0.9248,0.8435
0,73,36.7860,0.9019,0.8431
0,74,37.0815,0.8948,0.8406
0,75,35.8051,0.9279,0.8470
0,76,35.8949,0.9038,0.8468
0,77,35.9089,0.8809,0.8470
0,78,36.0044,0.9258,0.8458
0,79,35.2208,0.9052,0.8497
0,80,35.4393,0.8762,0.8486
0,81,35.4167,0.8976,0.8483
0,82,34.8983,0.8919,0.8510
0,83,34.6783,0.8739,0.8518
0,84,34.6287,0.8739,0.8526
0,85,34.4515,0.8620,0.8522
0,86,34.6298,0.8703,0.8521
0,87,34.5338,0.8689,0.8518
0,88,33.7010,0.8609,0.8559
0,89,33.5679,0.8689,0.8564
0,90,33.9044,0.8590,0.8543
0,91,33.9586,0.8647,0.8541
0,92,34.0122,0.8946,0.8539
0,93,33.3581,0.8425,0.8567
0,94,33.0578,0.8276,0.8572
0,95,32.8228,0.8553,0.8604
0,96,32.9979,0.8466,0.8588
0,97,33.2975,0.8445,0.8576
0,98,32.8293,0.8371,0.8596
0,99,32.3653,0.8465,0.8592
0,100,32.8679,0.8256,0.8597
0,101,33.1546,0.8415,0.8573
0,102,32.8706,0.8534,0.8582
0,103,32.1236,0.8305,0.8620
0,104,32.4512,0.8072,0.8594
0,105,32.0489,0.8309,0.8615
0,106,32.2452,0.8410,0.8604
0,107,32.3103,0.8281,0.8610
0,108,32.3053,0.8264,0.8617
0,109,32.1539,0.8381,0.8616
0,110,31.8800,0.8383,0.8632
0,111,31.7113,0.8208,0.8647
0,112,31.7759,0.8285,0.8638
0,113,31.4689,0.8220,0.8653
0,114,31.5919,0.8140,0.8639
0,115,30.9764,0.8164,0.8662
0,116,30.8906,0.8112,0.8666
0,117,31.0737,0.8059,0.8665
0,118,31.0262,0.8286,0.8673
0,119,31.5084,0.7987,0.8649
0,120,30.9545,0.8439,0.8670
0,121,30.9847,0.8331,0.8657
0,122,30.8838,0.8131,0.8672
0,123,30.8992,0.7983,0.8659
0,124,30.9737,0.8127,0.8659
0,125,30.4851,0.8079,0.8686
0,126,30.0011,0.7844,0.8705
0,127,30.2606,0.7979,0.8689
0,128,29.8474,0.7749,0.8719
0,129,29.9751,0.7981,0.8708
0,130,30.0547,0.7923,0.8707
0,131,29.5650,0.7826,0.8722
0,132,29.5708,0.7956,0.8729
0,133,29.1601,0.7930,0.8750
0,134,29.3320,0.7779,0.8737
0,135,29.7369,0.7835,0.8722
0,136,29.2955,0.7777,0.8743
0,137,29.0239,0.7770,0.8739
0,138,29.0933,0.7871,0.8740
0,139,28.9805,0.7717,0.8752
0,140,29.2588,0.7783,0.8739
0,141,28.8416,0.7731,0.8754
0,142,29.6795,0.7856,0.8707
0,143,28.8914,0.7660,0.8753
0,144,29.0143,0.7929,0.8736
0,145,28.9199,0.7793,0.8754
0,146,28.9814,0.8026,0.8744
0,147,28.7502,0.7674,0.8747
0,148,28.9236,0.7745,0.8751
0,149,28.9791,0.7973,0.8750
0,150,28.4070,0.7752,0.8783
0,151,28.8786,0.7763,0.8755
0,152,28.6866,0.7598,0.8761
0,153,28.9513,0.7786,0.8750
0,154,28.6960,0.7687,0.8757
0,155,28.2927,0.7781,0.8776
0,156,28.3548,0.7798,0.8791
0,157,28.3221,0.7727,0.8772
0,158,28.4168,0.7566,0.8763
0,159,28.4254,0.7643,0.8775
0,160,28.4479,0.7813,0.8773
0,161,28.3569,0.7701,0.8777
0,162,28.3493,0.7807,0.8776
0,163,28.4117,0.7782,0.8773
0,164,28.4255,0.7627,0.8769
0,165,28.0931,0.7690,0.8783
0,166,28.6079,0.7714,0.8761
0,167,28.5298,0.7776,0.8766
0,168,28.3446,0.7836,0.8767
0,169,28.0419,0.7641,0.8778
0,170,28.1297,0.7726,0.8781
0,171,28.2002,0.7580,0.8781
0,172,28.2141,0.7679,0.8783
0,173,28.4473,0.7604,0.8774
0,174,27.8298,0.7696,0.8804
0,175,28.4496,0.7748,0.8767
