eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.7024659,0.008180525,0.0026419533,0.0,0.0
0.0,0.0,0.7228357,0.019397944,0.0026314277,0.0,0.0
0.0,0.0,0.97817534,0.024135852,0.0038134307,0.0,0.0
0.0,0.0,2.0735214,0.06033666,0.009034645,0.0,0.0
0.0,0.0,2.4178622,0.057806693,0.008753387,0.0,0.0
0.0,0.0,3.0714307,0.04007898,0.007502981,0.0,0.0
0.0,0.0,2.3239198,0.050133836,0.006141405,0.0,0.0
0.0,0.0,3.5056262,0.06263936,0.009900506,0.0,0.0
0.0,0.0,4.1140933,0.04972949,0.010162105,0.0,0.0
0.0,0.0,4.3349075,0.11599389,0.013732537,0.0,0.0
0.0,0.0,0.66076607,0.010582649,0.0023032315,0.0016792858,0.0016792858
0.0,0.0,0.42617643,0.01528611,0.0020180529,0.0,0.0
0.0,0.0,0.64611036,0.016312486,0.0028538469,0.0,0.0
0.0,0.0,1.5750442,0.0386719,0.006292659,0.0,0.0
0.0,0.0,1.5293074,0.018788641,0.00656672,0.0,0.0
0.0,0.0,1.383479,0.024075344,0.00437877,0.0,0.0
0.0,0.0,1.277825,0.04034387,0.0034903416,0.0,0.0
0.0,0.0,1.6369134,0.054897245,0.005079611,0.0,0.0
0.0,0.0,2.5364325,0.027813653,0.008766957,0.0,0.0
0.0,0.0,2.2625892,0.067587815,0.008479826,0.0,0.0
0.0,0.0,0.95718074,0.015631592,0.0035968504,0.0042783613,0.0042783613
0.0,0.0,0.5711767,0.009340242,0.002425253,0.0021022307,0.0021022307
0.0,0.0,0.55396444,0.011983401,0.00288185,0.0,0.0
0.0,0.0,1.2137582,0.025671033,0.006646955,0.0,0.0
0.0,0.0,1.2240087,0.019768221,0.005418247,0.0,0.0
0.0,0.0,0.88134176,0.017130299,0.0038796656,0.0,0.0
0.0,0.0,0.8648057,0.020231714,0.0033309143,0.0,0.0
0.0,0.0,1.0683575,0.026057446,0.004213058,0.0,0.0
0.0,0.0,0.98537445,0.018206032,0.0032717453,0.0,0.0
0.0,0.0,1.7696472,0.044245202,0.006617031,0.0,0.0
