training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,334.1173,1.1244,-0.3255
0,1,0.002,253.9415,2.4569,0.0004
0,2,0.002,211.4525,4.2233,0.0828
0,3,0.002,192.2776,3.9531,0.1850
0,4,0.002,177.6684,3.4177,0.2271
0,5,0.002,166.1915,3.6731,0.2730
0,6,0.002,158.5865,3.8693,0.3010
0,7,0.002,151.5599,3.5708,0.3358
0,8,0.002,146.6944,3.4705,0.3632
0,9,0.002,141.9512,3.3765,0.3890
0,10,0.002,138.1894,3.1460,0.4120
0,11,0.002,134.9422,3.0301,0.4292
0,12,0.002,132.7825,2.8452,0.4429
0,13,0.002,128.9354,2.7242,0.4580
0,14,0.002,126.9938,2.6150,0.4716
0,15,0.002,123.1138,2.4633,0.4867
0,16,0.002,121.6502,2.3740,0.4929
0,17,0.002,118.4601,2.2310,0.5048
0,18,0.002,114.4620,2.1383,0.5226
0,19,0.002,113.3816,2.0137,0.5278
0,20,0.002,109.8397,1.9932,0.5451
0,21,0.002,108.6597,1.9228,0.5465
0,22,0.002,105.6312,1.8800,0.5619
0,23,0.002,104.4175,1.8577,0.5687
0,24,0.002,102.2800,1.7837,0.5778
0,25,0.002,100.4991,1.7354,0.5837
0,26,0.002,98.0051,1.7594,0.5951
0,27,0.002,97.3092,1.7072,0.5969
0,28,0.002,95.5707,1.6857,0.6043
0,29,0.002,93.3738,1.6431,0.6155
0,30,0.002,92.2674,1.6511,0.6190
0,31,0.002,90.6000,1.5947,0.6260
0,32,0.002,89.0570,1.6373,0.6340
0,33,0.002,87.0565,1.6029,0.6419
0,34,0.002,86.5252,1.5793,0.6445
0,35,0.002,85.9701,1.6169,0.6456
0,36,0.002,83.4646,1.5294,0.6586
0,37,0.002,83.6112,1.5681,0.6545
0,38,0.002,81.6019,1.5218,0.6641
0,39,0.002,80.0886,1.4772,0.6721
0,40,0.002,78.9464,1.4932,0.6784
0,41,0.002,78.4704,1.4868,0.6764
0,42,0.002,77.6501,1.4569,0.6812
0,43,0.002,76.6780,1.4761,0.6848
0,44,0.002,77.1226,1.4736,0.6821
0,45,0.002,75.1180,1.4319,0.6894
0,46,0.002,76.1619,1.4375,0.6855
0,47,0.002,74.0702,1.4215,0.6928
0,48,0.002,73.3215,1.3932,0.6955
0,49,0.002,73.2924,1.4162,0.6966
0,50,0.002,72.1074,1.3953,0.7004
0,51,0.002,72.1748,1.3896,0.7005
0,52,0.002,71.1280,1.4170,0.7089
0,53,0.002,69.8129,1.3836,0.7118
0,54,0.002,69.1418,1.3776,0.7151
