eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.5511157,0.0133399265,0.0023101699,0.0,0.0
0.0,0.0,0.55014545,0.018786682,0.0023827131,0.0,0.0
0.0,0.0,1.2784,0.013487196,0.005221813,0.0,0.0
0.0,0.0,1.0458156,0.023980921,0.005118292,0.0,0.0
0.0,0.0,1.5742095,0.019952158,0.005263262,0.0,0.0
0.0,0.0,2.6353064,0.016293535,0.008708824,0.0,0.0
0.0,0.0,1.9767329,0.021909943,0.005895646,0.0,0.0
0.0,0.0,2.0987163,0.022257246,0.0063019623,0.0,0.0
0.0,0.0,2.6726062,0.017511811,0.0056237,0.0,0.0
0.0,0.0,1.6209966,0.04162237,0.0058074123,0.0,0.0
0.0,0.0,0.874122,0.015562206,0.003651525,0.002377893,0.002377893
0.0,0.0,0.34438613,0.009345185,0.0014637297,0.0,0.0
0.0,0.0,0.75076014,0.009784011,0.003606915,0.0,0.0
0.0,0.0,1.1976396,0.023604048,0.004939897,0.0,0.0
0.0,0.0,1.4918606,0.011908174,0.0064298003,0.0,0.0
0.0,0.0,1.149946,0.017499624,0.0043024565,0.0,0.0
0.0,0.0,1.4330885,0.02346678,0.0057432465,0.0,0.0
0.0,0.0,0.9977391,0.03202506,0.003977423,0.0,0.0
0.0,0.0,1.5754169,0.015048431,0.005851584,0.0,0.0
0.0,0.0,2.4074156,0.044291236,0.010503564,0.0,0.0
0.0,0.0,1.1872458,0.01364549,0.0049274093,0.0036140138,0.0036140138
0.0,0.0,1.3718878,0.01843373,0.006588137,0.00596825,0.00596825
0.0,0.0,0.23699991,0.0069820858,0.0012326174,0.0,0.0
0.0,0.0,1.1085804,0.020169158,0.0049537825,0.0,0.0
0.0,0.0,1.7875067,0.015228744,0.007816477,0.0,0.0
0.0,0.0,0.8359433,0.012050618,0.003869583,0.0,0.0
0.0,0.0,0.99032235,0.019573227,0.004654683,0.0,0.0
0.0,0.0,1.3294907,0.020742567,0.0051564067,0.0,0.0
0.0,0.0,2.2729552,0.022585992,0.008940771,0.0,0.0
0.0,0.0,3.2128482,0.044995446,0.014222784,0.0,0.0
0.0,0.0,1.4493701,0.0123264305,0.0066713826,0.005039842,0.005039842
0.0,0.0,1.3021127,0.011336721,0.006419885,0.006028046,0.006028046
0.0,0.0,1.0189692,0.0089821685,0.0054249414,0.0049894257,0.0049894257
0.0,0.0,0.2537143,0.0069482075,0.0011659123,0.0,0.0
0.0,0.0,0.62468547,0.008268215,0.0025192923,0.0,0.0
0.0,0.0,1.0367337,0.009598484,0.0055737677,0.0,0.0
0.0,0.0,0.43758047,0.015264994,0.0028340586,0.0,0.0
0.0,0.0,0.7585071,0.009934376,0.0033852612,0.0,0.0
0.0,0.0,1.0734445,0.008403679,0.0042610853,0.0,0.0
0.0,0.0,1.546791,0.028794542,0.007114386,0.0,0.0
0.0,0.0,1.4845961,0.010760918,0.0065120864,0.004708702,0.004708702
0.0,0.0,1.5315242,0.01633873,0.0078744,0.00731266,0.00731266
0.0,0.0,0.5400081,0.01071318,0.0030639009,0.0033947572,0.0033947572
0.0,0.0,0.3476908,0.012266801,0.0017760723,0.0014945214,0.0014945214
0.0,0.0,0.39853385,0.012979029,0.0018414885,0.0,0.0
0.0,0.0,0.72713786,0.010658253,0.0031980255,0.0,0.0
0.0,0.0,0.8663033,0.017844297,0.0039999764,0.0,0.0
