training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,253.2332,3.1497,-0.0532
0,1,183.1193,3.7748,0.1935
0,2,159.2726,3.5206,0.3013
0,3,144.3835,3.4467,0.3790
0,4,130.7121,2.9335,0.4514
0,5,121.7892,2.5189,0.4978
0,6,112.7468,2.3105,0.5376
0,7,105.1821,2.0888,0.5693
0,8,100.0692,2.0301,0.5891
0,9,94.6374,1.8582,0.6124
0,10,89.7955,1.7891,0.6311
0,11,86.0857,1.7087,0.6465
0,12,82.1146,1.6434,0.6651
0,13,77.7097,1.5763,0.6829
0,14,75.6362,1.5522,0.6905
0,15,72.9644,1.5039,0.7019
0,16,69.8577,1.4414,0.7145
0,17,67.8237,1.4141,0.7222
0,18,65.0607,1.3793,0.7333
0,19,63.0373,1.3252,0.7405
0,20,61.5193,1.3151,0.7471
0,21,61.0640,1.2961,0.7490
0,22,59.6166,1.2868,0.7554
0,23,57.6381,1.2308,0.7612
0,24,56.9022,1.2253,0.7656
0,25,55.7061,1.1982,0.7683
0,26,54.5159,1.1979,0.7735
0,27,53.4665,1.1835,0.7786
0,28,52.5661,1.1565,0.7811
0,29,51.5835,1.1467,0.7838
0,30,51.0584,1.1091,0.7875
0,31,50.5484,1.1250,0.7872
0,32,49.2335,1.0860,0.7943
0,33,49.5213,1.1148,0.7922
0,34,48.6761,1.0899,0.7962
0,35,48.6546,1.0848,0.7968
0,36,47.5336,1.0844,0.8001
0,37,47.0721,1.0566,0.8014
0,38,46.3824,1.0519,0.8046
0,39,46.7578,1.0764,0.8028
0,40,45.7699,1.0469,0.8075
0,41,44.7929,1.0321,0.8114
0,42,44.8702,1.0257,0.8096
0,43,45.1999,1.0384,0.8085
0,44,43.3777,0.9854,0.8164
0,45,43.6966,1.0159,0.8153
0,46,43.3408,0.9997,0.8157
0,47,43.6577,1.0225,0.8142
0,48,42.1305,1.0181,0.8210
0,49,41.9493,0.9700,0.8216
0,50,42.0770,0.9872,0.8207
0,51,41.6868,0.9607,0.8228
0,52,41.1413,0.9755,0.8234
0,53,41.0203,1.0061,0.8253
0,54,40.9130,0.9814,0.8272
0,55,40.0836,0.9715,0.8285
0,56,40.2969,0.9722,0.8285
0,57,39.6067,0.9704,0.8322
0,58,39.6178,0.9517,0.8296
0,59,38.9796,0.9696,0.8346
0,60,38.8091,0.9489,0.8350
0,61,38.3838,0.9459,0.8357
0,62,38.2756,0.9496,0.8367
0,63,38.7651,0.9482,0.8347
0,64,37.8955,0.9319,0.8380
0,65,37.6460,0.9258,0.8390
0,66,37.9475,0.9432,0.8386
0,67,37.2160,0.9085,0.8409
0,68,37.6521,0.9207,0.8386
0,69,37.3099,0.9086,0.8401
0,70,37.3071,0.9158,0.8416
0,71,36.9227,0.8933,0.8418
0,72,36.2030,0.9018,0.8454
0,73,36.5536,0.9114,0.8429
0,74,36.1859,0.8949,0.8460
0,75,36.3118,0.8819,0.8440
0,76,35.6084,0.9050,0.8479
0,77,35.6772,0.8975,0.8462
0,78,36.1199,0.8983,0.8452
0,79,35.0100,0.8723,0.8512
0,80,35.5732,0.9046,0.8464
0,81,34.8021,0.8708,0.8504
0,82,35.2621,0.8784,0.8483
0,83,34.7379,0.8781,0.8509
0,84,34.3374,0.8829,0.8531
0,85,34.1017,0.8795,0.8538
0,86,34.8157,0.8748,0.8496
0,87,34.3289,0.8626,0.8525
0,88,34.3612,0.8744,0.8531
0,89,33.8896,0.8795,0.8535
0,90,33.8625,0.8562,0.8551
0,91,33.7103,0.8471,0.8555
0,92,33.6307,0.8489,0.8542
0,93,33.3183,0.8835,0.8568
0,94,33.4805,0.8493,0.8555
0,95,33.5239,0.8631,0.8553
0,96,32.5199,0.8655,0.8599
0,97,32.6497,0.8630,0.8588
0,98,32.9208,0.8193,0.8581
0,99,32.6325,0.8658,0.8585
0,100,33.3523,0.8423,0.8575
0,101,32.3933,0.8389,0.8607
0,102,32.2135,0.8461,0.8610
0,103,32.4970,0.8277,0.8606
0,104,32.2083,0.8508,0.8617
0,105,31.8464,0.8288,0.8625
0,106,32.2718,0.8368,0.8616
