eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,26.189749,0.5463375,0.887025,0.0,0.0
1.0,0.0,64.10905,0.91378754,0.74576247,0.0,0.0
2.0,0.0,55.923565,0.7836125,0.77227503,0.0,0.0
3.0,0.0,58.936413,1.0087875,0.7710875,0.0,0.0
4.0,0.0,78.70583,0.9446125,0.69877505,0.0,0.0
5.0,0.0,73.913864,0.83861256,0.7433,0.0,0.0
6.0,0.0,66.18371,1.04345,0.76715,0.0,0.0
7.0,0.0,87.00945,0.987375,0.71517503,0.0,0.0
8.0,0.0,70.44238,0.87522495,0.7962875,0.0,0.0
9.0,0.0,61.55151,1.1613874,0.7968125,0.0,0.0
0.0,1.0,44.057148,0.62023747,0.82224995,0.06475,-0.06475
1.0,1.0,26.773363,0.6449125,0.8784125,0.0,0.0
2.0,1.0,39.522827,0.70002496,0.8310625,0.0,0.0
3.0,1.0,42.843185,0.82045,0.822925,0.0,0.0
4.0,1.0,55.8613,0.7525125,0.7759625,0.0,0.0
5.0,1.0,59.665638,0.68275005,0.778975,0.0,0.0
6.0,1.0,52.152813,0.84152496,0.8001375,0.0,0.0
7.0,1.0,66.33471,0.81865,0.77532494,0.0,0.0
8.0,1.0,55.140697,0.7391,0.8242875,0.0,0.0
9.0,1.0,49.942684,0.9366375,0.8256875,0.0,0.0
0.0,2.0,58.092518,0.7077625,0.7689,0.118099995,-0.118099995
1.0,2.0,56.035812,0.920775,0.77206254,0.106325,-0.106325
2.0,2.0,26.229101,0.635275,0.8852125,0.0,0.0
3.0,2.0,45.21759,0.87816244,0.820225,0.0,0.0
4.0,2.0,56.91006,0.81775004,0.76785004,0.0,0.0
5.0,2.0,51.35611,0.6692375,0.80859995,0.0,0.0
6.0,2.0,51.241528,0.83866245,0.803525,0.0,0.0
7.0,2.0,68.33268,0.7999875,0.76722497,0.0,0.0
8.0,2.0,59.62753,0.7376751,0.8058624,0.0,0.0
9.0,2.0,60.979614,1.0398251,0.788325,0.0,0.0
0.0,3.0,78.675476,0.7976999,0.68887496,0.1981375,-0.1981375
1.0,3.0,81.72445,0.91996247,0.6859625,0.1924375,-0.1924375
2.0,3.0,57.29088,0.7848,0.75534993,0.129875,-0.129875
3.0,3.0,21.040586,0.6807126,0.91305006,0.0,0.0
4.0,3.0,46.48326,0.72685,0.81238747,0.0,0.0
5.0,3.0,50.2229,0.67772496,0.80718756,0.0,0.0
6.0,3.0,44.504837,0.81113756,0.8310625,0.0,0.0
7.0,3.0,62.485737,0.839725,0.7878375,0.0,0.0
8.0,3.0,52.25094,0.71795,0.8287875,0.0,0.0
9.0,3.0,48.271152,0.9898875,0.82235,0.0,0.0
0.0,4.0,134.22078,1.2010375,0.47976252,0.40725002,-0.40725002
1.0,4.0,116.80964,1.0918875,0.5803,0.29808748,-0.29808748
2.0,4.0,71.20035,0.9786376,0.71216255,0.17307499,-0.17307499
3.0,4.0,43.44377,0.975725,0.8283875,0.084675,-0.084675
4.0,4.0,29.420439,0.73109996,0.8781125,0.0,0.0
5.0,4.0,73.41105,0.77164996,0.738575,0.0,0.0
6.0,4.0,57.415077,0.9773375,0.787525,0.0,0.0
7.0,4.0,72.26251,0.93266255,0.756975,0.0,0.0
8.0,4.0,53.35974,0.79347503,0.826725,0.0,0.0
9.0,4.0,48.325977,1.149775,0.81752497,0.0,0.0
0.0,5.0,126.479774,1.1844125,0.45589995,0.431125,-0.431125
1.0,5.0,105.5309,1.2563751,0.585325,0.2930625,-0.2930625
2.0,5.0,70.34685,1.043125,0.71096253,0.1742625,-0.1742625
3.0,5.0,63.932625,1.0653875,0.747025,0.16602501,-0.16602501
4.0,5.0,74.1377,0.94056255,0.7057375,0.17236249,-0.17236249
5.0,5.0,32.12679,0.6581249,0.8717625,0.0,0.0
6.0,5.0,51.367287,1.0247126,0.80515,0.0,0.0
7.0,5.0,77.75121,0.99308753,0.73527503,0.0,0.0
8.0,5.0,52.83053,0.7944125,0.83355004,0.0,0.0
9.0,5.0,42.08929,1.2820874,0.8498625,0.0,0.0
0.0,6.0,91.021904,0.9631375,0.6314875,0.2555375,-0.2555375
1.0,6.0,99.99731,1.1047499,0.6169,0.2615125,-0.2615125
2.0,6.0,60.186977,0.8383375,0.75476253,0.130475,-0.130475
3.0,6.0,51.24711,0.9901,0.7959,0.117162496,-0.117162496
4.0,6.0,59.950417,0.79155004,0.758,0.1201375,-0.1201375
5.0,6.0,59.071426,0.645575,0.77197504,0.0997625,-0.0997625
6.0,6.0,26.3591,0.68069994,0.89708745,0.0,0.0
7.0,6.0,58.846115,0.70531243,0.801975,0.0,0.0
8.0,6.0,43.55186,0.7172625,0.856425,0.0,0.0
9.0,6.0,38.54978,1.067775,0.863925,0.0,0.0
0.0,7.0,112.07577,0.949975,0.56455,0.322475,-0.322475
1.0,7.0,108.561104,1.0232126,0.59673756,0.281675,-0.281675
2.0,7.0,65.21476,0.93499994,0.74236256,0.1428625,-0.1428625
3.0,7.0,54.187687,0.928925,0.78746253,0.125575,-0.125575
4.0,7.0,61.936676,0.8831,0.75895,0.119137496,-0.119137496
5.0,7.0,54.3725,0.7047875,0.79924995,0.0725,-0.0725
6.0,7.0,38.845215,0.8433,0.85173756,0.0453375,-0.0453375
7.0,7.0,33.169243,0.5897375,0.882875,0.0,0.0
