training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,255.6272,3.2319,-0.0513
0,1,183.2295,3.7885,0.2104
0,2,159.4206,3.4912,0.3153
0,3,144.1058,3.4985,0.3942
0,4,131.9754,2.9150,0.4509
0,5,121.3705,2.6083,0.5013
0,6,113.1498,2.3663,0.5385
0,7,106.5616,2.1720,0.5659
0,8,100.4502,2.0431,0.5884
0,9,96.1524,1.8925,0.6055
0,10,92.1621,1.8013,0.6227
0,11,86.9788,1.7947,0.6451
0,12,83.2296,1.7377,0.6611
0,13,80.2076,1.6458,0.6703
0,14,77.5957,1.5795,0.6841
0,15,74.2804,1.5653,0.6966
0,16,71.3214,1.5347,0.7080
0,17,68.5326,1.5133,0.7203
0,18,67.2495,1.4218,0.7240
0,19,65.8813,1.4027,0.7278
0,20,62.2778,1.3872,0.7445
0,21,61.4411,1.3049,0.7460
0,22,60.4121,1.2914,0.7511
0,23,59.0205,1.3048,0.7560
0,24,57.5037,1.2367,0.7612
0,25,56.9015,1.2073,0.7638
0,26,56.2158,1.2202,0.7657
0,27,54.4266,1.2142,0.7736
0,28,53.6418,1.1857,0.7762
0,29,53.2212,1.1731,0.7783
0,30,52.0534,1.1594,0.7824
0,31,51.3463,1.1560,0.7838
0,32,51.1751,1.1566,0.7860
0,33,49.9856,1.1127,0.7902
0,34,49.2242,1.1169,0.7934
0,35,49.0470,1.0708,0.7928
0,36,47.9953,1.0899,0.7975
0,37,47.9705,1.1023,0.7978
0,38,47.0330,1.0669,0.8013
0,39,45.8937,1.0323,0.8056
0,40,46.0608,1.0630,0.8049
0,41,46.4286,1.0717,0.8044
0,42,45.3452,1.0134,0.8091
0,43,44.9803,1.0599,0.8095
0,44,44.6406,1.0021,0.8111
0,45,44.4338,1.0040,0.8124
0,46,43.6734,1.0189,0.8136
0,47,43.0083,0.9987,0.8181
0,48,43.1607,1.0013,0.8167
0,49,42.3001,1.0198,0.8199
0,50,41.9502,0.9819,0.8214
0,51,41.5832,0.9902,0.8241
0,52,41.8376,0.9909,0.8222
0,53,41.7444,0.9942,0.8220
0,54,40.7268,0.9738,0.8271
0,55,40.5138,0.9457,0.8273
0,56,40.1473,0.9749,0.8296
0,57,40.1308,0.9365,0.8277
0,58,40.2213,0.9579,0.8291
0,59,39.8791,0.9752,0.8297
0,60,39.1841,0.9397,0.8334
0,61,38.8088,0.9387,0.8350
0,62,38.7410,0.9478,0.8344
0,63,39.1849,0.9500,0.8334
0,64,38.9283,0.9475,0.8328
0,65,38.4530,0.9167,0.8361
0,66,38.1951,0.9395,0.8365
0,67,38.6124,0.9277,0.8344
0,68,37.7608,0.9026,0.8380
0,69,38.0116,0.9333,0.8366
0,70,37.2528,0.8905,0.8415
0,71,37.0930,0.9025,0.8408
0,72,36.7443,0.9054,0.8430
0,73,36.2462,0.9162,0.8440
0,74,36.1580,0.8994,0.8448
0,75,36.3249,0.8960,0.8452
0,76,35.7103,0.8892,0.8470
0,77,35.5279,0.9018,0.8479
0,78,35.4686,0.8736,0.8469
0,79,35.9678,0.8765,0.8473
0,80,36.1345,0.8791,0.8450
0,81,35.5447,0.8913,0.8469
0,82,34.8813,0.8875,0.8501
0,83,34.9045,0.8746,0.8506
0,84,34.5908,0.8637,0.8508
0,85,34.8378,0.8680,0.8509
0,86,34.6676,0.8730,0.8506
0,87,34.5095,0.8830,0.8529
0,88,34.2508,0.8752,0.8533
0,89,33.9433,0.8493,0.8541
0,90,33.7645,0.8777,0.8558
0,91,33.8992,0.8457,0.8545
0,92,33.6124,0.8660,0.8560
0,93,33.6081,0.8479,0.8556
0,94,33.6317,0.8551,0.8544
0,95,33.2907,0.8427,0.8558
0,96,33.6527,0.8423,0.8553
0,97,33.2201,0.8549,0.8575
0,98,33.2765,0.8474,0.8568
0,99,33.1242,0.8084,0.8577
0,100,33.2764,0.8297,0.8561
0,101,33.3476,0.8474,0.8553
0,102,33.1029,0.8294,0.8567
0,103,32.8200,0.8245,0.8581
0,104,32.1247,0.8352,0.8611
0,105,31.9911,0.8355,0.8622
0,106,31.9311,0.8274,0.8614
0,107,32.4067,0.8271,0.8590
0,108,31.8626,0.8162,0.8620
0,109,32.0457,0.8372,0.8625
0,110,31.8190,0.8137,0.8630
0,111,31.8468,0.8271,0.8633
0,112,31.3214,0.8238,0.8645
0,113,32.0590,0.8185,0.8627
0,114,31.2241,0.8209,0.8656
0,115,32.2241,0.8330,0.8612
0,116,31.7090,0.8038,0.8631
0,117,31.1892,0.8270,0.8662
0,118,30.7629,0.7990,0.8675
0,119,30.7760,0.7898,0.8678
0,120,30.9639,0.8107,0.8665
0,121,30.1304,0.8169,0.8696
0,122,30.7276,0.7991,0.8680
0,123,30.6913,0.8018,0.8670
0,124,30.4971,0.8053,0.8687
0,125,30.0414,0.7931,0.8708
0,126,29.9403,0.8033,0.8703
0,127,30.3073,0.7906,0.8714
0,128,30.0774,0.8060,0.8707
0,129,30.1754,0.7840,0.8702
0,130,30.2690,0.7982,0.8699
0,131,30.0120,0.8147,0.8715
0,132,30.0575,0.8156,0.8705
0,133,30.2056,0.7867,0.8691
0,134,30.2825,0.7886,0.8682
0,135,30.0579,0.7806,0.8698
0,136,30.2842,0.7777,0.8692
0,137,29.7531,0.7849,0.8720
0,138,30.0226,0.7891,0.8697
0,139,30.0039,0.7911,0.8704
0,140,30.1114,0.7909,0.8693
0,141,30.1605,0.7912,0.8688
0,142,29.8711,0.7958,0.8704
0,143,29.5742,0.7748,0.8731
0,144,29.8437,0.7934,0.8718
0,145,30.0500,0.7800,0.8711
0,146,29.5815,0.8032,0.8718
0,147,29.5511,0.8124,0.8729
0,148,29.9146,0.7865,0.8701
0,149,29.5181,0.7930,0.8724
0,150,29.6296,0.8038,0.8724
0,151,29.6341,0.7891,0.8725
0,152,29.9247,0.7942,0.8704
0,153,29.9516,0.7828,0.8709
0,154,29.4064,0.7959,0.8730
0,155,29.8791,0.7924,0.8710
0,156,29.8200,0.7963,0.8716
0,157,29.0328,0.7848,0.8740
0,158,29.7374,0.7959,0.8704
0,159,29.5570,0.7984,0.8715
0,160,30.0801,0.7893,0.8696
0,161,29.3779,0.7906,0.8736
0,162,29.9512,0.7941,0.8702
0,163,29.4301,0.7886,0.8716
0,164,29.4090,0.7775,0.8729
0,165,29.8804,0.7924,0.8703
0,166,29.6237,0.7942,0.8726
0,167,29.4830,0.8024,0.8732
0,168,29.4636,0.7881,0.8725
0,169,29.5480,0.7805,0.8722
0,170,29.8064,0.7935,0.8722
0,171,29.4699,0.8060,0.8731
0,172,29.9525,0.7814,0.8717
0,173,29.7875,0.7870,0.8718
0,174,29.9553,0.7977,0.8719
0,175,29.8026,0.7875,0.8717
0,176,29.7279,0.8046,0.8709
0,177,29.5298,0.7946,0.8731
0,178,29.3671,0.7804,0.8726
0,179,29.8088,0.7782,0.8712
0,180,29.7361,0.7865,0.8725
0,181,29.7700,0.7949,0.8716
0,182,29.7949,0.7750,0.8705
0,183,29.3494,0.7792,0.8731
0,184,29.5785,0.7966,0.8724
0,185,29.5083,0.7842,0.8732
0,186,29.2946,0.7837,0.8729
0,187,29.4447,0.7899,0.8716
0,188,29.6673,0.7887,0.8716
