training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,328.8310,1.1357,-0.2920
0,1,0.002,243.0050,2.5259,0.0262
0,2,0.002,205.8745,4.0631,0.0990
0,3,0.002,188.6339,3.8811,0.1851
0,4,0.002,174.7724,3.5156,0.2404
0,5,0.002,164.2930,3.8372,0.2796
0,6,0.002,156.6747,3.8195,0.3154
0,7,0.002,150.5511,3.5057,0.3445
0,8,0.002,145.2407,3.4799,0.3758
0,9,0.002,141.2001,3.3562,0.4007
0,10,0.002,136.2818,3.1124,0.4277
0,11,0.002,133.0590,3.0967,0.4446
0,12,0.002,130.7860,2.9357,0.4568
0,13,0.002,127.6736,2.7854,0.4731
0,14,0.002,124.1143,2.6415,0.4872
0,15,0.002,121.2337,2.5612,0.4975
0,16,0.002,119.6570,2.3847,0.5049
0,17,0.002,116.6755,2.3010,0.5154
0,18,0.002,113.4051,2.1894,0.5324
0,19,0.002,112.0568,2.1047,0.5375
0,20,0.002,108.9034,2.0070,0.5481
0,21,0.002,106.3409,1.9681,0.5579
0,22,0.002,104.1286,1.9009,0.5683
0,23,0.002,101.3152,1.8204,0.5805
0,24,0.002,99.9054,1.8037,0.5848
0,25,0.002,98.9353,1.7333,0.5895
0,26,0.002,98.1640,1.7634,0.5910
0,27,0.002,95.2601,1.7029,0.6072
0,28,0.002,94.4493,1.7305,0.6079
0,29,0.002,91.7680,1.6500,0.6204
0,30,0.002,92.0439,1.6850,0.6203
0,31,0.002,89.8977,1.6587,0.6264
0,32,0.002,88.5837,1.6211,0.6326
0,33,0.002,86.4678,1.6276,0.6441
0,34,0.002,86.3917,1.5939,0.6450
0,35,0.002,85.2844,1.6097,0.6469
0,36,0.002,83.4860,1.6322,0.6553
0,37,0.002,82.9408,1.5551,0.6568
0,38,0.002,82.3135,1.5350,0.6603
0,39,0.002,81.1740,1.5048,0.6635
0,40,0.002,78.4759,1.5364,0.6755
0,41,0.002,78.7716,1.5515,0.6760
0,42,0.002,77.5909,1.4653,0.6777
0,43,0.002,77.5530,1.5028,0.6793
0,44,0.002,75.8339,1.4725,0.6857
0,45,0.002,75.6062,1.4538,0.6867
0,46,0.002,74.8673,1.4624,0.6883
0,47,0.002,74.1490,1.4545,0.6931
0,48,0.002,73.7295,1.4618,0.6938
0,49,0.002,72.2866,1.4259,0.6976
0,50,0.002,71.4080,1.4329,0.7021
0,51,0.002,71.7354,1.4565,0.7020
0,52,0.002,70.8258,1.3917,0.7034
0,53,0.002,70.1733,1.4255,0.7072
0,54,0.002,70.8081,1.3839,0.7053
0,55,0.002,68.8428,1.4222,0.7114
0,56,0.002,68.9300,1.4231,0.7109
0,57,0.002,67.4773,1.3689,0.7197
0,58,0.002,67.3523,1.3826,0.7183
0,59,0.002,67.4209,1.3718,0.7187
0,60,0.002,68.0341,1.3830,0.7164
0,61,0.002,66.3994,1.3853,0.7236
0,62,0.002,65.7530,1.3338,0.7249
0,63,0.002,66.0913,1.2966,0.7234
0,64,0.002,65.3507,1.3446,0.7259
0,65,0.002,64.4852,1.3543,0.7295
0,66,0.002,64.2150,1.3139,0.7307
0,67,0.002,64.4341,1.3527,0.7256
0,68,0.002,63.8769,1.3092,0.7318
0,69,0.002,63.8851,1.2877,0.7297
0,70,0.002,61.8913,1.2908,0.7388
0,71,0.002,62.5491,1.2932,0.7350
0,72,0.002,62.7736,1.3120,0.7372
0,73,0.002,61.2511,1.2914,0.7408
0,74,0.002,61.0963,1.2563,0.7420
0,75,0.002,61.9370,1.2882,0.7377
0,76,0.002,60.7452,1.2745,0.7428
0,77,0.002,59.7715,1.2891,0.7475
0,78,0.002,60.8706,1.3012,0.7442
0,79,0.002,60.4869,1.2598,0.7452
0,80,0.002,59.9157,1.2665,0.7471
0,81,0.002,59.6271,1.2483,0.7474
0,82,0.002,59.0275,1.2465,0.7505
0,83,0.002,58.5349,1.2714,0.7520
0,84,0.002,58.6909,1.2758,0.7512
0,85,0.002,59.2234,1.2520,0.7479
0,86,0.002,58.1170,1.2499,0.7543
0,87,0.002,58.5153,1.2660,0.7518
0,88,0.002,57.1880,1.2369,0.7582
0,89,0.002,57.5718,1.2535,0.7549
0,90,0.002,57.6203,1.2723,0.7586
0,91,0.002,56.4867,1.2536,0.7610
0,92,0.002,56.4686,1.2088,0.7605
0,93,0.002,55.8037,1.2291,0.7633
0,94,0.002,56.3023,1.2539,0.7610
0,95,0.002,55.9027,1.2202,0.7631
0,96,0.002,55.4032,1.2125,0.7659
