training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,253.5993,3.2451,-0.0523
0,1,182.4664,3.7489,0.1993
0,2,159.1143,3.5584,0.3051
0,3,144.4023,3.4139,0.3803
0,4,131.7075,2.9639,0.4435
0,5,121.8666,2.5070,0.4964
0,6,112.9174,2.3064,0.5379
0,7,105.3340,2.1203,0.5686
0,8,100.2824,1.9401,0.5890
0,9,95.5364,1.8868,0.6065
0,10,90.7993,1.8158,0.6273
0,11,85.7127,1.7363,0.6491
0,12,81.6144,1.6483,0.6662
0,13,78.8933,1.5805,0.6766
0,14,75.5515,1.5493,0.6913
0,15,72.9714,1.5325,0.7005
0,16,71.1287,1.4684,0.7100
0,17,67.3215,1.4471,0.7225
0,18,66.1309,1.3891,0.7293
0,19,64.7978,1.3607,0.7335
0,20,61.7456,1.3532,0.7473
0,21,60.2525,1.2720,0.7527
0,22,59.1659,1.2530,0.7553
0,23,58.1117,1.2316,0.7602
0,24,56.7650,1.2138,0.7649
0,25,55.6378,1.2158,0.7698
0,26,54.9946,1.2229,0.7708
0,27,54.9849,1.2109,0.7712
0,28,53.7929,1.1705,0.7752
0,29,52.4630,1.1476,0.7824
0,30,51.3327,1.1346,0.7860
0,31,51.3240,1.1271,0.7855
0,32,50.4105,1.1299,0.7886
0,33,50.0304,1.1014,0.7900
0,34,48.5175,1.0726,0.7952
0,35,49.0470,1.0705,0.7928
0,36,46.7874,1.0631,0.8035
0,37,47.4174,1.0602,0.7998
0,38,46.9827,1.0518,0.8029
0,39,46.9505,1.0613,0.8036
0,40,45.3219,1.0133,0.8085
0,41,45.2050,1.0169,0.8095
0,42,44.5150,1.0290,0.8123
0,43,43.7421,1.0018,0.8141
0,44,43.5335,1.0381,0.8149
0,45,44.0192,1.0362,0.8138
0,46,42.8210,0.9839,0.8185
0,47,42.4271,0.9900,0.8213
0,48,43.0234,1.0114,0.8176
0,49,42.0574,0.9983,0.8221
0,50,41.6173,0.9776,0.8246
0,51,41.7584,0.9936,0.8227
0,52,41.8754,0.9789,0.8226
0,53,40.8371,0.9662,0.8267
0,54,40.2823,0.9806,0.8282
0,55,40.6190,0.9603,0.8276
0,56,40.5597,0.9600,0.8276
0,57,39.8743,0.9538,0.8303
0,58,39.8016,0.9588,0.8302
0,59,39.3599,0.9495,0.8323
0,60,39.0441,0.9246,0.8335
0,61,39.8904,0.9282,0.8300
0,62,38.2564,0.9499,0.8378
0,63,38.2841,0.9451,0.8370
0,64,38.5755,0.9405,0.8362
0,65,38.4562,0.9329,0.8373
0,66,37.4142,0.9308,0.8407
0,67,37.6106,0.9392,0.8397
0,68,37.6652,0.9248,0.8399
0,69,37.3014,0.9029,0.8412
0,70,36.9014,0.9261,0.8434
0,71,36.7328,0.8822,0.8436
0,72,36.7392,0.9031,0.8445
0,73,36.7335,0.9230,0.8419
0,74,37.0227,0.9032,0.8412
0,75,36.7009,0.9086,0.8411
0,76,36.2518,0.8940,0.8450
0,77,36.1045,0.8949,0.8455
0,78,35.8983,0.9033,0.8463
0,79,35.3688,0.8949,0.8492
0,80,35.5646,0.8962,0.8487
0,81,35.6801,0.8977,0.8472
0,82,35.1314,0.8843,0.8498
0,83,35.4473,0.8947,0.8478
0,84,34.7309,0.8639,0.8520
0,85,34.6282,0.9033,0.8527
0,86,34.1599,0.8877,0.8531
0,87,34.4422,0.8794,0.8514
0,88,34.7711,0.8740,0.8499
0,89,33.9369,0.8771,0.8534
0,90,34.1973,0.8670,0.8537
0,91,33.9141,0.8625,0.8537
0,92,34.1619,0.8838,0.8530
0,93,33.9621,0.8396,0.8541
0,94,33.6190,0.8605,0.8561
0,95,33.4664,0.8363,0.8566
0,96,33.2990,0.8948,0.8569
0,97,33.1977,0.8594,0.8577
0,98,33.0424,0.8361,0.8580
0,99,32.9647,0.8575,0.8582
0,100,32.6420,0.8180,0.8599
0,101,32.6222,0.8445,0.8596
0,102,32.6719,0.8504,0.8589
0,103,32.2394,0.8355,0.8610
0,104,32.2070,0.8511,0.8610
0,105,32.2443,0.8080,0.8604
0,106,32.5599,0.8420,0.8603
0,107,31.9951,0.8373,0.8612
0,108,31.8485,0.8284,0.8624
0,109,31.4032,0.8451,0.8646
0,110,31.6561,0.8206,0.8639
0,111,31.7719,0.8362,0.8617
0,112,31.2608,0.8221,0.8642
0,113,31.3398,0.8161,0.8657
0,114,31.2364,0.7993,0.8663
0,115,30.9616,0.8210,0.8674
0,116,31.2004,0.8275,0.8657
0,117,31.7933,0.8393,0.8619
0,118,31.4750,0.8114,0.8639
0,119,31.0449,0.8223,0.8658
0,120,31.1728,0.8355,0.8657
0,121,31.0007,0.7954,0.8666
0,122,31.5457,0.8113,0.8639
0,123,30.8103,0.8091,0.8673
0,124,30.7868,0.8162,0.8671
0,125,30.9052,0.8137,0.8658
0,126,30.5291,0.8025,0.8680
0,127,30.3592,0.8056,0.8694
0,128,30.2037,0.8007,0.8705
0,129,30.2712,0.7908,0.8690
0,130,30.5144,0.8161,0.8692
0,131,30.3740,0.8046,0.8691
0,132,30.4876,0.8111,0.8694
0,133,30.0988,0.7844,0.8695
0,134,29.6295,0.8034,0.8719
0,135,29.5529,0.8046,0.8738
0,136,30.1971,0.8111,0.8690
0,137,30.0853,0.7858,0.8697
0,138,29.6144,0.8108,0.8722
0,139,29.5681,0.7864,0.8717
0,140,29.3873,0.8121,0.8740
0,141,29.8311,0.7878,0.8705
0,142,29.7553,0.7716,0.8727
0,143,29.4916,0.8139,0.8726
0,144,28.9360,0.8048,0.8750
0,145,29.4686,0.7931,0.8728
0,146,29.1373,0.7812,0.8737
0,147,29.4055,0.7861,0.8728
0,148,28.6332,0.7744,0.8765
0,149,28.5225,0.7827,0.8764
0,150,28.4491,0.7644,0.8772
0,151,29.0001,0.7703,0.8751
0,152,29.3620,0.7865,0.8731
0,153,28.6857,0.7617,0.8761
0,154,28.6713,0.7775,0.8751
0,155,28.2305,0.7695,0.8765
0,156,28.9736,0.7734,0.8744
0,157,28.3286,0.7622,0.8782
0,158,28.7304,0.7622,0.8760
0,159,28.6683,0.7676,0.8757
0,160,28.5093,0.7753,0.8749
0,161,28.6875,0.7634,0.8742
0,162,28.1693,0.7911,0.8780
0,163,28.4214,0.7651,0.8765
0,164,27.6693,0.7672,0.8791
0,165,27.6963,0.7639,0.8798
0,166,28.1040,0.7661,0.8770
0,167,27.5026,0.7705,0.8804
0,168,27.8948,0.7562,0.8794
0,169,27.4029,0.7676,0.8821
0,170,26.9641,0.7616,0.8824
0,171,27.3238,0.7528,0.8808
0,172,27.3201,0.7501,0.8804
0,173,27.3931,0.7534,0.8800
0,174,26.9856,0.7489,0.8830
0,175,27.1586,0.7482,0.8818
0,176,27.0079,0.7575,0.8827
0,177,26.6418,0.7537,0.8842
0,178,26.9141,0.7662,0.8835
0,179,27.0638,0.7469,0.8816
0,180,27.1495,0.7476,0.8824
0,181,26.9985,0.7665,0.8828
0,182,26.5800,0.7508,0.8843
0,183,27.3059,0.7594,0.8820
0,184,26.9555,0.7564,0.8838
0,185,26.6518,0.7590,0.8834
0,186,27.1596,0.7560,0.8809
0,187,27.0792,0.7705,0.8830
0,188,27.0656,0.7561,0.8817
0,189,26.8829,0.7500,0.8836
0,190,26.8378,0.7593,0.8831
0,191,27.2316,0.7634,0.8822
0,192,26.6855,0.7539,0.8841
0,193,27.2155,0.7634,0.8815
0,194,27.2923,0.7489,0.8819
0,195,26.8725,0.7508,0.8828
0,196,26.9318,0.7427,0.8824
0,197,27.2019,0.7422,0.8822
0,198,27.3219,0.7655,0.8804
0,199,27.2580,0.7411,0.8803
1,0,236.3712,4.3655,0.0851
1,1,164.0078,3.5088,0.3617
