eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.35425594,0.022187613,0.006490898,0.001328546,0.0,0.0
0.0,0.0,0.89872557,0.022393238,0.028215643,0.004008114,0.0,0.0
0.0,0.0,0.4956531,0.04159119,0.020384917,0.0020753155,0.0,0.0
0.0,0.0,2.0955167,0.07077569,0.038863074,0.008909091,0.0,0.0
0.0,0.0,1.2826526,0.015732825,0.030305255,0.006683715,0.0,0.0
0.0,0.0,0.52466524,0.009205164,0.031768918,0.0032695753,0.0,0.0
0.0,0.0,2.2245975,0.08282404,0.04868084,0.01125997,0.0,0.0
0.0,0.0,1.9167249,0.075556844,0.062333897,0.008985562,0.0,0.0
0.0,0.0,1.7899969,0.033116035,0.03426101,0.0067273304,0.0,0.0
0.0,0.0,3.801969,0.03755492,0.06364071,0.015213978,0.0,0.0
0.0,0.0,0.74564654,0.07609771,0.058923263,0.0028639936,0.003975786,0.003975786
0.0,0.0,1.3409848,0.016007962,0.081866145,0.0044779982,0.0,0.0
0.0,0.0,0.6197406,0.06508638,0.06697051,0.001376577,0.0,0.0
0.0,0.0,3.0962942,0.06852953,0.13318019,0.012708359,0.0,0.0
0.0,0.0,2.0092506,0.005706795,0.12196197,0.009585245,0.0,0.0
0.0,0.0,1.3815398,0.010938778,0.06606427,0.0048257215,0.0,0.0
0.0,0.0,1.0999309,0.009873704,0.10918913,0.0060557486,0.0,0.0
0.0,0.0,2.0705476,0.06933247,0.13928255,0.008265278,0.0,0.0
0.0,0.0,3.020263,0.0064102947,0.05681977,0.017123578,0.0,0.0
0.0,0.0,2.7749958,0.0052570784,0.20178564,0.006338527,0.0,0.0
0.0,0.0,0.5803216,0.06450587,0.032779593,0.0020155688,0.0022147223,0.0022147223
0.0,0.0,1.0802928,0.06413489,0.09129787,0.003677888,0.0012695963,0.0012695963
0.0,0.0,0.57779336,0.017133504,0.03055019,0.0006339349,0.0,0.0
0.0,0.0,1.5614972,0.08815524,0.06773327,0.0078057796,0.0,0.0
0.0,0.0,2.0489104,0.055599768,0.078680374,0.008614621,0.0,0.0
0.0,0.0,1.6030837,0.004070858,0.07178653,0.0023284901,0.0,0.0
0.0,0.0,1.0948141,0.07088456,0.09683346,0.0013573803,0.0,0.0
0.0,0.0,1.5742472,0.018519772,0.07903768,0.00398331,0.0,0.0
0.0,0.0,4.0449257,0.0072353305,0.06592847,0.01179351,0.0,0.0
0.0,0.0,3.0486114,0.002984962,0.10762127,0.009480755,0.0,0.0
0.0,0.0,0.56308705,0.016122866,0.03553159,0.0024778985,0.0033862777,0.0033862777
0.0,0.0,1.2357341,0.08409287,0.056715503,0.0043014563,0.0019118057,0.0019118057
0.0,0.0,0.8001615,0.07188663,0.036093947,0.0028743458,0.0034874775,0.0034874775
0.0,0.0,1.1785516,0.062583245,0.046224598,0.003829104,0.0,0.0
0.0,0.0,1.6398661,0.00526213,0.052951645,0.00494696,0.0,0.0
0.0,0.0,1.7112147,0.07881134,0.043720026,0.0064962935,0.0,0.0
0.0,0.0,0.7291797,0.06449802,0.05058424,0.0025109642,0.0,0.0
0.0,0.0,1.7049855,0.05711788,0.049737025,0.004754998,0.0,0.0
0.0,0.0,1.9674714,0.0057368865,0.05372119,0.007915982,0.0,0.0
0.0,0.0,2.9623773,0.004048688,0.08030166,0.010825053,0.0,0.0
0.0,0.0,0.43606427,0.009968295,0.016672658,0.0020240878,0.0029089304,0.0029089304
0.0,0.0,0.94215006,0.07614239,0.038812462,0.0026967488,0.0023350592,0.0023350592
0.0,0.0,0.22492263,0.07658038,0.036553092,0.0005309187,0.0008671073,0.0008671073
0.0,0.0,0.9110454,0.011146748,0.06034544,0.0032745262,0.00469521,0.00469521
0.0,0.0,0.90867853,0.0140359355,0.05519241,0.0053143073,0.0,0.0
0.0,0.0,0.51470596,0.011954496,0.05112888,0.0032575876,0.0,0.0
0.0,0.0,1.9712561,0.103914626,0.07230653,0.008145104,0.0,0.0
0.0,0.0,0.8184345,0.07558662,0.029613355,0.003836922,0.0,0.0
0.0,0.0,1.3495344,0.008592838,0.049840387,0.0067974306,0.0,0.0
0.0,0.0,1.3697491,0.010534824,0.014607614,0.0062611457,0.0,0.0
0.0,0.0,0.8412311,0.08905541,0.021650111,0.001739793,0.0029874737,0.0029874737
0.0,0.0,0.88720185,0.0903639,0.08449892,0.0028416503,0.003771273,0.003771273
0.0,0.0,0.9460477,0.013122307,0.03927255,0.0024478298,0.0029055981,0.0029055981
0.0,0.0,0.9010992,0.07373556,0.07102721,0.0037874728,0.006448788,0.006448788
