training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,253.6676,1.4983,3.3059,-0.0432
0,1,0.002,185.1765,1.2266,3.6723,0.2163
0,2,0.002,160.3648,1.1871,3.4821,0.3251
0,3,0.002,145.3772,1.0151,3.5044,0.3943
0,4,0.002,131.9580,0.8915,2.9063,0.4546
0,5,0.002,120.6396,1.2339,2.5219,0.5024
0,6,0.002,112.5817,1.2353,2.2520,0.5413
0,7,0.002,105.3158,0.9597,2.0799,0.5702
0,8,0.002,99.3050,1.1099,1.9591,0.5939
0,9,0.002,94.6142,1.1457,1.8170,0.6142
0,10,0.002,90.6949,1.2286,1.8267,0.6333
0,11,0.002,85.6706,0.9625,1.7286,0.6504
0,12,0.002,82.3051,1.0078,1.6637,0.6647
0,13,0.002,78.6401,1.3139,1.6461,0.6808
0,14,0.002,75.7051,1.2082,1.5290,0.6920
0,15,0.002,72.2476,1.0604,1.4882,0.7056
0,16,0.002,69.5633,1.0110,1.4849,0.7162
0,17,0.002,67.0026,1.2889,1.3932,0.7263
0,18,0.002,65.6899,1.2838,1.3868,0.7309
0,19,0.002,63.8876,0.9926,1.3638,0.7385
0,20,0.002,61.4627,0.9914,1.3163,0.7463
0,21,0.002,59.8935,1.2398,1.2945,0.7539
0,22,0.002,58.8755,1.1938,1.2539,0.7577
0,23,0.002,58.1131,0.9790,1.2514,0.7599
0,24,0.002,56.3197,0.9805,1.2315,0.7656
0,25,0.002,55.7048,1.1753,1.1939,0.7680
0,26,0.002,54.1896,1.3310,1.1912,0.7746
0,27,0.002,53.3001,1.0879,1.2073,0.7791
0,28,0.002,52.6341,0.9625,1.1343,0.7798
0,29,0.002,51.9769,1.2572,1.1538,0.7829
0,30,0.002,51.1531,1.3601,1.1293,0.7870
0,31,0.002,50.2043,1.1236,1.1063,0.7905
0,32,0.002,50.0679,1.2586,1.1063,0.7908
0,33,0.002,49.4070,1.4512,1.0990,0.7926
0,34,0.002,48.1886,1.4987,1.0819,0.7984
0,35,0.002,47.6611,1.0672,1.0652,0.7986
0,36,0.002,46.7565,0.9486,1.0599,0.8038
0,37,0.002,46.7589,1.1970,1.0538,0.8031
0,38,0.002,45.8220,1.2354,1.0573,0.8060
0,39,0.002,46.1817,0.9597,1.0484,0.8070
0,40,0.002,45.2640,0.9492,1.0224,0.8094
0,41,0.002,44.6337,1.3808,1.0130,0.8122
0,42,0.002,44.1120,1.4176,1.0182,0.8129
0,43,0.002,44.3202,0.3674,1.0156,0.8146
