eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.861576,0.16945,0.5204,0.887275,0.0,0.0
1.0,0.0,65.496056,0.232925,0.867725,0.74325,0.0,0.0
2.0,0.0,57.942303,0.35257497,0.76019996,0.76252496,0.0,0.0
3.0,0.0,63.656326,0.147575,0.96157503,0.75325,0.0,0.0
4.0,0.0,82.016426,0.113525,0.91525,0.69202495,0.0,0.0
5.0,0.0,77.1982,0.102775,0.81275,0.733975,0.0,0.0
6.0,0.0,68.1576,0.1516,1.014625,0.7638,0.0,0.0
7.0,0.0,90.697075,0.145525,0.93705,0.7066,0.0,0.0
8.0,0.0,73.6479,0.042799998,0.779675,0.793775,0.0,0.0
9.0,0.0,65.9493,0.167925,0.98399997,0.782625,0.0,0.0
0.0,1.0,33.588726,0.266425,0.57865,0.853975,0.0333,-0.0333
1.0,1.0,40.2158,0.28750002,0.8178,0.82414997,0.0,0.0
2.0,1.0,42.34335,0.21407501,0.80037504,0.81687504,0.0,0.0
3.0,1.0,47.807777,0.21432501,1.003025,0.806,0.0,0.0
4.0,1.0,58.39065,0.14677499,0.987025,0.76434994,0.0,0.0
5.0,1.0,60.037624,0.106625,0.857225,0.7751,0.0,0.0
6.0,1.0,53.952522,0.17390001,1.07095,0.79774994,0.0,0.0
7.0,1.0,67.61043,0.137575,1.028325,0.7706,0.0,0.0
8.0,1.0,51.434353,0.039725002,0.81949997,0.84669995,0.0,0.0
9.0,1.0,48.060226,0.019275,1.1464751,0.8308749,0.0,0.0
0.0,2.0,34.04895,0.185425,0.58430004,0.851175,0.036125,-0.036125
1.0,2.0,42.45455,0.3668,0.781575,0.81607497,0.0081,-0.0081
2.0,2.0,33.873474,0.25890002,0.6781,0.84827507,0.0,0.0
3.0,2.0,44.140625,0.151575,0.842575,0.81665,0.0,0.0
4.0,2.0,52.52795,0.11125,0.8669,0.78477496,0.0,0.0
5.0,2.0,51.42385,0.13790001,0.705975,0.80815,0.0,0.0
6.0,2.0,45.49735,0.204925,0.89875007,0.825675,0.0,0.0
7.0,2.0,65.21955,0.162625,0.83809996,0.77277505,0.0,0.0
8.0,2.0,47.83765,0.032925002,0.657325,0.8455,0.0,0.0
9.0,2.0,42.530975,0.020149998,0.8768,0.8454,0.0,0.0
0.0,3.0,36.803226,0.337775,0.6073,0.834975,0.052325003,-0.052325003
1.0,3.0,42.004974,0.61025,0.822725,0.81567496,0.008475,-0.008475
2.0,3.0,34.15865,0.45805,0.7085,0.8464,0.0018750001,-0.0018750001
3.0,3.0,27.4688,0.328775,0.79440004,0.88525003,0.0,0.0
4.0,3.0,46.185173,0.20055,0.842725,0.80857503,0.0,0.0
5.0,3.0,49.566498,0.268475,0.728,0.804825,0.0,0.0
6.0,3.0,41.31725,0.31620002,0.90225005,0.840125,0.0,0.0
7.0,3.0,59.332275,0.319,0.822775,0.78865,0.0,0.0
8.0,3.0,44.839676,0.073424995,0.67352504,0.853275,0.0,0.0
