eval_exp,training_exp,Loss_Exp,Time_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.6364415,0.006550382,0.005750202,0.0029919753,0.0,0.0
0.0,0.0,0.5662648,0.011793295,0.025004445,0.0039928127,0.0,0.0
0.0,0.0,0.97589856,0.014273987,0.013913847,0.003751913,0.0,0.0
0.0,0.0,2.095204,0.011245305,0.03726811,0.00905223,0.0,0.0
0.0,0.0,2.0323813,0.012841025,0.026466057,0.008020103,0.0,0.0
0.0,0.0,2.6727576,0.0068536033,0.026656851,0.007842641,0.0,0.0
0.0,0.0,2.033591,0.011696796,0.04179726,0.0080380365,0.0,0.0
0.0,0.0,3.038905,0.022802783,0.058119603,0.011489554,0.0,0.0
0.0,0.0,4.6058927,0.0074340426,0.02928152,0.012741742,0.0,0.0
0.0,0.0,4.3768888,0.0058147986,0.05642014,0.016290082,0.0,0.0
0.0,0.0,0.6927582,0.0712307,0.007464758,0.0023941302,0.0028818406,0.0028818406
0.0,0.0,0.18261994,0.07153037,0.033281583,0.0008902243,0.0,0.0
0.0,0.0,0.5348331,0.013893768,0.024078036,0.0017851918,0.0,0.0
0.0,0.0,1.8363875,0.07553186,0.020976946,0.007992484,0.0,0.0
0.0,0.0,2.4301112,0.0753283,0.033223793,0.010449518,0.0,0.0
0.0,0.0,2.741034,0.011407975,0.049432192,0.00889663,0.0,0.0
0.0,0.0,2.0730603,0.051380493,0.057845514,0.007594228,0.0,0.0
0.0,0.0,2.2107365,0.016634658,0.04711091,0.0073637767,0.0,0.0
0.0,0.0,2.9155524,0.006530073,0.033592187,0.0115483785,0.0,0.0
0.0,0.0,3.2353113,0.0023763152,0.068016455,0.010731832,0.0,0.0
0.0,0.0,1.3412865,0.017584987,0.012856321,0.00578807,0.0041775433,0.0041775433
0.0,0.0,0.9924959,0.066066824,0.022356365,0.004371718,0.004174326,0.004174326
0.0,0.0,0.5520824,0.07680336,0.031171856,0.0024752493,0.0,0.0
0.0,0.0,2.3922052,0.018416483,0.0438358,0.011404716,0.0,0.0
0.0,0.0,2.0047402,0.012561347,0.045662027,0.007783754,0.0,0.0
0.0,0.0,2.7924836,0.081847966,0.049417134,0.010114472,0.0,0.0
0.0,0.0,1.3598031,0.07642956,0.06791262,0.0059713367,0.0,0.0
0.0,0.0,2.4412847,0.068878174,0.06411211,0.009382275,0.0,0.0
0.0,0.0,3.0510073,0.0047970694,0.034450073,0.01400518,0.0,0.0
0.0,0.0,4.051726,0.0031436444,0.056861803,0.020932157,0.0,0.0
