training_exp,epoch,lr,Loss_Epoch,Time_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,255.3412,0.8266,3.1789,-0.0492
0,1,0.002,183.5656,0.5367,3.6375,0.2182
0,2,0.002,158.8772,0.5265,3.4855,0.3210
0,3,0.002,144.5197,0.4049,3.5878,0.3991
0,4,0.002,131.6708,0.4093,2.9281,0.4555
0,5,0.002,121.4461,0.6256,2.6201,0.5002
0,6,0.002,112.0547,0.5849,2.3031,0.5445
0,7,0.002,105.6363,0.4049,2.1365,0.5680
0,8,0.002,100.0053,0.4075,2.0320,0.5905
0,9,0.002,95.1909,0.5356,1.8872,0.6114
0,10,0.002,91.4716,0.5847,1.8460,0.6264
0,11,0.002,86.3900,0.3872,1.7902,0.6498
0,12,0.002,83.0405,0.3764,1.7150,0.6612
0,13,0.002,79.6532,0.5063,1.6483,0.6757
0,14,0.002,76.7881,0.5695,1.5597,0.6869
0,15,0.002,73.8197,0.4395,1.5350,0.7008
0,16,0.002,70.6539,0.4062,1.4838,0.7133
0,17,0.002,67.8355,0.5171,1.4558,0.7255
0,18,0.002,66.4255,0.5472,1.3807,0.7291
0,19,0.002,64.4581,0.3810,1.3727,0.7371
0,20,0.002,63.8966,0.4348,1.3344,0.7396
0,21,0.002,60.9945,0.5500,1.3325,0.7492
0,22,0.002,59.7505,0.5416,1.2704,0.7555
0,23,0.002,59.0120,0.3983,1.2789,0.7568
0,24,0.002,57.4551,0.3963,1.2388,0.7614
0,25,0.002,56.4679,0.5546,1.2297,0.7664
0,26,0.002,55.4693,0.5491,1.2176,0.7689
0,27,0.002,53.9125,0.4458,1.2326,0.7763
0,28,0.002,53.0125,0.4657,1.1792,0.7812
0,29,0.002,52.1911,0.5520,1.1699,0.7824
0,30,0.002,51.7396,0.5545,1.1251,0.7833
0,31,0.002,50.8509,0.4474,1.1218,0.7875
0,32,0.002,50.2772,0.4369,1.1316,0.7895
0,33,0.002,49.2142,0.5216,1.1164,0.7941
0,34,0.002,49.1148,0.5182,1.0949,0.7942
0,35,0.002,48.0283,0.4551,1.1112,0.7978
0,36,0.002,48.4361,0.4267,1.0806,0.7961
0,37,0.002,47.1334,0.5356,1.0734,0.8017
0,38,0.002,46.0543,0.5790,1.0437,0.8063
0,39,0.002,46.7861,0.4267,1.0632,0.8032
0,40,0.002,46.0513,0.3867,1.0708,0.8055
0,41,0.002,45.3272,0.5582,1.0339,0.8093
0,42,0.002,44.7757,0.5583,1.0115,0.8119
0,43,0.002,44.6145,0.3948,1.0318,0.8127
0,44,0.002,43.9814,0.4572,1.0494,0.8149
0,45,0.002,43.4598,0.5428,1.0215,0.8170
0,46,0.002,43.3345,0.5632,1.0282,0.8159
0,47,0.002,42.8364,0.3868,1.0157,0.8193
0,48,0.002,42.5907,0.4649,1.0145,0.8196
0,49,0.002,42.8611,0.5449,1.0009,0.8166
0,50,0.002,41.9285,0.5719,0.9852,0.8231
0,51,0.002,41.7384,0.4358,0.9942,0.8229
0,52,0.002,41.2848,0.3809,0.9909,0.8249
0,53,0.002,40.6145,0.5324,0.9786,0.8280
0,54,0.002,41.1541,0.5872,0.9535,0.8257
0,55,0.002,40.4269,0.4718,0.9686,0.8284
0,56,0.002,39.9045,0.4442,0.9724,0.8311
0,57,0.002,39.6436,0.5420,0.9677,0.8307
0,58,0.002,39.5355,0.5456,0.9668,0.8320
0,59,0.002,39.2943,0.3910,0.9482,0.8322
0,60,0.002,39.1783,0.4305,0.9336,0.8339
0,61,0.002,38.7534,0.5640,0.9650,0.8353
0,62,0.002,38.8216,0.5526,0.9522,0.8347
