training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,257.0036,3.2998,-0.0592
0,1,183.1161,3.6761,0.2240
0,2,158.6403,3.6117,0.3313
0,3,144.4808,3.5421,0.4049
0,4,131.6615,2.9044,0.4623
0,5,122.6928,2.6184,0.4986
0,6,114.1079,2.2957,0.5329
0,7,107.8566,2.1656,0.5555
0,8,102.0048,2.0770,0.5814
0,9,96.6452,1.9368,0.6054
0,10,91.5061,1.8770,0.6283
0,11,88.7025,1.7788,0.6389
0,12,84.2933,1.7400,0.6580
0,13,80.6955,1.6615,0.6716
0,14,77.8272,1.6206,0.6830
0,15,73.9171,1.5693,0.6996
0,16,71.9438,1.5463,0.7076
0,17,68.9280,1.4359,0.7183
0,18,66.7277,1.4290,0.7270
0,19,64.8955,1.3980,0.7347
0,20,63.5697,1.3374,0.7367
0,21,61.0797,1.3333,0.7480
0,22,60.0072,1.2692,0.7526
0,23,57.9651,1.2478,0.7620
0,24,57.9448,1.2322,0.7607
0,25,56.6573,1.2160,0.7638
0,26,55.8301,1.2194,0.7677
0,27,55.0010,1.1921,0.7727
0,28,53.1991,1.1697,0.7777
0,29,53.1430,1.1525,0.7788
0,30,51.8662,1.1424,0.7822
0,31,50.7910,1.1289,0.7869
0,32,49.9959,1.1064,0.7912
0,33,50.0766,1.0981,0.7911
0,34,49.1417,1.0805,0.7954
0,35,48.4860,1.0817,0.7957
0,36,47.3986,1.1058,0.8000
0,37,47.6093,1.0689,0.7987
0,38,46.8331,1.0691,0.8030
0,39,46.8342,1.0460,0.8028
0,40,45.5415,1.0377,0.8071
0,41,45.5183,1.0371,0.8069
0,42,45.1839,1.0029,0.8096
0,43,44.7459,1.0383,0.8094
0,44,44.0463,1.0284,0.8129
0,45,43.8304,0.9700,0.8139
0,46,44.4663,1.0128,0.8121
0,47,42.7842,1.0125,0.8191
0,48,42.9545,0.9649,0.8168
0,49,42.2804,0.9865,0.8189
0,50,41.5805,0.9748,0.8235
0,51,41.4537,0.9850,0.8241
0,52,41.3954,0.9732,0.8236
0,53,41.2294,0.9622,0.8248
0,54,40.0517,0.9647,0.8292
0,55,39.9328,0.9551,0.8311
0,56,39.6695,0.9707,0.8303
0,57,39.9552,0.9361,0.8289
0,58,39.2892,0.9348,0.8337
0,59,40.0651,0.9329,0.8295
0,60,39.2299,0.9422,0.8318
0,61,39.1493,0.9319,0.8335
0,62,38.7020,0.9281,0.8346
0,63,39.3267,0.9423,0.8309
0,64,38.3872,0.9102,0.8355
0,65,37.7759,0.9299,0.8385
0,66,37.5964,0.9101,0.8389
0,67,37.0998,0.9058,0.8414
0,68,36.9993,0.9095,0.8413
0,69,36.8647,0.9068,0.8425
0,70,36.7859,0.8729,0.8429
0,71,37.0526,0.9134,0.8416
0,72,36.3936,0.8893,0.8437
0,73,36.3142,0.8854,0.8442
0,74,35.9243,0.8965,0.8462
0,75,36.4727,0.9015,0.8426
0,76,35.8241,0.8977,0.8461
0,77,35.8729,0.9102,0.8461
0,78,35.0930,0.8686,0.8492
0,79,35.1995,0.8757,0.8503
0,80,35.3624,0.8744,0.8482
0,81,35.5857,0.8741,0.8465
0,82,35.2049,0.8904,0.8492
0,83,35.0250,0.8753,0.8501
0,84,34.7245,0.8688,0.8509
0,85,34.2812,0.8671,0.8529
0,86,34.3577,0.8698,0.8531
0,87,33.9986,0.8651,0.8544
0,88,34.4103,0.8907,0.8515
0,89,34.4718,0.8514,0.8525
0,90,34.1042,0.8447,0.8544
0,91,33.5112,0.8696,0.8561
0,92,33.8064,0.8512,0.8540
0,93,33.6316,0.8302,0.8551
0,94,33.3656,0.8588,0.8567
0,95,33.3650,0.8599,0.8557
0,96,33.4836,0.8225,0.8555
0,97,33.1734,0.8383,0.8574
0,98,33.0199,0.8427,0.8582
0,99,32.6779,0.8442,0.8594
0,100,32.7018,0.8342,0.8593
0,101,32.7377,0.8504,0.8583
0,102,32.7645,0.8333,0.8601
0,103,32.3553,0.8451,0.8606
0,104,31.9994,0.8124,0.8621
0,105,32.4780,0.8363,0.8606
0,106,32.3481,0.8374,0.8623
0,107,31.8166,0.8310,0.8641
0,108,31.8820,0.8177,0.8627
0,109,31.5165,0.8129,0.8642
0,110,31.2926,0.8087,0.8650
0,111,31.7930,0.8236,0.8629
0,112,32.1201,0.8363,0.8619
0,113,31.3287,0.7993,0.8647
0,114,31.7915,0.8116,0.8628
0,115,30.9473,0.8034,0.8672
0,116,31.2996,0.8276,0.8660
0,117,31.1831,0.7950,0.8659
0,118,31.3230,0.7984,0.8651
0,119,30.7013,0.8053,0.8673
0,120,31.3112,0.8183,0.8649
0,121,31.1853,0.8039,0.8656
0,122,30.7691,0.8043,0.8668
0,123,30.6838,0.8026,0.8675
0,124,30.5916,0.7880,0.8678
0,125,30.6994,0.8068,0.8669
0,126,30.7684,0.8147,0.8664
0,127,30.6429,0.7923,0.8685
0,128,30.3828,0.7890,0.8678
0,129,30.5098,0.8029,0.8689
0,130,29.9065,0.8028,0.8702
0,131,29.9792,0.7935,0.8705
0,132,30.5589,0.7895,0.8682
0,133,30.3945,0.7993,0.8690
0,134,29.5833,0.7957,0.8727
0,135,29.6926,0.7770,0.8712
0,136,30.2443,0.8013,0.8681
0,137,30.3547,0.7719,0.8698
0,138,30.2325,0.7701,0.8694
0,139,29.2288,0.7887,0.8733
0,140,29.0729,0.7957,0.8754
0,141,29.5798,0.8038,0.8731
0,142,29.3027,0.7759,0.8731
0,143,29.1503,0.7892,0.8740
0,144,28.6679,0.7685,0.8773
0,145,28.7630,0.7846,0.8755
0,146,28.5161,0.7939,0.8765
0,147,28.9008,0.7620,0.8738
0,148,27.9218,0.7849,0.8792
0,149,28.3314,0.7702,0.8781
0,150,28.7120,0.7761,0.8766
0,151,28.3579,0.7550,0.8772
0,152,28.6047,0.7645,0.8762
0,153,27.9796,0.7749,0.8792
0,154,28.0429,0.7563,0.8794
0,155,27.8589,0.7630,0.8794
0,156,28.3649,0.7670,0.8771
0,157,27.8488,0.7717,0.8788
0,158,28.0785,0.7662,0.8787
0,159,28.3684,0.7475,0.8764
0,160,27.6613,0.7566,0.8801
0,161,28.1223,0.7592,0.8775
0,162,28.6628,0.7630,0.8757
0,163,28.0655,0.7560,0.8782
0,164,27.9238,0.7464,0.8797
0,165,27.9516,0.7635,0.8793
0,166,28.5931,0.7660,0.8762
0,167,27.9032,0.7561,0.8788
0,168,27.7507,0.7493,0.8802
0,169,27.6112,0.7602,0.8815
0,170,27.4251,0.7715,0.8815
0,171,28.0117,0.7354,0.8777
0,172,27.9887,0.7626,0.8783
0,173,27.8440,0.7581,0.8792
0,174,27.8732,0.7442,0.8790
0,175,27.7920,0.7550,0.8790
0,176,27.8461,0.7375,0.8778
0,177,27.3056,0.7575,0.8814
0,178,27.6747,0.7490,0.8798
0,179,27.1512,0.7489,0.8826
0,180,27.8887,0.7546,0.8798
0,181,27.7866,0.7518,0.8800
0,182,27.7320,0.7489,0.8801
0,183,27.4265,0.7488,0.8806
0,184,27.5135,0.7545,0.8817
0,185,27.5176,0.7483,0.8799
0,186,27.7844,0.7534,0.8800
0,187,27.2239,0.7558,0.8818
0,188,27.1765,0.7528,0.8821
0,189,27.3867,0.7682,0.8822
0,190,27.4807,0.7562,0.8806
0,191,27.0498,0.7523,0.8827
0,192,27.4262,0.7522,0.8809
0,193,27.5873,0.7559,0.8799
0,194,27.7391,0.7607,0.8791
0,195,27.1629,0.7508,0.8825
0,196,27.2395,0.7641,0.8808
0,197,27.5907,0.7571,0.8802
0,198,27.5979,0.7596,0.8802
0,199,27.2315,0.7681,0.8820
1,0,57.1420,1.1521,0.7751
1,1,48.9190,1.0109,0.8002
1,2,45.6623,0.9795,0.8128
1,3,44.1340,0.9333,0.8166
1,4,42.1222,0.9378,0.8270
1,5,40.6201,0.8986,0.8318
1,6,39.6565,0.9280,0.8350
1,7,39.1980,0.8783,0.8366
1,8,39.0544,0.8921,0.8383
1,9,38.5775,0.8715,0.8402
1,10,37.3407,0.8598,0.8453
1,11,37.2413,0.8501,0.8454
1,12,36.7944,0.8576,0.8464
1,13,36.3226,0.8677,0.8486
1,14,36.4162,0.8216,0.8484
1,15,35.7427,0.8454,0.8509
1,16,35.0204,0.8347,0.8553
1,17,35.3883,0.8383,0.8518
1,18,34.8835,0.8074,0.8541
1,19,34.6948,0.8332,0.8548
1,20,34.6144,0.8318,0.8546
1,21,34.1762,0.8128,0.8572
1,22,34.0338,0.8287,0.8577
1,23,34.2067,0.8023,0.8563
1,24,33.6519,0.8086,0.8594
1,25,33.1352,0.8134,0.8613
1,26,33.5373,0.8180,0.8610
1,27,33.8110,0.8050,0.8591
1,28,33.8314,0.8120,0.8583
1,29,33.1882,0.8171,0.8600
1,30,33.5698,0.8196,0.8595
1,31,33.2462,0.8129,0.8608
1,32,32.5682,0.8045,0.8629
1,33,32.7153,0.7990,0.8633
1,34,32.3827,0.7983,0.8639
1,35,32.1072,0.8001,0.8660
1,36,32.5410,0.7959,0.8639
1,37,32.2729,0.7954,0.8648
1,38,31.8575,0.8264,0.8665
1,39,31.8578,0.7996,0.8668
1,40,32.1703,0.8097,0.8651
1,41,31.0961,0.7901,0.8692
1,42,31.7762,0.7962,0.8655
1,43,31.5274,0.7867,0.8687
1,44,31.0796,0.7744,0.8697
1,45,31.5699,0.7954,0.8674
1,46,30.6615,0.7649,0.8721
1,47,31.3601,0.7872,0.8689
1,48,31.2452,0.7922,0.8689
1,49,30.7110,0.7848,0.8717
1,50,30.2775,0.7791,0.8732
1,51,30.6786,0.7938,0.8706
1,52,30.1078,0.7739,0.8731
1,53,30.4856,0.8015,0.8725
1,54,30.4915,0.7860,0.8719
1,55,30.2009,0.7884,0.8727
1,56,30.5045,0.7933,0.8706
1,57,30.5733,0.7797,0.8721
1,58,29.9490,0.7863,0.8742
1,59,30.1032,0.7796,0.8730
1,60,29.6529,0.7806,0.8751
1,61,30.0898,0.7779,0.8734
1,62,29.1058,0.7758,0.8777
1,63,29.4809,0.7892,0.8767
1,64,29.2913,0.7907,0.8776
1,65,29.2917,0.7813,0.8768
1,66,29.5146,0.7744,0.8756
1,67,29.6807,0.7763,0.8749
1,68,29.0623,0.7720,0.8772
1,69,29.2133,0.7739,0.8775
1,70,28.8075,0.7645,0.8781
1,71,27.8265,0.7796,0.8827
1,72,28.3979,0.7729,0.8802
1,73,27.9144,0.7719,0.8827
1,74,28.0793,0.7726,0.8815
1,75,28.2295,0.7686,0.8802
1,76,28.0472,0.7585,0.8822
1,77,27.8232,0.7756,0.8832
1,78,28.1271,0.7574,0.8810
1,79,27.8781,0.7733,0.8826
1,80,27.8758,0.7655,0.8831
1,81,28.3451,0.7597,0.8807
1,82,27.8039,0.7617,0.8830
1,83,28.1856,0.7664,0.8807
1,84,27.6325,0.7625,0.8836
1,85,27.5917,0.7653,0.8836
1,86,27.7906,0.7531,0.8830
1,87,27.6516,0.7642,0.8834
1,88,27.3401,0.7616,0.8845
1,89,27.2457,0.7628,0.8850
1,90,27.6601,0.7593,0.8833
1,91,27.3014,0.7497,0.8854
1,92,27.7989,0.7665,0.8822
1,93,27.4066,0.7599,0.8842
1,94,27.4751,0.7602,0.8840
1,95,27.4537,0.7558,0.8834
1,96,27.1169,0.7614,0.8857
1,97,27.6551,0.7585,0.8837
1,98,27.1380,0.7437,0.8860
1,99,27.2565,0.7663,0.8845
1,100,27.8347,0.7521,0.8826
1,101,27.0936,0.7613,0.8857
1,102,27.1369,0.7595,0.8851
1,103,27.1438,0.7540,0.8860
1,104,27.3195,0.7485,0.8845
1,105,27.2207,0.7558,0.8856
1,106,27.4337,0.7605,0.8837
1,107,27.3775,0.7528,0.8849
1,108,27.1129,0.7680,0.8857
1,109,26.9571,0.7582,0.8862
1,110,27.3326,0.7506,0.8856
1,111,27.0046,0.7596,0.8866
1,112,27.5182,0.7611,0.8835
1,113,27.1896,0.7449,0.8851
1,114,27.1663,0.7570,0.8859
1,115,27.1605,0.7565,0.8855
1,116,27.2009,0.7538,0.8859
1,117,27.2496,0.7543,0.8854
1,118,26.9942,0.7538,0.8855
1,119,26.9033,0.7555,0.8865
1,120,27.3244,0.7617,0.8845
1,121,27.3927,0.7547,0.8844
1,122,27.6036,0.7511,0.8838
1,123,26.9138,0.7585,0.8864
1,124,26.6395,0.7528,0.8879
1,125,27.3021,0.7553,0.8845
1,126,27.4205,0.7574,0.8840
1,127,27.1325,0.7599,0.8855
1,128,27.1165,0.7447,0.8855
1,129,27.3161,0.7575,0.8846
1,130,27.2155,0.7581,0.8845
1,131,27.2247,0.7622,0.8853
1,132,26.6971,0.7490,0.8874
1,133,27.5339,0.7570,0.8843
1,134,27.0688,0.7572,0.8855
1,135,27.0479,0.7522,0.8854
1,136,26.9124,0.7519,0.8865
1,137,27.1736,0.7551,0.8854
1,138,27.2172,0.7515,0.8842
1,139,26.9765,0.7583,0.8861
1,140,27.0716,0.7542,0.8856
1,141,27.3237,0.7629,0.8848
1,142,27.0839,0.7600,0.8859
1,143,27.3544,0.7527,0.8846
1,144,27.0854,0.7579,0.8863
1,145,27.4135,0.7651,0.8844
1,146,27.2910,0.7541,0.8846
1,147,27.0932,0.7577,0.8860
1,148,26.9343,0.7580,0.8854
1,149,27.0316,0.7591,0.8858
1,150,26.7853,0.7540,0.8872
1,151,26.8835,0.7604,0.8860
1,152,27.3296,0.7604,0.8840
1,153,27.5009,0.7631,0.8835
1,154,26.8543,0.7574,0.8868
1,155,27.2223,0.7590,0.8852
1,156,27.0164,0.7574,0.8860
1,157,27.1032,0.7642,0.8857
1,158,27.1213,0.7564,0.8856
1,159,27.2922,0.7600,0.8850
1,160,27.4940,0.7578,0.8842
1,161,27.2845,0.7532,0.8851
1,162,26.9428,0.7554,0.8862
1,163,27.1668,0.7542,0.8855
1,164,26.6764,0.7534,0.8873
1,165,27.2301,0.7602,0.8844
1,166,27.1043,0.7581,0.8850
1,167,26.7098,0.7483,0.8866
1,168,26.7599,0.7569,0.8871
1,169,27.3198,0.7548,0.8848
1,170,27.3855,0.7527,0.8853
1,171,26.6836,0.7580,0.8882
1,172,26.9018,0.7572,0.8857
1,173,27.3724,0.7480,0.8846
1,174,26.9845,0.7595,0.8856
1,175,27.0206,0.7531,0.8859
1,176,27.1211,0.7578,0.8856
1,177,27.0715,0.7537,0.8851
1,178,27.1486,0.7598,0.8848
1,179,26.8628,0.7608,0.8863
1,180,27.4318,0.7586,0.8839
1,181,27.0517,0.7552,0.8869
1,182,27.3157,0.7586,0.8860
1,183,27.1637,0.7624,0.8850
1,184,27.8423,0.7569,0.8815
1,185,26.8256,0.7641,0.8867
1,186,26.9979,0.7466,0.8853
1,187,27.1983,0.7603,0.8847
1,188,27.3601,0.7515,0.8848
1,189,27.4301,0.7653,0.8844
1,190,27.1183,0.7510,0.8860
1,191,27.0117,0.7547,0.8862
1,192,27.3698,0.7665,0.8844
1,193,27.1698,0.7571,0.8853
1,194,27.3766,0.7553,0.8841
1,195,27.2944,0.7532,0.8842
1,196,26.9889,0.7620,0.8864
1,197,27.5197,0.7526,0.8832
1,198,27.2651,0.7634,0.8849
1,199,27.0124,0.7547,0.8853
2,0,41.0061,0.9908,0.8211
2,1,37.4392,0.9542,0.8367
2,2,35.3022,0.9131,0.8476
2,3,34.8676,0.9239,0.8477
2,4,34.5751,0.9274,0.8427
2,5,32.9423,0.9134,0.8564
2,6,32.1510,0.9161,0.8586
2,7,31.8667,0.8874,0.8608
2,8,32.1976,0.9052,0.8579
2,9,31.7987,0.8794,0.8560
2,10,31.8979,0.8779,0.8570
2,11,30.5849,0.9227,0.8635
2,12,30.6712,0.9118,0.8638
2,13,29.8123,0.8701,0.8683
2,14,30.0651,0.8594,0.8676
2,15,29.9091,0.8880,0.8644
2,16,29.8291,0.8584,0.8671
2,17,29.2740,0.8866,0.8691
2,18,29.2916,0.8688,0.8702
2,19,29.1989,0.8586,0.8678
2,20,29.5326,0.8724,0.8686
2,21,29.1479,0.8603,0.8677
2,22,29.8257,0.8837,0.8638
2,23,29.5380,0.8532,0.8672
2,24,28.4986,0.8546,0.8724
2,25,27.8978,0.8554,0.8762
2,26,27.9279,0.8782,0.8741
2,27,28.7195,0.8487,0.8733
2,28,28.3636,0.9004,0.8749
2,29,27.6747,0.8710,0.8788
2,30,28.1159,0.8674,0.8759
2,31,27.3357,0.8844,0.8790
2,32,27.9454,0.8565,0.8757
2,33,27.9266,0.8364,0.8740
2,34,27.3334,0.8504,0.8778
2,35,27.5847,0.8780,0.8756
2,36,27.3311,0.8732,0.8776
2,37,27.1976,0.8625,0.8775
2,38,26.3443,0.8449,0.8800
2,39,26.3351,0.8673,0.8838
2,40,26.1046,0.8544,0.8854
2,41,26.0863,0.8331,0.8823
2,42,25.7428,0.8541,0.8819
2,43,25.9455,0.8322,0.8841
2,44,25.2276,0.8309,0.8864
2,45,25.3921,0.8431,0.8870
2,46,25.6602,0.8286,0.8864
2,47,25.5570,0.8398,0.8879
2,48,25.1591,0.8457,0.8872
2,49,25.1977,0.8229,0.8881
2,50,25.1708,0.8253,0.8876
2,51,24.9154,0.8439,0.8883
2,52,25.5802,0.8716,0.8850
2,53,25.1118,0.8296,0.8872
2,54,25.2163,0.8275,0.8877
2,55,25.3734,0.8334,0.8861
2,56,24.8803,0.8380,0.8895
2,57,24.9598,0.8518,0.8889
2,58,24.6406,0.8175,0.8904
2,59,25.0153,0.8354,0.8898
2,60,24.5066,0.8214,0.8916
2,61,24.7861,0.8417,0.8893
2,62,24.8165,0.8190,0.8876
2,63,25.0659,0.8279,0.8873
2,64,24.6348,0.8160,0.8883
2,65,24.7675,0.8345,0.8907
2,66,24.7668,0.8486,0.8896
2,67,24.5502,0.8391,0.8899
2,68,24.5966,0.8105,0.8902
2,69,24.5787,0.8277,0.8897
2,70,24.8054,0.8174,0.8884
2,71,24.3918,0.8294,0.8914
2,72,24.8822,0.8207,0.8901
2,73,24.6893,0.8324,0.8922
2,74,24.6352,0.8332,0.8866
2,75,24.5778,0.8191,0.8889
2,76,24.6042,0.8230,0.8897
2,77,24.3448,0.8218,0.8886
2,78,24.4352,0.8368,0.8917
2,79,24.4495,0.8223,0.8908
2,80,24.6016,0.8368,0.8888
2,81,24.6527,0.8273,0.8897
2,82,24.6470,0.8168,0.8903
2,83,24.4836,0.8200,0.8920
2,84,24.3879,0.8131,0.8923
2,85,24.5932,0.8184,0.8881
2,86,24.7928,0.8343,0.8913
2,87,24.6466,0.8394,0.8883
2,88,24.7747,0.8300,0.8904
2,89,24.5377,0.8076,0.8860
2,90,24.5305,0.8329,0.8880
2,91,24.2841,0.8193,0.8911
2,92,24.4644,0.8240,0.8900
2,93,24.7981,0.8168,0.8888
2,94,24.2312,0.8424,0.8923
2,95,24.1011,0.8116,0.8939
2,96,24.4670,0.8482,0.8894
2,97,24.5941,0.8104,0.8894
2,98,24.7463,0.8248,0.8878
2,99,24.7787,0.8354,0.8887
2,100,24.4943,0.8396,0.8914
3,0,38.0968,0.9755,0.8397
3,1,34.7682,0.9787,0.8521
3,2,32.5189,0.9348,0.8649
3,3,31.2646,0.9718,0.8672
3,4,31.1704,0.9366,0.8685
3,5,30.8246,0.9630,0.8692
3,6,30.2541,0.9551,0.8733
3,7,29.5577,0.9350,0.8751
3,8,28.9908,0.9262,0.8743
3,9,28.2128,0.9203,0.8817
3,10,27.3918,0.9435,0.8824
3,11,27.6203,0.9247,0.8813
3,12,27.3421,0.8803,0.8829
3,13,27.4552,0.8970,0.8842
3,14,26.6856,0.8861,0.8830
3,15,26.8919,0.9529,0.8828
3,16,26.6315,0.8617,0.8874
3,17,26.6476,0.9002,0.8860
3,18,26.7052,0.8844,0.8874
3,19,26.0778,0.9588,0.8891
3,20,26.3629,0.8908,0.8858
3,21,25.9596,0.8510,0.8898
3,22,25.4667,0.9014,0.8882
3,23,25.2694,0.9198,0.8944
