eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.730452,0.5295375,0.88774997,0.0,0.0
1.0,0.0,64.10125,0.8937625,0.7487125,0.0,0.0
2.0,0.0,56.639103,0.77665,0.7687125,0.0,0.0
3.0,0.0,60.221226,0.9871,0.76666254,0.0,0.0
4.0,0.0,80.266205,0.9494375,0.6982625,0.0,0.0
5.0,0.0,75.73738,0.83691245,0.73963755,0.0,0.0
6.0,0.0,67.157555,1.034125,0.76575,0.0,0.0
7.0,0.0,88.36538,0.9537375,0.713825,0.0,0.0
8.0,0.0,72.82103,0.79462504,0.7977875,0.0,0.0
9.0,0.0,62.76574,1.0031375,0.7962125,0.0,0.0
0.0,1.0,33.6924,0.56450003,0.8552375,0.032525,-0.032525
1.0,1.0,25.771727,0.64552504,0.8843875,0.0,0.0
2.0,1.0,38.040413,0.68264997,0.8346375,0.0,0.0
3.0,1.0,42.26774,0.8020625,0.8268874,0.0,0.0
4.0,1.0,55.15754,0.7876,0.771925,0.0,0.0
5.0,1.0,55.90099,0.692625,0.7927375,0.0,0.0
6.0,1.0,49.951637,0.87761253,0.81065,0.0,0.0
7.0,1.0,63.73819,0.8197875,0.7876375,0.0,0.0
8.0,1.0,53.62282,0.6432624,0.838275,0.0,0.0
9.0,1.0,44.70021,0.79857504,0.834825,0.0,0.0
0.0,2.0,36.980686,0.58483744,0.84107494,0.046675004,-0.046675004
1.0,2.0,35.204624,0.7295875,0.84647495,0.037862502,-0.037862502
2.0,2.0,23.85215,0.61742496,0.8922625,0.0,0.0
3.0,2.0,35.15676,0.77911246,0.8549625,0.0,0.0
4.0,2.0,46.55039,0.77268755,0.8032375,0.0,0.0
5.0,2.0,48.527573,0.68926257,0.8175875,0.0,0.0
6.0,2.0,45.92098,0.92153746,0.82263756,0.0,0.0
7.0,2.0,60.7489,0.788775,0.790725,0.0,0.0
8.0,2.0,51.808136,0.6313125,0.8251,0.0,0.0
9.0,2.0,44.4432,0.8029875,0.8358625,0.0,0.0
0.0,3.0,38.67421,0.589425,0.83425,0.0535375,-0.0535375
1.0,3.0,38.501915,0.73794997,0.832925,0.051475,-0.051475
2.0,3.0,31.08625,0.6555,0.86085004,0.0314375,-0.0314375
3.0,3.0,18.091988,0.677375,0.924925,0.0,0.0
4.0,3.0,41.913025,0.7480376,0.8259125,0.0,0.0
5.0,3.0,48.064003,0.69132495,0.81376255,0.0,0.0
6.0,3.0,43.911022,0.92528754,0.8296625,0.0,0.0
7.0,3.0,56.506485,0.7628,0.80313754,0.0,0.0
8.0,3.0,53.14755,0.6260875,0.8211875,0.0,0.0
9.0,3.0,38.334747,0.7538499,0.85564995,0.0,0.0
0.0,4.0,38.995934,0.5913875,0.83406246,0.053687498,-0.053687498
1.0,4.0,39.38026,0.73958755,0.83035004,0.054025,-0.054025
2.0,4.0,31.875813,0.663325,0.8569125,0.035375,-0.035375
3.0,4.0,21.967575,0.7124375,0.9088875,0.0159875,-0.0159875
4.0,4.0,24.794363,0.7016,0.8982125,0.0,0.0
5.0,4.0,44.841988,0.683925,0.8231751,0.0,0.0
6.0,4.0,41.28455,0.924825,0.8391126,0.0,0.0
7.0,4.0,54.07261,0.7478875,0.8097875,0.0,0.0
8.0,4.0,49.504025,0.6180625,0.83083755,0.0,0.0
9.0,4.0,36.822327,0.7510375,0.86278754,0.0,0.0
0.0,5.0,40.415913,0.5923875,0.82865006,0.059125002,-0.059125002
1.0,5.0,40.902252,0.7275,0.8252375,0.0591625,-0.0591625
2.0,5.0,32.561314,0.6532125,0.85478747,0.0374875,-0.0374875
