eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.87006783,0.013145382,0.003115854,0.0,0.0
0.0,0.0,1.1943774,0.028112328,0.0041115545,0.0,0.0
0.0,0.0,1.3311642,0.022991138,0.004431919,0.0,0.0
0.0,0.0,1.5820473,0.05157306,0.006743844,0.0,0.0
0.0,0.0,3.4062386,0.042158414,0.010260106,0.0,0.0
0.0,0.0,4.538752,0.039805807,0.01139931,0.0,0.0
0.0,0.0,3.3767383,0.049036574,0.008793026,0.0,0.0
0.0,0.0,4.1706367,0.056207635,0.011088485,0.0,0.0
0.0,0.0,6.4539475,0.04705272,0.018754374,0.0,0.0
0.0,0.0,5.5694637,0.103208974,0.017451897,0.0,0.0
0.0,0.0,0.9142317,0.012630319,0.0030569332,0.0036598966,0.0036598966
0.0,0.0,0.7085016,0.013536624,0.002931296,0.0,0.0
0.0,0.0,0.5023917,0.015203101,0.002778941,0.0,0.0
0.0,0.0,1.0450768,0.035651162,0.004810133,0.0,0.0
0.0,0.0,1.3390564,0.03112821,0.0063219676,0.0,0.0
0.0,0.0,0.97603583,0.019317724,0.0025670568,0.0,0.0
0.0,0.0,0.9452547,0.024900356,0.004498866,0.0,0.0
0.0,0.0,0.83167,0.04210607,0.0030220044,0.0,0.0
0.0,0.0,2.0684807,0.035913166,0.008207475,0.0,0.0
0.0,0.0,2.7239735,0.08057786,0.008806802,0.0,0.0
0.0,0.0,1.7812893,0.014662694,0.0072934953,0.006228965,0.006228965
0.0,0.0,0.95146614,0.032133494,0.0039350884,0.0036011932,0.0036011932
0.0,0.0,0.24703336,0.018283805,0.0011401634,0.0,0.0
0.0,0.0,0.6752659,0.029347952,0.0036633285,0.0,0.0
0.0,0.0,2.2507076,0.03249437,0.008341418,0.0,0.0
0.0,0.0,0.8940676,0.027236404,0.004308709,0.0,0.0
0.0,0.0,1.0364794,0.037271187,0.005669661,0.0,0.0
0.0,0.0,2.5664494,0.03652247,0.013014307,0.0,0.0
0.0,0.0,1.7446556,0.026685508,0.010516401,0.0,0.0
0.0,0.0,2.1887114,0.057521578,0.011572056,0.0,0.0
0.0,0.0,1.4854397,0.010529813,0.0065798517,0.005442369,0.005442369
0.0,0.0,1.0003182,0.027250312,0.004016522,0.0035357992,0.0035357992
0.0,0.0,0.8557987,0.012576801,0.0038128172,0.0038029593,0.0038029593
0.0,0.0,0.2032504,0.018993596,0.0010172707,0.0,0.0
0.0,0.0,0.91239,0.022410922,0.0040407158,0.0,0.0
0.0,0.0,0.7924965,0.021857265,0.0044395705,0.0,0.0
0.0,0.0,1.0025213,0.032470163,0.0029813773,0.0,0.0
0.0,0.0,1.7062789,0.01809054,0.008471125,0.0,0.0
0.0,0.0,2.0758927,0.02168108,0.007149466,0.0,0.0
0.0,0.0,3.204311,0.027702065,0.014274801,0.0,0.0
0.0,0.0,1.419113,0.009824825,0.005830893,0.005788661,0.005788661
0.0,0.0,0.88497984,0.028283503,0.004997121,0.0055960785,0.0055960785
0.0,0.0,0.78712976,0.013845913,0.0028363776,0.0029041993,0.0029041993
0.0,0.0,0.74175745,0.01648621,0.0025273466,0.0026288957,0.0026288957
0.0,0.0,0.3308596,0.020435667,0.0016844899,0.0,0.0
0.0,0.0,0.9170614,0.03214403,0.0044751978,0.0,0.0
0.0,0.0,1.4845201,0.044143673,0.004795292,0.0,0.0
0.0,0.0,1.9106869,0.021513516,0.008463362,0.0,0.0
0.0,0.0,2.656306,0.02080977,0.009092854,0.0,0.0
0.0,0.0,3.9114368,0.035063136,0.019740734,0.0,0.0
0.0,0.0,1.3984417,0.013275704,0.0057748146,0.006755819,0.006755819
0.0,0.0,0.7021422,0.027198743,0.0032120561,0.0043338602,0.0043338602
0.0,0.0,0.41073936,0.019468889,0.0019830123,0.0018179659,0.0018179659
0.0,0.0,0.96106374,0.020454025,0.003701258,0.004137764,0.004137764
0.0,0.0,1.2320225,0.019334406,0.0050768964,0.0050154137,0.0050154137
0.0,0.0,0.59574485,0.031320874,0.00194214,0.0,0.0
0.0,0.0,1.2486837,0.052677363,0.0047439253,0.0,0.0
0.0,0.0,1.7412837,0.030221969,0.0071219746,0.0,0.0
0.0,0.0,1.9150159,0.024353953,0.007698545,0.0,0.0
0.0,0.0,3.6500084,0.038968038,0.02004052,0.0,0.0
0.0,0.0,1.572783,0.015121825,0.00663512,0.007236011,0.007236011
0.0,0.0,0.9098056,0.02472839,0.0036815223,0.0047230152,0.0047230152
0.0,0.0,0.42673975,0.019113394,0.0015031245,0.0018110342,0.0018110342
0.0,0.0,1.0410974,0.019479277,0.004055839,0.004565564,0.004565564
0.0,0.0,1.1106781,0.01891238,0.0042617447,0.0051727653,0.0051727653
0.0,0.0,1.0832509,0.030159222,0.004262264,0.0036350507,0.0036350507
0.0,0.0,0.3726844,0.051140342,0.0014756359,0.0,0.0
0.0,0.0,2.0501528,0.029023994,0.00880368,0.0,0.0
0.0,0.0,1.6632133,0.016490897,0.004919217,0.0,0.0
0.0,0.0,2.4710186,0.044041887,0.0113534145,0.0,0.0
0.0,0.0,1.6788199,0.016610954,0.0066198157,0.007727133,0.007727133
0.0,0.0,1.3909364,0.033587854,0.0055093034,0.0070005357,0.0070005357
0.0,0.0,0.37796852,0.021336408,0.001566843,0.0016829567,0.0016829567
0.0,0.0,0.84389126,0.026955929,0.0035224233,0.004241591,0.004241591
0.0,0.0,1.159125,0.026696041,0.0038379515,0.004809821,0.004809821
0.0,0.0,1.0837849,0.03386558,0.0039905384,0.003486559,0.003486559
0.0,0.0,0.85136485,0.050781526,0.0029133265,0.0036697881,0.0036697881
0.0,0.0,0.56457716,0.035196517,0.0025708629,0.0,0.0
0.0,0.0,1.3291073,0.019828824,0.00804887,0.0,0.0
0.0,0.0,1.9242685,0.048311725,0.009780581,0.0,0.0
0.0,0.0,1.4631257,0.02006187,0.005719477,0.00629145,0.00629145
0.0,0.0,1.3536078,0.036440905,0.0055657355,0.0067036254,0.0067036254
0.0,0.0,0.5491221,0.022801619,0.002248327,0.0021815991,0.0021815991
0.0,0.0,0.7975194,0.027840832,0.003763638,0.0044782637,0.0044782637
0.0,0.0,1.3885345,0.028797658,0.0046561137,0.005663687,0.005663687
0.0,0.0,1.2838154,0.03613001,0.0050096107,0.0046160044,0.0046160044
0.0,0.0,0.6752738,0.055161577,0.001979104,0.002166218,0.002166218
0.0,0.0,0.68279105,0.040224627,0.0037215624,0.0023409065,0.0023409065
0.0,0.0,0.60897297,0.021613482,0.0035344518,0.0,0.0
0.0,0.0,1.7441443,0.06424731,0.008547575,0.0,0.0
0.0,0.0,1.3904384,0.017904192,0.0057266466,0.006804399,0.006804399
0.0,0.0,1.5304027,0.031992797,0.006270944,0.0073977932,0.0073977932
