training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,331.6942,1.1146,-0.3127
0,1,0.002,248.2523,2.4185,0.0014
0,2,0.002,207.8243,4.0604,0.0872
0,3,0.002,190.5037,3.8799,0.1790
0,4,0.002,175.3639,3.4092,0.2426
0,5,0.002,164.2742,3.7131,0.2811
0,6,0.002,156.6643,3.7725,0.3212
0,7,0.002,150.2574,3.4777,0.3530
0,8,0.002,145.2294,3.4111,0.3848
0,9,0.002,140.9983,3.2660,0.4069
0,10,0.002,135.9763,3.0988,0.4341
0,11,0.002,132.2957,3.0400,0.4502
0,12,0.002,129.6054,2.8475,0.4639
0,13,0.002,127.0356,2.6657,0.4752
0,14,0.002,123.3784,2.5594,0.4884
0,15,0.002,120.1440,2.3741,0.5037
0,16,0.002,117.2482,2.3025,0.5141
0,17,0.002,114.1865,2.2236,0.5309
0,18,0.002,112.7840,2.0861,0.5321
0,19,0.002,109.4681,2.0221,0.5486
0,20,0.002,107.4889,1.9952,0.5556
0,21,0.002,104.7704,1.9602,0.5634
0,22,0.002,101.9115,1.8272,0.5788
0,23,0.002,100.7059,1.8261,0.5820
0,24,0.002,99.5358,1.7695,0.5879
0,25,0.002,98.0928,1.7564,0.5927
0,26,0.002,96.3213,1.7478,0.6031
0,27,0.002,94.2223,1.7347,0.6115
0,28,0.002,92.7079,1.6851,0.6188
0,29,0.002,90.2116,1.6309,0.6266
0,30,0.002,89.5334,1.6456,0.6299
0,31,0.002,87.0885,1.6343,0.6424
0,32,0.002,86.2793,1.6046,0.6444
0,33,0.002,86.5520,1.5965,0.6424
0,34,0.002,83.9739,1.5787,0.6544
0,35,0.002,83.2640,1.5964,0.6569
0,36,0.002,83.2852,1.5573,0.6583
0,37,0.002,82.0936,1.5183,0.6630
0,38,0.002,79.4883,1.5398,0.6733
0,39,0.002,79.4639,1.5141,0.6732
0,40,0.002,78.0113,1.4854,0.6776
0,41,0.002,77.4378,1.4479,0.6832
0,42,0.002,76.4881,1.4707,0.6836
0,43,0.002,75.7449,1.4777,0.6873
0,44,0.002,74.8992,1.5167,0.6899
0,45,0.002,73.6008,1.4478,0.6953
0,46,0.002,72.0160,1.4540,0.7037
0,47,0.002,72.7375,1.4158,0.6967
0,48,0.002,71.1571,1.4343,0.7039
0,49,0.002,71.1657,1.4320,0.7065
0,50,0.002,70.8790,1.4069,0.7053
0,51,0.002,68.9800,1.3617,0.7142
0,52,0.002,69.9250,1.3861,0.7099
0,53,0.002,68.7749,1.3783,0.7150
