training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,253.0622,3.1616,-0.0422
0,1,181.5324,3.7989,0.2213
0,2,157.8305,3.5771,0.3177
0,3,142.5313,3.4244,0.3963
0,4,130.3981,2.8508,0.4585
0,5,120.1454,2.5554,0.5060
0,6,112.4255,2.3021,0.5389
0,7,105.8865,2.0696,0.5644
0,8,100.5963,2.0044,0.5900
0,9,95.4448,1.9206,0.6095
0,10,90.5746,1.8408,0.6276
0,11,86.3635,1.7606,0.6486
0,12,82.8321,1.6544,0.6614
0,13,78.5733,1.6183,0.6792
0,14,75.5951,1.5557,0.6915
0,15,73.0295,1.5076,0.7022
0,16,71.0105,1.4891,0.7096
0,17,67.9423,1.4598,0.7229
0,18,65.6965,1.3597,0.7316
0,19,63.3959,1.3169,0.7411
0,20,61.7307,1.2994,0.7473
0,21,61.3981,1.2856,0.7465
0,22,59.4029,1.3049,0.7554
0,23,58.6746,1.2386,0.7570
0,24,57.5433,1.2107,0.7605
0,25,55.4800,1.2058,0.7701
0,26,54.7047,1.1886,0.7735
0,27,54.0903,1.1506,0.7740
0,28,52.9478,1.1336,0.7795
0,29,51.9197,1.1392,0.7830
0,30,51.2933,1.1249,0.7851
0,31,50.4730,1.0824,0.7883
0,32,49.9596,1.0805,0.7901
0,33,49.5392,1.0898,0.7921
0,34,48.0635,1.0609,0.7977
0,35,47.6422,1.0678,0.8002
0,36,47.4138,1.0461,0.7989
0,37,46.9690,1.0567,0.8030
0,38,46.3492,1.0461,0.8038
0,39,45.7509,1.0204,0.8065
0,40,45.1953,1.0184,0.8094
0,41,45.1361,1.0403,0.8088
0,42,43.9678,1.0056,0.8141
0,43,44.0279,1.0179,0.8128
0,44,44.4618,0.9727,0.8109
0,45,43.4658,1.0111,0.8155
0,46,42.6224,1.0292,0.8188
0,47,42.1880,0.9909,0.8200
0,48,41.8522,0.9606,0.8221
0,49,42.0781,0.9745,0.8206
0,50,41.5343,0.9861,0.8243
0,51,40.8378,0.9750,0.8257
0,52,40.4963,0.9848,0.8282
0,53,40.4372,0.9468,0.8276
0,54,39.9636,0.9199,0.8294
0,55,39.7604,0.9494,0.8309
0,56,39.5352,0.9410,0.8322
0,57,38.7550,0.9369,0.8357
0,58,39.4923,0.9263,0.8318
0,59,38.8640,0.9300,0.8340
0,60,39.4120,0.9475,0.8328
0,61,39.0782,0.9261,0.8330
0,62,38.2400,0.9279,0.8368
0,63,38.1879,0.8987,0.8369
0,64,37.4930,0.9440,0.8393
0,65,37.8024,0.9030,0.8383
0,66,37.5206,0.9031,0.8400
0,67,37.6586,0.9000,0.8382
0,68,37.4327,0.8881,0.8396
0,69,36.9309,0.8990,0.8416
0,70,36.7444,0.8985,0.8418
0,71,36.1759,0.8817,0.8442
0,72,35.5848,0.8789,0.8471
0,73,35.9556,0.8678,0.8452
0,74,35.8227,0.8893,0.8470
0,75,35.6898,0.8881,0.8476
0,76,34.8522,0.8584,0.8506
0,77,35.4614,0.8721,0.8479
0,78,34.8426,0.8702,0.8503
0,79,35.3502,0.8609,0.8471
0,80,34.8753,0.8531,0.8507
0,81,34.5219,0.8451,0.8516
0,82,34.9925,0.8625,0.8489
0,83,34.5615,0.8910,0.8506
0,84,34.1424,0.8439,0.8526
0,85,34.7594,0.8675,0.8509
0,86,34.2851,0.8559,0.8522
0,87,34.8458,0.8442,0.8488
0,88,34.0100,0.8555,0.8537
0,89,33.2870,0.8497,0.8564
0,90,33.3002,0.8248,0.8575
0,91,33.4918,0.8251,0.8562
0,92,33.4353,0.8426,0.8557
0,93,33.3818,0.8354,0.8562
0,94,33.1787,0.8368,0.8575
0,95,33.0397,0.8202,0.8576
0,96,32.7546,0.8394,0.8602
0,97,32.6018,0.8204,0.8584
0,98,32.4244,0.8241,0.8601
0,99,32.8805,0.8047,0.8574
0,100,32.9767,0.8189,0.8563
0,101,32.7656,0.8433,0.8600
0,102,31.6859,0.8293,0.8629
0,103,31.9430,0.8265,0.8621
0,104,32.1100,0.8117,0.8611
0,105,31.5245,0.8131,0.8634
0,106,32.1133,0.7950,0.8616
0,107,31.5254,0.8279,0.8646
0,108,31.5536,0.8147,0.8631
0,109,31.6668,0.8105,0.8627
0,110,31.8419,0.8086,0.8630
0,111,31.4067,0.8005,0.8649
0,112,31.0681,0.8147,0.8659
0,113,30.7887,0.7950,0.8663
0,114,30.9482,0.8283,0.8656
0,115,30.2573,0.7977,0.8683
0,116,30.9327,0.8059,0.8673
0,117,30.8416,0.7815,0.8665
0,118,30.6232,0.8065,0.8681
0,119,30.6268,0.7923,0.8679
0,120,30.5657,0.7753,0.8666
0,121,30.8461,0.7939,0.8660
0,122,30.2713,0.7941,0.8690
0,123,30.4694,0.7927,0.8669
0,124,30.4703,0.7945,0.8685
0,125,30.7735,0.8037,0.8664
0,126,30.0795,0.8017,0.8691
0,127,29.8825,0.7688,0.8705
0,128,29.7808,0.7658,0.8706
0,129,29.8800,0.7638,0.8709
0,130,30.1779,0.7626,0.8692
0,131,30.0936,0.7908,0.8707
0,132,29.5888,0.7765,0.8719
0,133,29.8581,0.7967,0.8713
0,134,30.0235,0.7874,0.8695
0,135,29.5432,0.7859,0.8728
0,136,29.2975,0.7492,0.8732
0,137,28.9620,0.7783,0.8747
0,138,29.4557,0.7700,0.8716
0,139,29.3768,0.7867,0.8738
0,140,29.0535,0.7749,0.8728
0,141,29.3362,0.7645,0.8735
0,142,29.3702,0.7817,0.8711
0,143,29.2528,0.7568,0.8724
0,144,28.6553,0.7620,0.8746
0,145,28.4487,0.7721,0.8761
0,146,28.2725,0.7570,0.8772
0,147,28.7170,0.7593,0.8756
0,148,28.3181,0.7814,0.8763
0,149,28.7099,0.7627,0.8758
0,150,28.7211,0.7634,0.8755
0,151,28.6957,0.7653,0.8753
0,152,28.5458,0.7602,0.8755
0,153,28.4254,0.7508,0.8763
0,154,28.3861,0.7510,0.8763
0,155,28.2233,0.7691,0.8763
0,156,28.6843,0.7686,0.8748
0,157,28.4143,0.7689,0.8768
0,158,28.6199,0.7520,0.8762
0,159,28.2618,0.7661,0.8772
0,160,28.0354,0.7516,0.8779
0,161,27.9643,0.7405,0.8790
0,162,28.1419,0.7548,0.8777
0,163,27.4981,0.7603,0.8809
0,164,28.1866,0.7303,0.8778
0,165,28.0788,0.7488,0.8785
0,166,28.2341,0.7422,0.8763
0,167,27.8532,0.7643,0.8789
0,168,27.5437,0.7519,0.8797
0,169,27.9571,0.7407,0.8774
0,170,27.6570,0.7579,0.8800
0,171,27.7224,0.7577,0.8800
0,172,26.9898,0.7320,0.8833
0,173,27.0764,0.7438,0.8818
0,174,27.8012,0.7540,0.8783
0,175,27.3517,0.7616,0.8823
0,176,28.1348,0.7687,0.8787
0,177,27.5716,0.7327,0.8799
0,178,27.8417,0.7338,0.8784
0,179,27.4046,0.7408,0.8813
0,180,27.1505,0.7320,0.8809
0,181,26.8412,0.7254,0.8840
0,182,27.5660,0.7246,0.8796
0,183,27.1222,0.7377,0.8814
0,184,26.9698,0.7161,0.8827
0,185,26.6474,0.7428,0.8838
0,186,26.9778,0.7469,0.8828
0,187,26.5681,0.7265,0.8847
0,188,26.6825,0.7459,0.8832
0,189,27.2601,0.7089,0.8800
0,190,27.3014,0.7375,0.8805
0,191,26.5180,0.7313,0.8844
0,192,26.9823,0.7167,0.8816
0,193,26.8849,0.7381,0.8825
