eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,34.018173,0.7034625,0.85235006,0.0,0.0
1.0,0.0,62.52048,1.0672625,0.75048745,0.0,0.0
2.0,0.0,54.816128,0.9295,0.7710125,0.0,0.0
3.0,0.0,55.05011,1.2752626,0.78405,0.0,0.0
4.0,0.0,76.736275,1.1732,0.7067375,0.0,0.0
5.0,0.0,73.95195,1.0152625,0.743075,0.0,0.0
6.0,0.0,64.21854,1.293,0.77545,0.0,0.0
7.0,0.0,84.58652,1.2731376,0.719025,0.0,0.0
8.0,0.0,67.91441,0.98413754,0.8107625,0.0,0.0
9.0,0.0,60.574936,1.3555875,0.7982625,0.0,0.0
0.0,1.0,44.614677,0.8076376,0.8164,0.0359375,-0.0359375
1.0,1.0,32.657585,0.9795625,0.8539375,0.0,0.0
2.0,1.0,42.95374,0.9727875,0.813075,0.0,0.0
3.0,1.0,45.21041,1.1579,0.81514996,0.0,0.0
4.0,1.0,57.019085,1.0852125,0.76790005,0.0,0.0
5.0,1.0,61.514534,1.0411375,0.77255,0.0,0.0
6.0,1.0,54.8294,1.3899875,0.79324996,0.0,0.0
7.0,1.0,68.086174,1.2005,0.76827496,0.0,0.0
8.0,1.0,57.023075,0.91142505,0.82093745,0.0,0.0
9.0,1.0,50.160213,1.2809249,0.80945003,0.0,0.0
0.0,2.0,50.46739,0.83125,0.7925375,0.059812497,-0.059812497
1.0,2.0,46.762436,1.0607876,0.80525,0.048687503,-0.048687503
2.0,2.0,29.200226,0.90270007,0.86835,0.0,0.0
3.0,2.0,41.373276,1.1098,0.83165,0.0,0.0
4.0,2.0,55.018013,1.094925,0.773625,0.0,0.0
5.0,2.0,54.336086,0.9854875,0.7973375,0.0,0.0
6.0,2.0,52.20384,1.3664875,0.7991875,0.0,0.0
7.0,2.0,67.93654,1.1239125,0.764125,0.0,0.0
8.0,2.0,57.579792,0.8669375,0.8030376,0.0,0.0
9.0,2.0,61.184727,1.1601374,0.76405,0.0,0.0
0.0,3.0,55.28705,0.8407,0.771875,0.08045,-0.08045
1.0,3.0,54.31501,1.079425,0.7762374,0.0776875,-0.0776875
2.0,3.0,41.692226,0.93765,0.8142,0.0541375,-0.0541375
3.0,3.0,23.73795,0.97885,0.90068746,0.0,0.0
4.0,3.0,49.251537,1.0178,0.79763746,0.0,0.0
5.0,3.0,56.43101,0.9521125,0.782825,0.0,0.0
6.0,3.0,46.968964,1.301075,0.819325,0.0,0.0
7.0,3.0,61.75565,1.0388,0.784675,0.0,0.0
8.0,3.0,55.171585,0.826675,0.811375,0.0,0.0
9.0,3.0,48.06631,1.0839626,0.81403756,0.0,0.0
0.0,4.0,57.3214,0.88118756,0.76465,0.0876875,-0.0876875
1.0,4.0,59.265533,1.1163249,0.75830007,0.0956125,-0.0956125
2.0,4.0,43.083862,0.980925,0.80648756,0.0618625,-0.0618625
3.0,4.0,31.859451,1.0659875,0.8677625,0.0329125,-0.0329125
4.0,4.0,31.421764,0.9994,0.8674,0.0,0.0
5.0,4.0,52.152096,0.97717506,0.7947375,0.0,0.0
