eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,0.504131,0.0138357375,0.0020536468,0.0,0.0
0.0,0.0,0.6876814,0.036077634,0.0017395768,0.0,0.0
0.0,0.0,1.0121994,0.034023006,0.0035939026,0.0,0.0
0.0,0.0,1.6800113,0.09159229,0.0068871337,0.0,0.0
0.0,0.0,2.5571475,0.061591465,0.009226711,0.0,0.0
0.0,0.0,3.2870986,0.039218087,0.0083771655,0.0,0.0
0.0,0.0,2.3230643,0.051458426,0.006290862,0.0,0.0
0.0,0.0,3.0558112,0.06529175,0.00767525,0.0,0.0
0.0,0.0,4.5775595,0.053731795,0.011121589,0.0,0.0
0.0,0.0,5.150716,0.09976928,0.016462294,0.0,0.0
0.0,0.0,0.847083,0.022238195,0.0037175284,0.004102114,0.004102114
0.0,0.0,0.7029816,0.024480963,0.0030890773,0.0,0.0
0.0,0.0,0.94975436,0.03032765,0.003161794,0.0,0.0
0.0,0.0,2.1471012,0.034541104,0.008362414,0.0,0.0
0.0,0.0,1.1873622,0.02074805,0.0056462297,0.0,0.0
0.0,0.0,1.8507332,0.029841496,0.0060776193,0.0,0.0
0.0,0.0,2.3279219,0.041264154,0.0073724207,0.0,0.0
0.0,0.0,1.9262719,0.0346761,0.006232927,0.0,0.0
0.0,0.0,2.7342525,0.029184233,0.008286439,0.0,0.0
0.0,0.0,3.0858173,0.058685258,0.014760253,0.0,0.0
0.0,0.0,4.044364,0.034176204,0.01699307,0.016161948,0.016161948
0.0,0.0,2.131988,0.05396819,0.007943401,0.008705809,0.008705809
0.0,0.0,0.54226524,0.038764447,0.0030195287,0.0,0.0
0.0,0.0,3.5950804,0.074681416,0.015063527,0.0,0.0
0.0,0.0,3.9175625,0.0494729,0.015866613,0.0,0.0
0.0,0.0,2.0884342,0.05647831,0.007843935,0.0,0.0
0.0,0.0,2.7036266,0.0890774,0.011984294,0.0,0.0
0.0,0.0,2.8976855,0.07717056,0.013331897,0.0,0.0
0.0,0.0,3.2266674,0.04022007,0.012115693,0.0,0.0
0.0,0.0,4.34218,0.09877406,0.02232802,0.0,0.0
0.0,0.0,3.3726661,0.028238269,0.015436296,0.014729902,0.014729902
0.0,0.0,2.9464138,0.043490626,0.013818008,0.014991951,0.014991951
