training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,331.8115,1.1252,-0.3032
0,1,0.002,248.8079,2.5990,0.0125
0,2,0.002,206.9982,4.2645,0.0990
0,3,0.002,188.5094,3.9850,0.1908
0,4,0.002,173.9669,3.5226,0.2456
0,5,0.002,162.9800,3.8006,0.2871
0,6,0.002,155.5442,3.7821,0.3224
0,7,0.002,149.9736,3.4839,0.3526
0,8,0.002,144.4307,3.4407,0.3822
0,9,0.002,140.2486,3.2441,0.4077
0,10,0.002,136.2429,3.0161,0.4300
0,11,0.002,133.1212,2.9751,0.4463
0,12,0.002,129.2990,2.8180,0.4631
0,13,0.002,126.5231,2.6663,0.4753
0,14,0.002,123.5433,2.5024,0.4886
0,15,0.002,120.7347,2.3894,0.5017
0,16,0.002,116.7866,2.3157,0.5155
0,17,0.002,114.4017,2.1689,0.5256
0,18,0.002,112.5197,2.0712,0.5322
0,19,0.002,109.3036,2.0042,0.5494
0,20,0.002,109.1119,1.9702,0.5486
0,21,0.002,104.7765,1.8626,0.5652
0,22,0.002,103.6503,1.8594,0.5715
0,23,0.002,101.8180,1.8254,0.5793
0,24,0.002,100.1407,1.7528,0.5863
0,25,0.002,98.9880,1.7829,0.5902
0,26,0.002,95.9242,1.7233,0.6060
0,27,0.002,94.1931,1.6973,0.6126
0,28,0.002,93.3187,1.6877,0.6141
0,29,0.002,91.8516,1.6477,0.6198
0,30,0.002,90.2888,1.6508,0.6283
0,31,0.002,87.9814,1.6060,0.6381
0,32,0.002,87.2914,1.6149,0.6407
0,33,0.002,85.7923,1.6308,0.6461
0,34,0.002,84.0723,1.5899,0.6544
0,35,0.002,83.0634,1.5735,0.6562
0,36,0.002,82.9389,1.5522,0.6577
0,37,0.002,81.1656,1.5605,0.6654
0,38,0.002,79.5745,1.5044,0.6745
0,39,0.002,78.6253,1.5271,0.6761
0,40,0.002,79.1328,1.4571,0.6698
0,41,0.002,78.2798,1.4789,0.6781
0,42,0.002,77.0954,1.4906,0.6831
0,43,0.002,76.7414,1.4935,0.6837
0,44,0.002,75.8165,1.4793,0.6875
0,45,0.002,74.0256,1.4868,0.6934
0,46,0.002,72.5641,1.4867,0.7002
0,47,0.002,72.5335,1.4315,0.7005
0,48,0.002,72.2839,1.3993,0.7011
0,49,0.002,71.0450,1.4463,0.7062
0,50,0.002,70.4265,1.4453,0.7067
0,51,0.002,69.7678,1.4057,0.7069
0,52,0.002,68.9051,1.3678,0.7137
0,53,0.002,69.2376,1.4191,0.7108
0,54,0.002,68.6995,1.3553,0.7141
0,55,0.002,67.2578,1.3944,0.7213
0,56,0.002,68.1631,1.3651,0.7166
0,57,0.002,67.1328,1.3691,0.7206
0,58,0.002,66.5281,1.3520,0.7214
0,59,0.002,65.9106,1.3716,0.7248
0,60,0.002,66.0167,1.3740,0.7227
0,61,0.002,64.9367,1.3374,0.7277
0,62,0.002,64.8477,1.3407,0.7297
0,63,0.002,65.1127,1.3251,0.7279
0,64,0.002,64.3004,1.3475,0.7308
0,65,0.002,63.1531,1.3412,0.7353
0,66,0.002,63.1974,1.3003,0.7343
0,67,0.002,62.6123,1.3099,0.7387
0,68,0.002,62.7692,1.3027,0.7346
0,69,0.002,61.6344,1.3217,0.7401
0,70,0.002,61.3476,1.2773,0.7433
0,71,0.002,61.0350,1.3058,0.7438
0,72,0.002,60.7811,1.2898,0.7439
0,73,0.002,61.6546,1.3097,0.7404
0,74,0.002,60.3996,1.3294,0.7479
0,75,0.002,60.6597,1.2863,0.7470
0,76,0.002,59.6146,1.2501,0.7481
0,77,0.002,58.9710,1.2562,0.7520
0,78,0.002,60.1660,1.2785,0.7483
0,79,0.002,59.2157,1.2724,0.7495
0,80,0.002,59.5340,1.2509,0.7494
0,81,0.002,58.4285,1.3020,0.7518
0,82,0.002,58.8920,1.2653,0.7518
0,83,0.002,57.8535,1.2204,0.7554
0,84,0.002,57.4791,1.2153,0.7564
0,85,0.002,58.3465,1.2544,0.7534
0,86,0.002,57.9654,1.2377,0.7560
0,87,0.002,57.7317,1.2452,0.7553
0,88,0.002,56.1880,1.2256,0.7614
0,89,0.002,57.0723,1.1980,0.7614
0,90,0.002,56.6561,1.1930,0.7626
0,91,0.002,56.4784,1.2044,0.7615
0,92,0.002,55.9139,1.2440,0.7637
0,93,0.002,57.1079,1.2452,0.7578
0,94,0.002,55.6791,1.2235,0.7628
0,95,0.002,55.0968,1.1803,0.7662
0,96,0.002,54.8469,1.1946,0.7678
0,97,0.002,55.6000,1.1826,0.7633
0,98,0.002,55.4141,1.2131,0.7662
0,99,0.002,54.8472,1.1990,0.7674
0,100,0.002,54.7471,1.2060,0.7681
0,101,0.002,54.1788,1.2098,0.7689
0,102,0.002,54.0132,1.2182,0.7698
0,103,0.002,53.7111,1.1954,0.7723
0,104,0.002,54.1907,1.1914,0.7707
0,105,0.002,54.0559,1.1858,0.7715
0,106,0.002,53.0759,1.1947,0.7754
0,107,0.002,53.9011,1.1990,0.7722
0,108,0.002,53.0863,1.1889,0.7753
0,109,0.002,52.7593,1.1294,0.7767
0,110,0.002,53.5430,1.1559,0.7721
0,111,0.002,52.2046,1.1784,0.7780
0,112,0.002,52.7109,1.1625,0.7753
0,113,0.002,52.4031,1.1810,0.7785
0,114,0.002,52.1892,1.1712,0.7776
0,115,0.002,52.0347,1.1876,0.7793
0,116,0.002,51.9151,1.1725,0.7762
0,117,0.002,51.5600,1.1287,0.7799
0,118,0.002,51.5795,1.1518,0.7809
0,119,0.002,50.9870,1.1757,0.7813
0,120,0.002,50.9107,1.1236,0.7819
0,121,0.002,50.8930,1.1452,0.7822
0,122,0.002,51.1680,1.1745,0.7832
0,123,0.002,51.0542,1.1484,0.7816
0,124,0.002,49.8920,1.1456,0.7870
0,125,0.002,50.7112,1.1306,0.7835
0,126,0.002,50.1855,1.1586,0.7869
0,127,0.002,49.9587,1.1391,0.7856
0,128,0.002,50.3458,1.1786,0.7853
0,129,0.002,49.6932,1.1237,0.7885
0,130,0.002,49.7512,1.1205,0.7888
0,131,0.002,50.6420,1.1492,0.7841
0,132,0.002,49.2928,1.1173,0.7904
0,133,0.002,49.9822,1.1396,0.7871
0,134,0.002,50.2824,1.1544,0.7864
0,135,0.002,49.2021,1.1420,0.7879
0,136,0.002,49.5127,1.1393,0.7877
0,137,0.002,48.9217,1.1334,0.7910
0,138,0.002,48.9344,1.1141,0.7922
0,139,0.002,48.5814,1.1555,0.7936
0,140,0.002,49.4785,1.1188,0.7902
0,141,0.002,48.5853,1.1109,0.7931
0,142,0.002,48.3629,1.1118,0.7910
0,143,0.002,48.3483,1.1286,0.7913
0,144,0.002,48.6809,1.1213,0.7928
0,145,0.002,48.2455,1.1230,0.7924
0,146,0.002,48.2547,1.1205,0.7915
0,147,0.002,48.0737,1.1409,0.7943
0,148,0.002,48.7534,1.1161,0.7929
0,149,0.002,47.4969,1.0889,0.7967
0,150,0.002,47.3807,1.1039,0.7980
0,151,0.002,47.8589,1.1215,0.7946
0,152,0.002,47.5713,1.1183,0.7949
0,153,0.002,47.2353,1.0985,0.7994
0,154,0.002,47.0060,1.1188,0.7985
0,155,0.002,47.6356,1.1380,0.7938
0,156,0.002,46.9121,1.0964,0.7968
0,157,0.002,47.2339,1.1045,0.7971
0,158,0.002,47.6788,1.0895,0.7948
0,159,0.002,46.3303,1.0971,0.8011
0,160,0.002,46.6750,1.1189,0.7976
0,161,0.002,47.1906,1.1098,0.7975
0,162,0.002,46.2185,1.0844,0.8021
0,163,0.002,46.9305,1.0969,0.7979
0,164,0.002,46.2031,1.0913,0.8024
0,165,0.002,46.5050,1.1012,0.8009
0,166,0.002,46.2889,1.0793,0.8020
0,167,0.002,46.8426,1.1006,0.7987
0,168,0.002,46.4682,1.1059,0.8004
0,169,0.002,46.0248,1.0746,0.8037
0,170,0.002,45.4751,1.1260,0.8066
0,171,0.002,46.3715,1.1134,0.8009
0,172,0.002,46.0165,1.0732,0.8010
0,173,0.002,45.6292,1.1033,0.8033
0,174,0.002,45.3139,1.1070,0.8050
0,175,0.002,45.3091,1.0542,0.8062
0,176,0.002,45.9589,1.0844,0.8045
0,177,0.002,44.9220,1.1143,0.8065
0,178,0.002,46.1990,1.0869,0.7999
0,179,0.002,44.9880,1.0857,0.8059
0,180,0.002,45.2218,1.0480,0.8048
0,181,0.002,45.0301,1.0761,0.8056
0,182,0.002,44.7288,1.0967,0.8084
0,183,0.002,44.5367,1.0746,0.8082
0,184,0.002,45.2446,1.0720,0.8049
0,185,0.002,45.3517,1.0770,0.8038
0,186,0.002,44.4269,1.0911,0.8068
0,187,0.002,44.4181,1.0641,0.8078
0,188,0.002,44.9239,1.0663,0.8056
0,189,0.002,44.4761,1.0520,0.8081
0,190,0.002,44.6259,1.0914,0.8071
0,191,0.002,44.6333,1.0642,0.8062
0,192,0.002,44.8067,1.0586,0.8060
0,193,0.002,44.8476,1.0911,0.8058
0,194,0.002,44.8932,1.0783,0.8069
0,195,0.002,43.4549,1.0828,0.8136
0,196,0.002,44.6649,1.0601,0.8058
0,197,0.002,44.2283,1.0849,0.8099
0,198,0.002,44.4952,1.0575,0.8067
0,199,0.002,43.2998,1.0748,0.8130
1,0,0.002,67.8387,1.3382,0.7318
1,1,0.002,62.6859,1.2447,0.7475
1,2,0.002,60.4036,1.3052,0.7554
1,3,0.002,58.6695,1.2668,0.7594
1,4,0.002,57.0123,1.1430,0.7655
1,5,0.002,56.2402,1.1697,0.7678
1,6,0.002,55.0646,1.1671,0.7714
