eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,25.567663,0.528125,0.8894375,0.0,0.0
1.0,0.0,65.19039,0.8776499,0.742975,0.0,0.0
2.0,0.0,57.811462,0.751,0.7654625,0.0,0.0
3.0,0.0,61.49095,0.94855,0.76176256,0.0,0.0
4.0,0.0,81.652985,0.8952501,0.68909997,0.0,0.0
5.0,0.0,78.685135,0.80391246,0.728875,0.0,0.0
6.0,0.0,68.819855,0.9882,0.75985,0.0,0.0
7.0,0.0,90.079315,0.9495375,0.7073625,0.0,0.0
8.0,0.0,75.46722,0.8367,0.7830875,0.0,0.0
9.0,0.0,66.47668,1.1141624,0.7806625,0.0,0.0
0.0,1.0,39.867565,0.62775,0.8399125,0.049525,-0.049525
1.0,1.0,25.084675,0.6726,0.8867375,0.0,0.0
2.0,1.0,40.638954,0.7324875,0.82561255,0.0,0.0
3.0,1.0,45.230984,0.8628626,0.8159375,0.0,0.0
4.0,1.0,58.106163,0.800125,0.767575,0.0,0.0
5.0,1.0,61.240715,0.7533625,0.7753875,0.0,0.0
6.0,1.0,54.66572,0.99668753,0.79394996,0.0,0.0
7.0,1.0,67.9391,0.9054625,0.7723625,0.0,0.0
8.0,1.0,60.145428,0.75718755,0.8083,0.0,0.0
9.0,1.0,49.707447,0.9439125,0.82250005,0.0,0.0
0.0,2.0,46.059155,0.6632375,0.8116875,0.07775,-0.07775
1.0,2.0,43.74055,0.80995,0.81429994,0.072412506,-0.072412506
2.0,2.0,23.798449,0.62619996,0.8935,0.0,0.0
3.0,2.0,38.489365,0.86521256,0.8413375,0.0,0.0
4.0,2.0,51.88575,0.78912497,0.7864,0.0,0.0
5.0,2.0,52.859474,0.71793747,0.802675,0.0,0.0
6.0,2.0,51.29289,0.9693375,0.8022125,0.0,0.0
7.0,2.0,67.184204,0.8628626,0.77057505,0.0,0.0
8.0,2.0,61.22846,0.7521749,0.79657507,0.0,0.0
9.0,2.0,57.04875,0.8917625,0.79550004,0.0,0.0
0.0,3.0,49.358467,0.68060005,0.7989625,0.09047501,-0.09047501
1.0,3.0,49.195824,0.85493755,0.7937875,0.092925005,-0.092925005
2.0,3.0,36.485462,0.70135,0.83985007,0.05365,-0.05365
3.0,3.0,17.915836,0.6669625,0.92579997,0.0,0.0
4.0,3.0,45.65447,0.72297496,0.81285,0.0,0.0
5.0,3.0,51.529858,0.691175,0.79976255,0.0,0.0
6.0,3.0,45.75235,0.90387493,0.82216245,0.0,0.0
7.0,3.0,59.73786,0.78157496,0.79367495,0.0,0.0
8.0,3.0,56.648987,0.744775,0.8122,0.0,0.0
9.0,3.0,44.50839,0.85896254,0.83662504,0.0,0.0
0.0,4.0,51.21997,0.7195625,0.794375,0.095062494,-0.095062494
1.0,4.0,53.700638,0.8988625,0.78011245,0.106612496,-0.106612496
2.0,4.0,38.61171,0.74607503,0.83120006,0.062287502,-0.062287502
3.0,4.0,27.480474,0.76762503,0.88693756,0.0388625,-0.0388625
4.0,4.0,23.521402,0.65577495,0.9014875,0.0,0.0
5.0,4.0,47.10119,0.691625,0.81201255,0.0,0.0
6.0,4.0,43.89881,0.9169001,0.827525,0.0,0.0
7.0,4.0,59.30162,0.77326244,0.79218745,0.0,0.0
8.0,4.0,55.04744,0.740775,0.81280005,0.0,0.0
9.0,4.0,47.513626,0.855375,0.8253125,0.0,0.0
0.0,5.0,56.37845,0.75549996,0.774025,0.115425006,-0.115425006
1.0,5.0,58.791576,0.91496253,0.76227504,0.124450006,-0.124450006
2.0,5.0,41.065723,0.74511254,0.8240125,0.0694875,-0.0694875
3.0,5.0,32.181087,0.77188754,0.8669375,0.0588625,-0.0588625
4.0,5.0,39.264286,0.69735,0.83706254,0.0644125,-0.0644125
5.0,5.0,27.963364,0.58155,0.8838125,0.0,0.0
6.0,5.0,39.15016,0.86241245,0.84583753,0.0,0.0
7.0,5.0,53.216038,0.73511255,0.814075,0.0,0.0
8.0,5.0,46.58876,0.66845,0.8448125,0.0,0.0
9.0,5.0,34.5284,0.8380126,0.8723,0.0,0.0
0.0,6.0,58.102737,0.76735,0.7661375,0.123325005,-0.123325005
1.0,6.0,61.251137,0.9602,0.751225,0.13548751,-0.13548751
2.0,6.0,43.945713,0.77845,0.809225,0.084275,-0.084275
3.0,6.0,34.946014,0.8062499,0.8555875,0.07022499,-0.07022499
4.0,6.0,44.18957,0.7295125,0.8162,0.085274994,-0.085274994
5.0,6.0,39.00915,0.651075,0.84382504,0.039975,-0.039975
6.0,6.0,27.851437,0.802025,0.88785,0.0,0.0
7.0,6.0,53.759735,0.705575,0.81249994,0.0,0.0
8.0,6.0,46.1253,0.6825375,0.84472495,0.0,0.0
9.0,6.0,35.82392,0.88207495,0.86878747,0.0,0.0
0.0,7.0,62.202362,0.7934875,0.75035,0.139075,-0.139075
1.0,7.0,64.93388,0.98031247,0.73742497,0.1493125,-0.1493125
2.0,7.0,44.929253,0.7920375,0.8067,0.086799994,-0.086799994
3.0,7.0,34.59487,0.84036255,0.85830003,0.0675,-0.0675
4.0,7.0,43.72501,0.75278753,0.822775,0.078724995,-0.078724995
5.0,7.0,40.3167,0.6580125,0.8387625,0.045025,-0.045025
6.0,7.0,33.21226,0.856925,0.868425,0.019450001,-0.019450001
7.0,7.0,31.983274,0.64745,0.88598746,0.0,0.0
8.0,7.0,39.717613,0.64818746,0.86566246,0.0,0.0
9.0,7.0,28.533375,0.83220005,0.895825,0.0,0.0
0.0,8.0,62.65527,0.8084625,0.74875003,0.14068751,-0.14068751
1.0,8.0,66.55287,0.98905,0.7304625,0.15626249,-0.15626249
