training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,255.3401,3.1558,-0.0525
0,1,184.0249,3.7910,0.2100
0,2,160.4285,3.4802,0.3072
0,3,144.4065,3.4838,0.3864
0,4,131.3502,2.9402,0.4521
0,5,120.7437,2.5020,0.5038
0,6,112.8744,2.3613,0.5416
0,7,105.6436,2.1522,0.5689
0,8,100.4544,2.0323,0.5884
0,9,95.1814,1.8886,0.6134
0,10,90.9212,1.8464,0.6301
0,11,86.3398,1.7564,0.6499
0,12,82.4984,1.7262,0.6644
0,13,78.1571,1.6263,0.6818
0,14,76.2794,1.5747,0.6891
0,15,72.9182,1.5427,0.7042
0,16,70.0897,1.4620,0.7138
0,17,67.3625,1.4117,0.7257
0,18,66.3090,1.4237,0.7291
0,19,64.5162,1.3395,0.7364
0,20,62.1013,1.3346,0.7445
0,21,61.4200,1.2997,0.7479
0,22,58.5136,1.2716,0.7595
0,23,58.6849,1.2559,0.7555
0,24,57.2824,1.2327,0.7641
0,25,56.2838,1.2152,0.7660
0,26,54.5771,1.1875,0.7742
0,27,54.2244,1.1791,0.7736
0,28,52.9865,1.1842,0.7792
0,29,52.1158,1.1419,0.7830
0,30,50.9709,1.1443,0.7870
0,31,50.0872,1.0956,0.7909
0,32,49.6137,1.1318,0.7928
0,33,49.0382,1.1108,0.7956
0,34,49.1150,1.1206,0.7938
0,35,48.3213,1.0812,0.7974
0,36,47.2678,1.0699,0.8010
0,37,46.3866,1.0640,0.8059
0,38,47.0472,1.0590,0.8020
0,39,46.1033,1.0477,0.8061
0,40,44.7461,1.0329,0.8118
0,41,44.2375,1.0322,0.8136
0,42,44.6726,1.0073,0.8111
0,43,44.5387,1.0260,0.8134
0,44,44.0663,1.0181,0.8144
0,45,44.0034,1.0024,0.8131
0,46,42.3863,0.9787,0.8207
0,47,42.8910,1.0012,0.8180
0,48,42.9426,0.9835,0.8181
0,49,42.0887,0.9808,0.8210
0,50,41.3508,0.9674,0.8249
0,51,41.1502,0.9863,0.8244
0,52,41.2771,0.9752,0.8237
0,53,40.0319,0.9443,0.8311
0,54,40.0962,0.9568,0.8300
0,55,39.4633,0.9538,0.8329
0,56,40.6129,0.9568,0.8264
0,57,39.6639,0.9224,0.8320
0,58,39.0549,0.9319,0.8336
0,59,39.4940,0.9299,0.8322
0,60,39.8142,0.9270,0.8300
0,61,38.8688,0.9474,0.8338
0,62,38.6479,0.9110,0.8343
0,63,38.1859,0.9122,0.8379
0,64,38.3243,0.9108,0.8366
0,65,37.7963,0.9434,0.8377
0,66,37.5187,0.9088,0.8400
0,67,37.7398,0.9207,0.8381
0,68,37.7674,0.9131,0.8390
0,69,37.1429,0.9027,0.8416
0,70,36.6768,0.9099,0.8435
0,71,36.4805,0.8843,0.8433
0,72,36.1319,0.8691,0.8468
0,73,37.0287,0.8973,0.8430
0,74,36.6249,0.9044,0.8446
0,75,35.9563,0.8789,0.8459
0,76,35.8609,0.8998,0.8472
0,77,35.6877,0.8678,0.8453
0,78,35.6213,0.8628,0.8485
0,79,35.4424,0.8816,0.8484
0,80,34.8122,0.8704,0.8506
0,81,35.3226,0.8895,0.8503
0,82,35.3572,0.8707,0.8503
0,83,34.8515,0.8664,0.8505
0,84,35.1271,0.8710,0.8495
0,85,34.2017,0.8541,0.8530
0,86,34.5262,0.8563,0.8521
0,87,34.4778,0.8521,0.8518
0,88,34.2680,0.8681,0.8520
0,89,33.8251,0.8510,0.8554
