training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,152.9642,3.4044,0.4254
0,1,91.5381,1.9026,0.6542
0,2,71.5384,1.5347,0.7292
0,3,62.1311,1.3574,0.7634
0,4,55.0382,1.2384,0.7880
0,5,51.9719,1.1575,0.7985
0,6,48.5736,1.1039,0.8104
0,7,46.7253,1.0604,0.8171
0,8,44.9311,1.0153,0.8232
0,9,43.7060,0.9975,0.8279
0,10,42.5981,0.9762,0.8321
0,11,41.4796,0.9544,0.8357
0,12,40.8893,0.9438,0.8370
0,13,40.1716,0.9491,0.8401
0,14,39.5238,0.9308,0.8429
0,15,39.3567,0.9131,0.8422
0,16,38.8019,0.9049,0.8459
0,17,38.3540,0.9137,0.8464
0,18,37.9759,0.9108,0.8488
0,19,37.5365,0.8802,0.8508
0,20,37.0483,0.8841,0.8522
0,21,36.6571,0.8875,0.8540
0,22,36.6570,0.8746,0.8540
0,23,36.1129,0.8701,0.8561
0,24,35.8927,0.8805,0.8565
0,25,35.8110,0.8700,0.8561
0,26,35.8742,0.8665,0.8564
0,27,35.5285,0.8646,0.8579
0,28,35.2493,0.8610,0.8582
0,29,34.9725,0.8551,0.8606
0,30,34.7029,0.8623,0.8607
0,31,34.5660,0.8567,0.8617
0,32,34.6225,0.8583,0.8601
0,33,33.9252,0.8568,0.8642
0,34,34.0719,0.8601,0.8631
0,35,33.9413,0.8564,0.8635
0,36,33.7101,0.8533,0.8650
0,37,33.3770,0.8632,0.8663
0,38,33.1362,0.8500,0.8670
0,39,32.8933,0.8587,0.8675
0,40,32.9902,0.8512,0.8671
0,41,32.6422,0.8617,0.8682
0,42,32.9066,0.8577,0.8679
0,43,32.5952,0.8512,0.8690
0,44,32.4250,0.8621,0.8701
0,45,32.2282,0.8573,0.8702
0,46,32.1914,0.8568,0.8699
0,47,32.0546,0.8647,0.8706
0,48,32.0050,0.8606,0.8707
0,49,32.0768,0.8610,0.8710
0,50,31.7620,0.8602,0.8720
0,51,31.7891,0.8659,0.8709
0,52,31.7648,0.8667,0.8719
0,53,31.0689,0.8622,0.8744
0,54,30.5470,0.8464,0.8776
0,55,30.3588,0.8426,0.8773
0,56,30.1431,0.8365,0.8782
0,57,30.3154,0.8359,0.8777
0,58,30.0440,0.8309,0.8788
0,59,30.0163,0.8349,0.8787
0,60,29.9416,0.8385,0.8790
0,61,29.9271,0.8335,0.8788
0,62,29.9677,0.8343,0.8791
0,63,29.9278,0.8326,0.8781
0,64,29.7792,0.8375,0.8793
0,65,29.7292,0.8584,0.8801
0,66,29.8322,0.8271,0.8798
0,67,29.4045,0.8362,0.8813
0,68,29.5694,0.8328,0.8804
0,69,29.4566,0.8248,0.8811
0,70,29.5447,0.8239,0.8805
0,71,29.4888,0.8257,0.8807
0,72,29.4608,0.8255,0.8811
0,73,29.4302,0.8301,0.8814
0,74,29.2636,0.8226,0.8822
0,75,29.4430,0.8266,0.8811
0,76,29.2560,0.8263,0.8812
0,77,29.2251,0.8235,0.8818
0,78,29.2862,0.8254,0.8819
0,79,29.2654,0.8214,0.8818
0,80,29.0641,0.8267,0.8823
0,81,28.9596,0.8243,0.8829
0,82,29.1248,0.8220,0.8824
0,83,29.3091,0.8235,0.8820
0,84,29.3483,0.8267,0.8809
0,85,29.2618,0.8255,0.8814
0,86,29.0551,0.8269,0.8824
0,87,29.1672,0.8138,0.8822
0,88,29.1086,0.8321,0.8825
0,89,29.0496,0.8218,0.8820
0,90,29.0694,0.8242,0.8827
0,91,29.1449,0.8219,0.8823
0,92,29.1418,0.8237,0.8822
0,93,29.2210,0.8211,0.8815
0,94,29.2115,0.8259,0.8818
0,95,29.3029,0.8214,0.8821
0,96,29.2579,0.8207,0.8816
0,97,29.3092,0.8247,0.8816
0,98,29.2416,0.8245,0.8815
0,99,29.2634,0.8230,0.8816
0,100,29.0909,0.8248,0.8826
0,101,29.1931,0.8217,0.8821
0,102,29.0212,0.8246,0.8826
0,103,29.1692,0.8300,0.8817
0,104,29.0933,0.8193,0.8827
