eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,33.009163,0.764425,0.8587875,0.0,0.0
1.0,0.0,32.73629,0.96988755,0.856075,0.0,0.0
2.0,0.0,28.539537,0.88307494,0.8705875,0.0,0.0
3.0,0.0,22.994812,0.9597374,0.9019749,0.0,0.0
4.0,0.0,30.9091,0.93933755,0.8686375,0.0,0.0
5.0,0.0,32.942413,0.84804994,0.8676375,0.0,0.0
6.0,0.0,29.551888,1.189,0.88465,0.0,0.0
7.0,0.0,38.070477,0.916125,0.86406255,0.0,0.0
8.0,0.0,29.140663,0.70561254,0.90635,0.0,0.0
9.0,0.0,21.14265,0.9519125,0.92281246,0.0,0.0
