training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,202.8756,3.9109,0.2217
0,1,0.002,133.1062,3.2947,0.4945
0,2,0.002,113.0716,2.3284,0.5712
0,3,0.002,97.6050,1.7764,0.6290
0,4,0.002,87.2950,1.6473,0.6670
0,5,0.002,80.1539,1.5978,0.6936
0,6,0.002,74.3954,1.5433,0.7146
0,7,0.002,70.5213,1.4938,0.7263
0,8,0.002,67.3678,1.4461,0.7399
0,9,0.002,64.8571,1.3867,0.7483
0,10,0.002,63.0987,1.3670,0.7551
0,11,0.002,61.4305,1.3333,0.7607
0,12,0.002,60.1861,1.2987,0.7636
0,13,0.002,59.0762,1.2825,0.7693
0,14,0.002,57.8810,1.2825,0.7725
0,15,0.002,57.1995,1.2558,0.7749
0,16,0.002,56.3057,1.2613,0.7780
0,17,0.002,55.3808,1.2387,0.7816
0,18,0.002,54.5758,1.2384,0.7832
0,19,0.002,54.2492,1.2265,0.7854
0,20,0.002,53.4505,1.2081,0.7882
0,21,0.002,53.2928,1.2238,0.7882
0,22,0.002,52.2163,1.2108,0.7933
0,23,0.002,51.9987,1.2017,0.7939
0,24,0.002,51.5462,1.1955,0.7951
0,25,0.002,51.2690,1.2007,0.7965
0,26,0.002,50.9269,1.1903,0.7968
0,27,0.002,50.6597,1.1960,0.7987
0,28,0.002,50.3453,1.1817,0.7997
0,29,0.002,49.6407,1.1982,0.8020
0,30,0.002,49.3026,1.2016,0.8033
0,31,0.002,49.4549,1.1864,0.8034
0,32,0.002,48.9228,1.1851,0.8053
0,33,0.002,48.6782,1.1873,0.8053
0,34,0.002,48.4056,1.1929,0.8068
0,35,0.002,47.9372,1.2009,0.8074
0,36,0.002,47.6341,1.1842,0.8095
0,37,0.002,47.4630,1.2055,0.8107
0,38,0.002,47.5465,1.1880,0.8098
0,39,0.002,47.4088,1.1902,0.8103
0,40,0.002,46.9150,1.1944,0.8133
0,41,0.002,46.9867,1.1884,0.8123
0,42,0.002,46.6391,1.2031,0.8142
0,43,0.002,46.1786,1.1977,0.8148
0,44,0.002,46.3893,1.2122,0.8143
0,45,0.002,46.0158,1.1978,0.8167
0,46,0.002,45.6986,1.2146,0.8173
0,47,0.002,45.5882,1.2112,0.8182
0,48,0.002,45.5392,1.2149,0.8183
0,49,0.002,45.4072,1.2039,0.8191
0,50,0.002,45.3363,1.2157,0.8194
0,51,0.002,45.0279,1.2181,0.8202
0,52,0.002,44.9926,1.2222,0.8198
0,53,0.002,45.0625,1.2294,0.8193
0,54,0.002,44.6556,1.2275,0.8219
0,55,0.002,44.5642,1.2173,0.8229
0,56,0.002,44.3960,1.2235,0.8226
0,57,0.002,44.2794,1.2255,0.8225
0,58,0.002,44.2824,1.2367,0.8229
0,59,0.002,43.8669,1.2405,0.8237
0,60,0.002,43.9857,1.2453,0.8238
0,61,0.002,43.6742,1.2338,0.8251
0,62,0.002,43.5765,1.2466,0.8251
0,63,0.002,43.6652,1.2417,0.8247
0,64,0.002,43.7442,1.2437,0.8247
0,65,0.002,43.5380,1.2256,0.8260
0,66,0.002,43.0766,1.2148,0.8279
0,67,0.002,43.0453,1.2263,0.8283
0,68,0.002,42.9964,1.2255,0.8277
0,69,0.002,43.3436,1.2410,0.8272
0,70,0.002,42.8591,1.2380,0.8293
0,71,0.002,42.7145,1.2315,0.8282
0,72,0.002,42.7822,1.2328,0.8287
0,73,0.002,42.6724,1.2375,0.8301
0,74,0.002,42.5630,1.2496,0.8293
0,75,0.002,42.3147,1.2330,0.8316
0,76,0.002,42.3283,1.2459,0.8311
0,77,0.002,42.1775,1.2426,0.8311
0,78,0.002,42.3742,1.2374,0.8300
0,79,0.002,42.3082,1.2522,0.8305
0,80,0.002,42.1250,1.2581,0.8316
0,81,0.002,42.1024,1.2475,0.8318
0,82,0.002,41.9108,1.2373,0.8318
0,83,0.002,42.0576,1.2379,0.8318
0,84,0.002,42.2163,1.2456,0.8312
0,85,0.002,41.9482,1.2357,0.8316
0,86,0.002,41.9911,1.2378,0.8323
0,87,0.002,41.7168,1.2483,0.8329
0,88,0.002,41.8624,1.2354,0.8325
0,89,0.002,41.8307,1.2461,0.8322
0,90,0.002,41.8176,1.2429,0.8322
0,91,0.002,41.4524,1.2532,0.8344
0,92,0.002,41.6073,1.2403,0.8338
0,93,0.002,41.4328,1.2332,0.8350
0,94,0.002,41.4056,1.2240,0.8345
0,95,0.002,41.7208,1.2436,0.8320
0,96,0.002,41.0450,1.2567,0.8353
0,97,0.002,41.1619,1.2309,0.8348
0,98,0.002,41.3276,1.2320,0.8344
0,99,0.002,41.1656,1.2310,0.8347
0,100,0.002,40.9531,1.2453,0.8347
0,101,0.002,41.1093,1.2405,0.8353
0,102,0.002,40.9351,1.2258,0.8368
0,103,0.002,41.2526,1.2252,0.8347
0,104,0.002,41.0983,1.2164,0.8355
0,105,0.002,40.8686,1.2251,0.8360
0,106,0.002,40.7937,1.2236,0.8375
0,107,0.002,40.9944,1.2198,0.8358
0,108,0.002,40.9629,1.2192,0.8345
0,109,0.002,41.0933,1.2218,0.8359
0,110,0.002,40.7849,1.2050,0.8367
0,111,0.002,40.5381,1.1883,0.8368
0,112,0.002,40.6335,1.1716,0.8375
0,113,0.002,40.8671,1.1961,0.8364
0,114,0.002,40.6803,1.1879,0.8369
0,115,0.002,40.5270,1.2031,0.8375
0,116,0.002,40.3991,1.1927,0.8377
0,117,0.001,40.8038,1.2031,0.8361
0,118,0.001,40.2326,1.1874,0.8391
0,119,0.001,39.8738,1.1755,0.8401
0,120,0.001,39.7686,1.1919,0.8405
0,121,0.001,39.8141,1.1827,0.8402
0,122,0.001,39.7342,1.1862,0.8413
0,123,0.001,39.7613,1.1877,0.8411
0,124,0.001,39.8460,1.1805,0.8401
0,125,0.001,39.6788,1.1795,0.8412
0,126,0.001,39.9326,1.1772,0.8405
0,127,0.001,39.6552,1.1825,0.8410
0,128,0.001,39.5114,1.1773,0.8410
0,129,0.001,39.5696,1.1782,0.8414
0,130,0.001,39.7520,1.1810,0.8404
0,131,0.001,39.6439,1.1650,0.8413
0,132,0.001,39.6376,1.1743,0.8416
0,133,0.001,39.6259,1.1647,0.8405
0,134,0.001,39.4270,1.1557,0.8418
0,135,0.001,39.5640,1.1573,0.8415
0,136,0.001,39.4178,1.1507,0.8417
0,137,0.0005,39.5646,1.1509,0.8417
0,138,0.0005,39.4804,1.1493,0.8425
0,139,0.0005,39.3116,1.1486,0.8423
0,140,0.0005,39.2446,1.1549,0.8427
0,141,0.0005,39.2975,1.1502,0.8422
0,142,0.0005,38.9744,1.1470,0.8438
0,143,0.0005,38.9401,1.1499,0.8439
0,144,0.0005,39.1589,1.1538,0.8429
0,145,0.0005,39.1442,1.1492,0.8430
0,146,0.0005,39.0838,1.1485,0.8436
0,147,0.0005,38.8907,1.1487,0.8442
0,148,0.0005,39.0785,1.1481,0.8438
0,149,0.0005,39.2346,1.1583,0.8422
0,150,0.0005,38.9940,1.1481,0.8439
0,151,0.0005,38.9328,1.1462,0.8432
0,152,0.0005,39.1218,1.1582,0.8433
0,153,0.0005,39.0305,1.1597,0.8430
0,154,0.00025,38.8347,1.1690,0.8446
0,155,0.00025,38.9345,1.1457,0.8437
0,156,0.00025,38.8375,1.1633,0.8441
