eval_exp,training_exp,Loss_Exp,RelativeDistance_Exp,R2Score_Exp,Forgetting_Exp,BWT_Exp
0.0,0.0,26.942211,0.54232496,0.8851,0.0,0.0
1.0,0.0,26.887537,0.66268754,0.87843746,0.0,0.0
2.0,0.0,24.4658,0.596625,0.8904875,0.0,0.0
3.0,0.0,18.27075,0.627225,0.9239626,0.0,0.0
4.0,0.0,25.680765,0.61135,0.8918125,0.0,0.0
5.0,0.0,29.151962,0.56041247,0.8800875,0.0,0.0
6.0,0.0,24.78976,0.7416875,0.9030625,0.0,0.0
7.0,0.0,32.644135,0.61235,0.8848125,0.0,0.0
8.0,0.0,26.619886,0.5194375,0.9097875,0.0,0.0
9.0,0.0,17.802475,0.67993754,0.93523747,0.0,0.0
