training_exp,epoch,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,151.8551,3.4366,0.4276
0,1,89.7004,1.9055,0.6615
0,2,69.9959,1.5269,0.7350
0,3,60.3813,1.3503,0.7680
0,4,54.3643,1.2187,0.7902
0,5,50.8319,1.1307,0.8032
0,6,48.4041,1.0811,0.8112
0,7,46.0862,1.0301,0.8192
0,8,44.6959,1.0111,0.8240
0,9,43.3131,0.9985,0.8287
0,10,42.4484,0.9708,0.8333
0,11,41.4588,0.9552,0.8364
0,12,40.5222,0.9516,0.8398
0,13,39.9925,0.9333,0.8420
0,14,39.7189,0.9192,0.8431
0,15,38.9270,0.9055,0.8455
0,16,38.4762,0.9005,0.8471
0,17,38.1529,0.9056,0.8476
0,18,37.6515,0.8860,0.8505
0,19,37.5237,0.8849,0.8510
0,20,36.8835,0.8790,0.8534
0,21,36.6865,0.8732,0.8538
0,22,36.3782,0.8743,0.8553
0,23,35.9805,0.8614,0.8563
0,24,36.0134,0.8655,0.8565
0,25,35.5648,0.8582,0.8575
0,26,35.4624,0.8592,0.8575
0,27,35.1334,0.8523,0.8595
0,28,34.9333,0.8472,0.8599
0,29,34.5786,0.8454,0.8616
0,30,34.3988,0.8493,0.8621
0,31,34.4890,0.8417,0.8621
0,32,33.9037,0.8395,0.8641
0,33,34.0567,0.8500,0.8631
0,34,33.7710,0.8401,0.8644
0,35,33.7904,0.8453,0.8643
0,36,33.4088,0.8393,0.8660
0,37,33.1772,0.8478,0.8667
0,38,33.3607,0.8422,0.8648
0,39,33.1710,0.8572,0.8664
0,40,32.8726,0.8422,0.8677
0,41,32.7382,0.8549,0.8685
0,42,32.6848,0.8411,0.8684
0,43,32.5829,0.8538,0.8689
0,44,32.3027,0.8583,0.8702
0,45,32.1299,0.8504,0.8704
0,46,31.9888,0.8535,0.8707
0,47,32.0658,0.8534,0.8709
0,48,32.0038,0.8548,0.8710
0,49,31.6789,0.8515,0.8721
0,50,31.6231,0.8528,0.8717
0,51,31.7737,0.8617,0.8713
0,52,31.6255,0.8631,0.8713
0,53,31.4661,0.8592,0.8726
0,54,31.2372,0.8497,0.8735
0,55,31.2080,0.8510,0.8733
0,56,31.2928,0.8482,0.8737
0,57,31.0607,0.8510,0.8743
0,58,30.9250,0.8376,0.8754
0,59,31.0590,0.8407,0.8742
0,60,31.0427,0.8368,0.8740
0,61,30.8008,0.8505,0.8756
0,62,30.8318,0.8432,0.8759
0,63,30.8253,0.8413,0.8757
0,64,30.4660,0.8468,0.8768
0,65,30.3660,0.8475,0.8776
0,66,30.6218,0.8395,0.8763
0,67,30.4427,0.8427,0.8766
0,68,30.4829,0.8478,0.8769
0,69,30.3600,0.8356,0.8773
0,70,30.3089,0.8492,0.8781
0,71,30.1736,0.8464,0.8782
0,72,30.1896,0.8450,0.8772
0,73,30.3292,0.8300,0.8767
0,74,29.9445,0.8241,0.8784
0,75,30.0472,0.8417,0.8786
0,76,29.8660,0.8356,0.8782
0,77,29.7932,0.8354,0.8797
0,78,29.8523,0.8348,0.8794
0,79,29.1002,0.8195,0.8827
0,80,28.7943,0.8148,0.8835
0,81,28.5292,0.8103,0.8843
0,82,28.3000,0.8113,0.8847
0,83,28.4036,0.8109,0.8849
0,84,28.3132,0.8070,0.8854
0,85,28.2719,0.8036,0.8854
0,86,28.2056,0.8026,0.8857
0,87,28.1194,0.8017,0.8863
0,88,28.2438,0.8104,0.8855
0,89,28.1208,0.8023,0.8863
0,90,27.8996,0.8032,0.8867
0,91,28.0250,0.8050,0.8865
0,92,27.9759,0.7990,0.8872
0,93,28.0099,0.8076,0.8865
0,94,27.9425,0.8005,0.8871
0,95,27.9943,0.8059,0.8866
0,96,27.7483,0.8025,0.8877
0,97,27.7213,0.7992,0.8876
0,98,27.7939,0.7960,0.8871
0,99,27.9588,0.7934,0.8870
0,100,27.8521,0.7982,0.8875
0,101,27.7909,0.8069,0.8871
0,102,27.7352,0.8085,0.8876
0,103,27.7457,0.8025,0.8881
0,104,27.7015,0.7996,0.8873
0,105,27.6211,0.8087,0.8882
0,106,27.3042,0.7786,0.8899
0,107,27.5250,0.7879,0.8882
0,108,27.4049,0.7859,0.8893
0,109,27.4671,0.7902,0.8888
0,110,27.1767,0.7821,0.8898
0,111,27.3137,0.7799,0.8890
0,112,27.1453,0.7870,0.8894
0,113,26.9310,0.7869,0.8912
0,114,27.1212,0.7902,0.8900
0,115,27.0476,0.7847,0.8905
0,116,27.2318,0.7919,0.8894
0,117,27.2671,0.7868,0.8898
0,118,27.1869,0.7849,0.8899
0,119,27.2050,0.7857,0.8897
0,120,27.0869,0.7847,0.8901
0,121,27.0995,0.7822,0.8901
