training_exp,epoch,lr,Loss_Epoch,RelativeDistance_Epoch,R2Score_Epoch
0,0,0.002,331.9624,1.1158,-0.3122
0,1,0.002,248.4282,2.4085,0.0058
0,2,0.002,208.9337,4.0647,0.0868
0,3,0.002,191.3061,3.8620,0.1759
0,4,0.002,177.1721,3.4178,0.2337
0,5,0.002,165.7813,3.6897,0.2733
0,6,0.002,156.9025,3.7805,0.3181
0,7,0.002,151.0972,3.5022,0.3481
0,8,0.002,145.5551,3.4586,0.3826
0,9,0.002,140.6754,3.2906,0.4078
0,10,0.002,137.0540,3.1538,0.4268
0,11,0.002,133.5980,3.0009,0.4447
0,12,0.002,130.6904,2.8854,0.4581
0,13,0.002,126.5883,2.7249,0.4764
0,14,0.002,123.8908,2.5182,0.4887
0,15,0.002,120.0966,2.4716,0.5017
0,16,0.002,118.5631,2.2853,0.5112
0,17,0.002,115.9284,2.2573,0.5198
0,18,0.002,113.5276,2.0955,0.5299
0,19,0.002,111.4717,2.0724,0.5380
0,20,0.002,108.4104,1.9667,0.5519
0,21,0.002,106.3035,1.9729,0.5619
0,22,0.002,103.9793,1.8651,0.5710
0,23,0.002,102.1182,1.8336,0.5753
0,24,0.002,99.1234,1.8118,0.5898
0,25,0.002,97.8556,1.6886,0.5962
0,26,0.002,96.2746,1.7810,0.6027
0,27,0.002,93.3742,1.6895,0.6153
0,28,0.002,92.9697,1.6920,0.6187
0,29,0.002,91.4415,1.6640,0.6236
0,30,0.002,90.0418,1.6286,0.6284
0,31,0.002,88.1631,1.6115,0.6384
0,32,0.002,87.0810,1.6341,0.6433
0,33,0.002,86.0000,1.5660,0.6471
0,34,0.002,84.6531,1.6258,0.6506
0,35,0.002,84.6521,1.6353,0.6507
0,36,0.002,83.1170,1.5204,0.6569
0,37,0.002,81.6970,1.5140,0.6638
0,38,0.002,80.7251,1.5207,0.6690
0,39,0.002,79.3712,1.5540,0.6728
0,40,0.002,78.9271,1.5086,0.6757
0,41,0.002,76.2169,1.4274,0.6867
0,42,0.002,76.9115,1.4634,0.6812
0,43,0.002,76.1627,1.4651,0.6860
0,44,0.002,74.1276,1.4401,0.6940
0,45,0.002,73.9240,1.4042,0.6924
0,46,0.002,73.4991,1.4443,0.6958
